cell_line,agent,concentration,parameter,rate,obj_func
HTERT_HME,THZ1,0.003162,$k_{S}$,0.06499884037335321,5463.718722620205
HTERT_HME,THZ1,0.003162,$k_{G2}$,0.07249403009080359,5463.718722620205
HTERT_HME,THZ1,0.003162,$k_{M}$,0.13854167887879762,5463.718722620205
HTERT_HME,THZ1,0.003162,$k_{G1}$,2.1446724829774784,5463.718722620205
HTERT_HME,THZ1,0.003162,$k_{\phi}$,1e-07,5463.718722620205
HTERT_HME,THZ1,0.01,$k_{S}$,1e-07,7603.4959260108335
HTERT_HME,THZ1,0.01,$k_{G2}$,0.01438605335580041,7603.4959260108335
HTERT_HME,THZ1,0.01,$k_{M}$,0.0038396525515085075,7603.4959260108335
HTERT_HME,THZ1,0.01,$k_{G1}$,0.018313474273385512,7603.4959260108335
HTERT_HME,THZ1,0.01,$k_{\phi}$,1e-07,7603.4959260108335
HTERT_HME,THZ1,0.000316,$k_{S}$,0.07518360737468655,2800.412601783546
HTERT_HME,THZ1,0.000316,$k_{G2}$,0.08392964337129888,2800.412601783546
HTERT_HME,THZ1,0.000316,$k_{M}$,0.19155680556679286,2800.412601783546
HTERT_HME,THZ1,0.000316,$k_{G1}$,2.0345964588681205,2800.412601783546
HTERT_HME,THZ1,0.000316,$k_{\phi}$,1e-07,2800.412601783546
HTERT_HME,THZ1,0.316228,$k_{S}$,1e-07,28010.83921636666
HTERT_HME,THZ1,0.316228,$k_{G2}$,0.011391753223428837,28010.83921636666
HTERT_HME,THZ1,0.316228,$k_{M}$,0.008016034889161848,28010.83921636666
HTERT_HME,THZ1,0.316228,$k_{G1}$,1e-07,28010.83921636666
HTERT_HME,THZ1,0.316228,$k_{\phi}$,0.0007747470183158763,28010.83921636666
HTERT_HME,THZ1,0.031623,$k_{S}$,1e-07,12764.976226340134
HTERT_HME,THZ1,0.031623,$k_{G2}$,0.016123381489106026,12764.976226340134
HTERT_HME,THZ1,0.031623,$k_{M}$,0.004469827429449989,12764.976226340134
HTERT_HME,THZ1,0.031623,$k_{G1}$,1e-07,12764.976226340134
HTERT_HME,THZ1,0.031623,$k_{\phi}$,0.001820846067933787,12764.976226340134
HTERT_HME,THZ1,0.1,$k_{S}$,0.0007414370384957224,25861.840974081017
HTERT_HME,THZ1,0.1,$k_{G2}$,0.013861144411292405,25861.840974081017
HTERT_HME,THZ1,0.1,$k_{M}$,0.006196015215914114,25861.840974081017
HTERT_HME,THZ1,0.1,$k_{G1}$,1e-07,25861.840974081017
HTERT_HME,THZ1,0.1,$k_{\phi}$,0.00017272950784697966,25861.840974081017
HTERT_HME,THZ1,0.0001,$k_{S}$,0.08450527743354265,1437.9507671661452
HTERT_HME,THZ1,0.0001,$k_{G2}$,0.09174455116794274,1437.9507671661452
HTERT_HME,THZ1,0.0001,$k_{M}$,0.21070185765448757,1437.9507671661452
HTERT_HME,THZ1,0.0001,$k_{G1}$,2.032387555024946,1437.9507671661452
HTERT_HME,THZ1,0.0001,$k_{\phi}$,1e-07,1437.9507671661452
HTERT_HME,THZ1,1.0,$k_{S}$,0.001288799640749647,48739.266280910495
HTERT_HME,THZ1,1.0,$k_{G2}$,0.012152781421207926,48739.266280910495
HTERT_HME,THZ1,1.0,$k_{M}$,0.008961000526417826,48739.266280910495
HTERT_HME,THZ1,1.0,$k_{G1}$,1e-07,48739.266280910495
HTERT_HME,THZ1,1.0,$k_{\phi}$,1e-07,48739.266280910495
HTERT_HME,THZ1,0.001,$k_{S}$,0.07339673507622989,1219.3278120127065
HTERT_HME,THZ1,0.001,$k_{G2}$,0.0895054629364175,1219.3278120127065
HTERT_HME,THZ1,0.001,$k_{M}$,0.18006862174931565,1219.3278120127065
HTERT_HME,THZ1,0.001,$k_{G1}$,1.7224195046254895,1219.3278120127065
HTERT_HME,THZ1,0.001,$k_{\phi}$,1e-07,1219.3278120127065
