cell_line,agent,concentration,parameter,rate,obj_func
HTERT_HME,YKL-5-124,0.003162,$k_{S}$,0.012443679131566344,8632.860923234031
HTERT_HME,YKL-5-124,0.003162,$k_{G2}$,0.06805966580811329,8632.860923234031
HTERT_HME,YKL-5-124,0.003162,$k_{M}$,0.03459128230689809,8632.860923234031
HTERT_HME,YKL-5-124,0.003162,$k_{G1}$,3.6622263567118276,8632.860923234031
HTERT_HME,YKL-5-124,0.003162,$k_{\phi}$,1e-07,8632.860923234031
HTERT_HME,YKL-5-124,0.001,$k_{S}$,0.025285881951264355,2695.085029294621
HTERT_HME,YKL-5-124,0.001,$k_{G2}$,0.07684102451180483,2695.085029294621
HTERT_HME,YKL-5-124,0.001,$k_{M}$,0.06164168862145431,2695.085029294621
HTERT_HME,YKL-5-124,0.001,$k_{G1}$,3.615022731184147,2695.085029294621
HTERT_HME,YKL-5-124,0.001,$k_{\phi}$,1e-07,2695.085029294621
HTERT_HME,YKL-5-124,0.316228,$k_{S}$,1e-07,3069.991356144935
HTERT_HME,YKL-5-124,0.316228,$k_{G2}$,0.03146482329783221,3069.991356144935
HTERT_HME,YKL-5-124,0.316228,$k_{M}$,0.01044621545866386,3069.991356144935
HTERT_HME,YKL-5-124,0.316228,$k_{G1}$,0.20548074135645938,3069.991356144935
HTERT_HME,YKL-5-124,0.316228,$k_{\phi}$,1e-07,3069.991356144935
HTERT_HME,YKL-5-124,0.01,$k_{S}$,0.022234599025645955,1841.5128318095824
HTERT_HME,YKL-5-124,0.01,$k_{G2}$,0.012401185759870002,1841.5128318095824
HTERT_HME,YKL-5-124,0.01,$k_{M}$,0.058911832853849114,1841.5128318095824
HTERT_HME,YKL-5-124,0.01,$k_{G1}$,3.2484786461587682,1841.5128318095824
HTERT_HME,YKL-5-124,0.01,$k_{\phi}$,1e-07,1841.5128318095824
HTERT_HME,YKL-5-124,3.162278,$k_{S}$,1e-07,5001.376426264658
HTERT_HME,YKL-5-124,3.162278,$k_{G2}$,0.024633522177442097,5001.376426264658
HTERT_HME,YKL-5-124,3.162278,$k_{M}$,0.00817669539401226,5001.376426264658
HTERT_HME,YKL-5-124,3.162278,$k_{G1}$,0.04354915831464334,5001.376426264658
HTERT_HME,YKL-5-124,3.162278,$k_{\phi}$,1e-07,5001.376426264658
HTERT_HME,YKL-5-124,10.0,$k_{S}$,1e-07,20948.55563031474
HTERT_HME,YKL-5-124,10.0,$k_{G2}$,0.01903710084353054,20948.55563031474
HTERT_HME,YKL-5-124,10.0,$k_{M}$,0.003548669629177873,20948.55563031474
HTERT_HME,YKL-5-124,10.0,$k_{G1}$,1e-07,20948.55563031474
HTERT_HME,YKL-5-124,10.0,$k_{\phi}$,1e-07,20948.55563031474
HTERT_HME,YKL-5-124,1.0,$k_{S}$,1e-07,20254.891803433282
HTERT_HME,YKL-5-124,1.0,$k_{G2}$,0.03511840821373315,20254.891803433282
HTERT_HME,YKL-5-124,1.0,$k_{M}$,0.010214278868027445,20254.891803433282
HTERT_HME,YKL-5-124,1.0,$k_{G1}$,0.18130171336318324,20254.891803433282
HTERT_HME,YKL-5-124,1.0,$k_{\phi}$,1e-07,20254.891803433282
HTERT_HME,YKL-5-124,0.031623,$k_{S}$,0.022280066823405293,6709.704605004539
HTERT_HME,YKL-5-124,0.031623,$k_{G2}$,0.011229689308317786,6709.704605004539
HTERT_HME,YKL-5-124,0.031623,$k_{M}$,0.056511078069469214,6709.704605004539
HTERT_HME,YKL-5-124,0.031623,$k_{G1}$,1.9810743449366504,6709.704605004539
HTERT_HME,YKL-5-124,0.031623,$k_{\phi}$,1e-07,6709.704605004539
HTERT_HME,YKL-5-124,0.1,$k_{S}$,0.007980246426313422,6655.124200375667
HTERT_HME,YKL-5-124,0.1,$k_{G2}$,0.006795508967717151,6655.124200375667
HTERT_HME,YKL-5-124,0.1,$k_{M}$,0.02350388948820455,6655.124200375667
HTERT_HME,YKL-5-124,0.1,$k_{G1}$,1.724320053839921,6655.124200375667
HTERT_HME,YKL-5-124,0.1,$k_{\phi}$,1e-07,6655.124200375667
