cell_line,agent,concentration,parameter,rate,obj_func
MCF10A,BSJ-03-123,0.1,$k_{S}$,0.08363393167179717,5.952959627528382e-08
MCF10A,BSJ-03-123,0.1,$k_{G2}$,0.17615963003513496,5.952959627528382e-08
MCF10A,BSJ-03-123,0.1,$k_{M}$,0.24082394526051604,5.952959627528382e-08
MCF10A,BSJ-03-123,0.1,$k_{G1}$,3.6089112679064916,5.952959627528382e-08
MCF10A,BSJ-03-123,0.1,$k_{\phi}$,0.00013532640442020415,5.952959627528382e-08
MCF10A,BSJ-03-123,1.0,$k_{S}$,0.065832659845895,2.596075839130652e-08
MCF10A,BSJ-03-123,1.0,$k_{G2}$,0.1539709874895143,2.596075839130652e-08
MCF10A,BSJ-03-123,1.0,$k_{M}$,0.20421754942444018,2.596075839130652e-08
MCF10A,BSJ-03-123,1.0,$k_{G1}$,3.9377272988112617,2.596075839130652e-08
MCF10A,BSJ-03-123,1.0,$k_{\phi}$,0.0004495418553171455,2.596075839130652e-08
MCF10A,BSJ-03-123,10.0,$k_{S}$,1e-07,6513.067411998858
MCF10A,BSJ-03-123,10.0,$k_{G2}$,0.013023454154649835,6513.067411998858
MCF10A,BSJ-03-123,10.0,$k_{M}$,0.01639437293141504,6513.067411998858
MCF10A,BSJ-03-123,10.0,$k_{G1}$,0.017425109992303144,6513.067411998858
MCF10A,BSJ-03-123,10.0,$k_{\phi}$,0.005669336876302418,6513.067411998858
MCF10A,BSJ-03-123,3.162278,$k_{S}$,0.0442772586679121,9.072277745497155e-09
MCF10A,BSJ-03-123,3.162278,$k_{G2}$,0.17851510958462374,9.072277745497155e-09
MCF10A,BSJ-03-123,3.162278,$k_{M}$,0.18747567031040252,9.072277745497155e-09
MCF10A,BSJ-03-123,3.162278,$k_{G1}$,2.576710811056011,9.072277745497155e-09
MCF10A,BSJ-03-123,3.162278,$k_{\phi}$,0.0008441851195248255,9.072277745497155e-09
MCF10A,BSJ-03-123,0.01,$k_{S}$,0.08837037871872513,8.180553759636734e-08
MCF10A,BSJ-03-123,0.01,$k_{G2}$,0.17054793362129153,8.180553759636734e-08
MCF10A,BSJ-03-123,0.01,$k_{M}$,0.24545338927527388,8.180553759636734e-08
MCF10A,BSJ-03-123,0.01,$k_{G1}$,2.5503953663523364,8.180553759636734e-08
MCF10A,BSJ-03-123,0.01,$k_{\phi}$,8.124287146958872e-05,8.180553759636734e-08
MCF10A,BSJ-03-123,0.001,$k_{S}$,0.0925806051467334,0.002099417663987516
MCF10A,BSJ-03-123,0.001,$k_{G2}$,0.17579901316802346,0.002099417663987516
MCF10A,BSJ-03-123,0.001,$k_{M}$,0.23373292335699297,0.002099417663987516
MCF10A,BSJ-03-123,0.001,$k_{G1}$,3.8240139443914454,0.002099417663987516
MCF10A,BSJ-03-123,0.001,$k_{\phi}$,9.92412098835252e-05,0.002099417663987516
MCF10A,BSJ-03-123,0.003162,$k_{S}$,0.08935592589643074,8.283032833019195e-08
MCF10A,BSJ-03-123,0.003162,$k_{G2}$,0.18683255337186774,8.283032833019195e-08
MCF10A,BSJ-03-123,0.003162,$k_{M}$,0.25391242238116507,8.283032833019195e-08
MCF10A,BSJ-03-123,0.003162,$k_{G1}$,2.7086447198155637,8.283032833019195e-08
MCF10A,BSJ-03-123,0.003162,$k_{\phi}$,7.085815497155122e-05,8.283032833019195e-08
MCF10A,BSJ-03-123,0.031623,$k_{S}$,0.08658203023057234,5.793294859809955e-08
MCF10A,BSJ-03-123,0.031623,$k_{G2}$,0.17160376653210563,5.793294859809955e-08
MCF10A,BSJ-03-123,0.031623,$k_{M}$,0.23696640945392963,5.793294859809955e-08
MCF10A,BSJ-03-123,0.031623,$k_{G1}$,2.2345070365823836,5.793294859809955e-08
MCF10A,BSJ-03-123,0.031623,$k_{\phi}$,0.00014120212739377136,5.793294859809955e-08
MCF10A,BSJ-03-123,0.316228,$k_{S}$,0.0799512524891517,5.943408343895211e-08
MCF10A,BSJ-03-123,0.316228,$k_{G2}$,0.14876256873919816,5.943408343895211e-08
MCF10A,BSJ-03-123,0.316228,$k_{M}$,0.22170967282497536,5.943408343895211e-08
MCF10A,BSJ-03-123,0.316228,$k_{G1}$,3.9077481193515147,5.943408343895211e-08
MCF10A,BSJ-03-123,0.316228,$k_{\phi}$,0.00014425205766017713,5.943408343895211e-08
