cell_line,agent,concentration,parameter,rate,obj_func
MCF10A,Flavopiridol,0.003162,$k_{S}$,0.09435408312033143,2.3277523570321503e-07
MCF10A,Flavopiridol,0.003162,$k_{G2}$,0.18971562302541056,2.3277523570321503e-07
MCF10A,Flavopiridol,0.003162,$k_{M}$,0.24531020758632152,2.3277523570321503e-07
MCF10A,Flavopiridol,0.003162,$k_{G1}$,6.655713016550212,2.3277523570321503e-07
MCF10A,Flavopiridol,0.003162,$k_{\phi}$,8.75766755783499e-05,2.3277523570321503e-07
MCF10A,Flavopiridol,1.0,$k_{S}$,0.004547371777399689,49791.44967844292
MCF10A,Flavopiridol,1.0,$k_{G2}$,0.012538282568847751,49791.44967844292
MCF10A,Flavopiridol,1.0,$k_{M}$,0.009448590522543243,49791.44967844292
MCF10A,Flavopiridol,1.0,$k_{G1}$,1e-07,49791.44967844292
MCF10A,Flavopiridol,1.0,$k_{\phi}$,0.005682248030665032,49791.44967844292
MCF10A,Flavopiridol,0.001,$k_{S}$,0.09235101942273931,1.2559328596061187e-07
MCF10A,Flavopiridol,0.001,$k_{G2}$,0.19005258848526824,1.2559328596061187e-07
MCF10A,Flavopiridol,0.001,$k_{M}$,0.2448176539616707,1.2559328596061187e-07
MCF10A,Flavopiridol,0.001,$k_{G1}$,5.617537218875962,1.2559328596061187e-07
MCF10A,Flavopiridol,0.001,$k_{\phi}$,0.00011583424131784112,1.2559328596061187e-07
MCF10A,Flavopiridol,0.0001,$k_{S}$,0.09465024474662097,0.0031147041843148
MCF10A,Flavopiridol,0.0001,$k_{G2}$,0.1897074029391762,0.0031147041843148
MCF10A,Flavopiridol,0.0001,$k_{M}$,0.26764577631587533,0.0031147041843148
MCF10A,Flavopiridol,0.0001,$k_{G1}$,3.04713508021644,0.0031147041843148
MCF10A,Flavopiridol,0.0001,$k_{\phi}$,3.302148556683924e-05,0.0031147041843148
MCF10A,Flavopiridol,0.01,$k_{S}$,0.10125359177560951,9.279739306419195e-08
MCF10A,Flavopiridol,0.01,$k_{G2}$,0.15956447962045928,9.279739306419195e-08
MCF10A,Flavopiridol,0.01,$k_{M}$,0.251662614379459,9.279739306419195e-08
MCF10A,Flavopiridol,0.01,$k_{G1}$,2.734998105056263,9.279739306419195e-08
MCF10A,Flavopiridol,0.01,$k_{\phi}$,0.00023391566125087137,9.279739306419195e-08
MCF10A,Flavopiridol,0.1,$k_{S}$,0.0926304988179196,3.1704511302427124e-09
MCF10A,Flavopiridol,0.1,$k_{G2}$,0.09711346392075156,3.1704511302427124e-09
MCF10A,Flavopiridol,0.1,$k_{M}$,0.1290915278864217,3.1704511302427124e-09
MCF10A,Flavopiridol,0.1,$k_{G1}$,2.836719381490843,3.1704511302427124e-09
MCF10A,Flavopiridol,0.1,$k_{\phi}$,0.0014044125506709755,3.1704511302427124e-09
MCF10A,Flavopiridol,0.000316,$k_{S}$,0.094969487831921,2.298710306643981e-07
MCF10A,Flavopiridol,0.000316,$k_{G2}$,0.18448962829119772,2.298710306643981e-07
MCF10A,Flavopiridol,0.000316,$k_{M}$,0.2704218488815896,2.298710306643981e-07
MCF10A,Flavopiridol,0.000316,$k_{G1}$,4.6718296446184135,2.298710306643981e-07
MCF10A,Flavopiridol,0.000316,$k_{\phi}$,6.123363170326549e-05,2.298710306643981e-07
MCF10A,Flavopiridol,0.316228,$k_{S}$,0.004180212683997282,40973.48116820547
MCF10A,Flavopiridol,0.316228,$k_{G2}$,0.011457777163406607,40973.48116820547
MCF10A,Flavopiridol,0.316228,$k_{M}$,0.008004163883383379,40973.48116820547
MCF10A,Flavopiridol,0.316228,$k_{G1}$,1e-07,40973.48116820547
MCF10A,Flavopiridol,0.316228,$k_{\phi}$,0.004056372182579015,40973.48116820547
MCF10A,Flavopiridol,0.031623,$k_{S}$,0.10145787319459998,3.2512194211468217e-08
MCF10A,Flavopiridol,0.031623,$k_{G2}$,0.1444029174333305,3.2512194211468217e-08
MCF10A,Flavopiridol,0.031623,$k_{M}$,0.2122449006558558,3.2512194211468217e-08
MCF10A,Flavopiridol,0.031623,$k_{G1}$,2.779974933239394,3.2512194211468217e-08
MCF10A,Flavopiridol,0.031623,$k_{\phi}$,0.0005061189506289488,3.2512194211468217e-08
