cell_line,agent,concentration,parameter,rate,obj_func
MCF12A,E17,0.316228,$k_{S}$,0.007284850171622251,1965.9034860906552
MCF12A,E17,0.316228,$k_{G2}$,0.02424418238930292,1965.9034860906552
MCF12A,E17,0.316228,$k_{M}$,0.004688882464310038,1965.9034860906552
MCF12A,E17,0.316228,$k_{G1}$,1e-07,1965.9034860906552
MCF12A,E17,0.316228,$k_{\phi}$,0.004523363091886279,1965.9034860906552
MCF12A,E17,0.031623,$k_{S}$,0.10814632961519785,5.670963311565475e-10
MCF12A,E17,0.031623,$k_{G2}$,0.08751038502644844,5.670963311565475e-10
MCF12A,E17,0.031623,$k_{M}$,0.12348095986637105,5.670963311565475e-10
MCF12A,E17,0.031623,$k_{G1}$,2.713949757949983,5.670963311565475e-10
MCF12A,E17,0.031623,$k_{\phi}$,0.00016421097895464302,5.670963311565475e-10
MCF12A,E17,0.000316,$k_{S}$,0.1871752987179172,4.17066347595973e-09
MCF12A,E17,0.000316,$k_{G2}$,0.09150409513055525,4.17066347595973e-09
MCF12A,E17,0.000316,$k_{M}$,0.19110767988562832,4.17066347595973e-09
MCF12A,E17,0.000316,$k_{G1}$,2.851209993815011,4.17066347595973e-09
MCF12A,E17,0.000316,$k_{\phi}$,0.0002156019988720972,4.17066347595973e-09
MCF12A,E17,0.01,$k_{S}$,0.18171345923320728,1.7242173194745551e-09
MCF12A,E17,0.01,$k_{G2}$,0.09151011883487663,1.7242173194745551e-09
MCF12A,E17,0.01,$k_{M}$,0.16278328543538187,1.7242173194745551e-09
MCF12A,E17,0.01,$k_{G1}$,2.4461378034424843,1.7242173194745551e-09
MCF12A,E17,0.01,$k_{\phi}$,0.000866209857141846,1.7242173194745551e-09
MCF12A,E17,0.003162,$k_{S}$,0.1954803764285028,2.752551821743767e-09
MCF12A,E17,0.003162,$k_{G2}$,0.08845587431581052,2.752551821743767e-09
MCF12A,E17,0.003162,$k_{M}$,0.17453644256559933,2.752551821743767e-09
MCF12A,E17,0.003162,$k_{G1}$,2.5710227589319374,2.752551821743767e-09
MCF12A,E17,0.003162,$k_{\phi}$,0.0001930610277137993,2.752551821743767e-09
MCF12A,E17,1.0,$k_{S}$,0.005286348959902467,1355.0063148446106
MCF12A,E17,1.0,$k_{G2}$,0.014573823355251727,1355.0063148446106
MCF12A,E17,1.0,$k_{M}$,0.008506459448648175,1355.0063148446106
MCF12A,E17,1.0,$k_{G1}$,1e-07,1355.0063148446106
MCF12A,E17,1.0,$k_{\phi}$,0.010043077518185076,1355.0063148446106
MCF12A,E17,0.0001,$k_{S}$,0.19970591429337356,2.8662747391555626e-09
MCF12A,E17,0.0001,$k_{G2}$,0.09296962101571701,2.8662747391555626e-09
MCF12A,E17,0.0001,$k_{M}$,0.18803260752909826,2.8662747391555626e-09
MCF12A,E17,0.0001,$k_{G1}$,2.5642036111987316,2.8662747391555626e-09
MCF12A,E17,0.0001,$k_{\phi}$,0.00036644083213693856,2.8662747391555626e-09
MCF12A,E17,0.1,$k_{S}$,0.04830862488325064,3.8620160241475663e-11
MCF12A,E17,0.1,$k_{G2}$,0.10199191034899152,3.8620160241475663e-11
MCF12A,E17,0.1,$k_{M}$,0.07425379765053032,3.8620160241475663e-11
MCF12A,E17,0.1,$k_{G1}$,0.39540423048417067,3.8620160241475663e-11
MCF12A,E17,0.1,$k_{\phi}$,0.0012652724656951903,3.8620160241475663e-11
MCF12A,E17,0.001,$k_{S}$,0.20141131045960464,3.9544601609200584e-09
MCF12A,E17,0.001,$k_{G2}$,0.09514482382071189,3.9544601609200584e-09
MCF12A,E17,0.001,$k_{M}$,0.18324658388490614,3.9544601609200584e-09
MCF12A,E17,0.001,$k_{G1}$,2.300645920789913,3.9544601609200584e-09
MCF12A,E17,0.001,$k_{\phi}$,0.00023733602148540096,3.9544601609200584e-09
