cell_line,agent,concentration,parameter,rate,obj_func
MCF12A,LEE011_Ribociclib,1.0,$k_{S}$,0.14492054679830324,1.8623049140929552e-09
MCF12A,LEE011_Ribociclib,1.0,$k_{G2}$,0.0931307163062136,1.8623049140929552e-09
MCF12A,LEE011_Ribociclib,1.0,$k_{M}$,0.17579309703994267,1.8623049140929552e-09
MCF12A,LEE011_Ribociclib,1.0,$k_{G1}$,2.1600196561606646,1.8623049140929552e-09
MCF12A,LEE011_Ribociclib,1.0,$k_{\phi}$,0.00038852149775379816,1.8623049140929552e-09
MCF12A,LEE011_Ribociclib,3.162278,$k_{S}$,0.15160634612220794,1.3815941761481727e-09
MCF12A,LEE011_Ribociclib,3.162278,$k_{G2}$,0.09329211194794895,1.3815941761481727e-09
MCF12A,LEE011_Ribociclib,3.162278,$k_{M}$,0.1763052984892566,1.3815941761481727e-09
MCF12A,LEE011_Ribociclib,3.162278,$k_{G1}$,4.194362958127152,1.3815941761481727e-09
MCF12A,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.0003595079675082969,1.3815941761481727e-09
MCF12A,LEE011_Ribociclib,0.01,$k_{S}$,0.1689275362868989,2.595771469463948e-09
MCF12A,LEE011_Ribociclib,0.01,$k_{G2}$,0.0984604818624175,2.595771469463948e-09
MCF12A,LEE011_Ribociclib,0.01,$k_{M}$,0.18584391272360404,2.595771469463948e-09
MCF12A,LEE011_Ribociclib,0.01,$k_{G1}$,2.3944804187386217,2.595771469463948e-09
MCF12A,LEE011_Ribociclib,0.01,$k_{\phi}$,0.0004065359828578428,2.595771469463948e-09
MCF12A,LEE011_Ribociclib,0.1,$k_{S}$,0.17684476411110703,1.6916292438970348e-09
MCF12A,LEE011_Ribociclib,0.1,$k_{G2}$,0.0965922750085124,1.6916292438970348e-09
MCF12A,LEE011_Ribociclib,0.1,$k_{M}$,0.1897487178488074,1.6916292438970348e-09
MCF12A,LEE011_Ribociclib,0.1,$k_{G1}$,2.51812410752753,1.6916292438970348e-09
MCF12A,LEE011_Ribociclib,0.1,$k_{\phi}$,0.000257308692816066,1.6916292438970348e-09
MCF12A,LEE011_Ribociclib,0.316228,$k_{S}$,0.15364576865401328,1.9407701581188176e-09
MCF12A,LEE011_Ribociclib,0.316228,$k_{G2}$,0.09923284342461809,1.9407701581188176e-09
MCF12A,LEE011_Ribociclib,0.316228,$k_{M}$,0.16189888156565155,1.9407701581188176e-09
MCF12A,LEE011_Ribociclib,0.316228,$k_{G1}$,2.3547744703864857,1.9407701581188176e-09
MCF12A,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.00021618056844610598,1.9407701581188176e-09
MCF12A,LEE011_Ribociclib,0.003162,$k_{S}$,0.17285163136383455,11.242033591567472
MCF12A,LEE011_Ribociclib,0.003162,$k_{G2}$,0.0919144085096908,11.242033591567472
MCF12A,LEE011_Ribociclib,0.003162,$k_{M}$,0.17542718422937734,11.242033591567472
MCF12A,LEE011_Ribociclib,0.003162,$k_{G1}$,2.727045446130926,11.242033591567472
MCF12A,LEE011_Ribociclib,0.003162,$k_{\phi}$,1e-07,11.242033591567472
MCF12A,LEE011_Ribociclib,0.001,$k_{S}$,0.1977817084998147,1.1357781045595763e-09
MCF12A,LEE011_Ribociclib,0.001,$k_{G2}$,0.08947796705217433,1.1357781045595763e-09
MCF12A,LEE011_Ribociclib,0.001,$k_{M}$,0.18400911052916277,1.1357781045595763e-09
MCF12A,LEE011_Ribociclib,0.001,$k_{G1}$,2.9639055892598116,1.1357781045595763e-09
MCF12A,LEE011_Ribociclib,0.001,$k_{\phi}$,0.00021340087120637333,1.1357781045595763e-09
MCF12A,LEE011_Ribociclib,10.0,$k_{S}$,0.11077269868977124,1.3849380309626657e-09
MCF12A,LEE011_Ribociclib,10.0,$k_{G2}$,0.09988160565799421,1.3849380309626657e-09
MCF12A,LEE011_Ribociclib,10.0,$k_{M}$,0.168523974203705,1.3849380309626657e-09
MCF12A,LEE011_Ribociclib,10.0,$k_{G1}$,2.5590591261251605,1.3849380309626657e-09
MCF12A,LEE011_Ribociclib,10.0,$k_{\phi}$,0.00013353777101704454,1.3849380309626657e-09
MCF12A,LEE011_Ribociclib,0.031623,$k_{S}$,0.16098824258663838,2.4421280026855902e-09
MCF12A,LEE011_Ribociclib,0.031623,$k_{G2}$,0.10010778631155906,2.4421280026855902e-09
MCF12A,LEE011_Ribociclib,0.031623,$k_{M}$,0.167223333889792,2.4421280026855902e-09
MCF12A,LEE011_Ribociclib,0.031623,$k_{G1}$,2.3548251119248618,2.4421280026855902e-09
MCF12A,LEE011_Ribociclib,0.031623,$k_{\phi}$,0.00048818993156636033,2.4421280026855902e-09
