cell_line,agent,concentration,parameter,rate,obj_func
MCF12A,LY3023414,0.001,$k_{S}$,0.15469071219051347,1.180313253924742e-06
MCF12A,LY3023414,0.001,$k_{G2}$,0.08005252430630498,1.180313253924742e-06
MCF12A,LY3023414,0.001,$k_{M}$,0.16980262581804031,1.180313253924742e-06
MCF12A,LY3023414,0.001,$k_{G1}$,1.9475745748414306,1.180313253924742e-06
MCF12A,LY3023414,0.001,$k_{\phi}$,0.0002830185090481886,1.180313253924742e-06
MCF12A,LY3023414,10.0,$k_{S}$,0.015993191027038656,2.0297455582445775e-11
MCF12A,LY3023414,10.0,$k_{G2}$,0.0406968615956647,2.0297455582445775e-11
MCF12A,LY3023414,10.0,$k_{M}$,0.0313450656461377,2.0297455582445775e-11
MCF12A,LY3023414,10.0,$k_{G1}$,1.6866882962447964,2.0297455582445775e-11
MCF12A,LY3023414,10.0,$k_{\phi}$,0.0006335974500913817,2.0297455582445775e-11
MCF12A,LY3023414,0.1,$k_{S}$,0.10847379286996081,2.1854178406587803e-10
MCF12A,LY3023414,0.1,$k_{G2}$,0.06521502658073697,2.1854178406587803e-10
MCF12A,LY3023414,0.1,$k_{M}$,0.11937997300408063,2.1854178406587803e-10
MCF12A,LY3023414,0.1,$k_{G1}$,1.2942585150854726,2.1854178406587803e-10
MCF12A,LY3023414,0.1,$k_{\phi}$,0.0005213884599678861,2.1854178406587803e-10
MCF12A,LY3023414,0.01,$k_{S}$,0.14921814149616947,4.4993582630726204e-10
MCF12A,LY3023414,0.01,$k_{G2}$,0.076453249700086,4.4993582630726204e-10
MCF12A,LY3023414,0.01,$k_{M}$,0.15499539503780765,4.4993582630726204e-10
MCF12A,LY3023414,0.01,$k_{G1}$,1.8564475374929073,4.4993582630726204e-10
MCF12A,LY3023414,0.01,$k_{\phi}$,0.00032790042664715305,4.4993582630726204e-10
MCF12A,LY3023414,0.316228,$k_{S}$,0.09129371649858499,9.510756439014762e-11
MCF12A,LY3023414,0.316228,$k_{G2}$,0.0561972554116228,9.510756439014762e-11
MCF12A,LY3023414,0.316228,$k_{M}$,0.10512554475081665,9.510756439014762e-11
MCF12A,LY3023414,0.316228,$k_{G1}$,1.8104583922739335,9.510756439014762e-11
MCF12A,LY3023414,0.316228,$k_{\phi}$,0.00015043383825635008,9.510756439014762e-11
MCF12A,LY3023414,1.0,$k_{S}$,0.06610219606270834,21.926169998526635
MCF12A,LY3023414,1.0,$k_{G2}$,0.048115248815573455,21.926169998526635
MCF12A,LY3023414,1.0,$k_{M}$,0.08319216268585022,21.926169998526635
MCF12A,LY3023414,1.0,$k_{G1}$,1.432249031190254,21.926169998526635
MCF12A,LY3023414,1.0,$k_{\phi}$,1e-07,21.926169998526635
MCF12A,LY3023414,0.031623,$k_{S}$,0.12640508624413016,1.433852007614973e-10
MCF12A,LY3023414,0.031623,$k_{G2}$,0.06918726734831719,1.433852007614973e-10
MCF12A,LY3023414,0.031623,$k_{M}$,0.13048624159618014,1.433852007614973e-10
MCF12A,LY3023414,0.031623,$k_{G1}$,0.5222643527553634,1.433852007614973e-10
MCF12A,LY3023414,0.031623,$k_{\phi}$,0.00013669224231201792,1.433852007614973e-10
MCF12A,LY3023414,0.003162,$k_{S}$,0.1610964347728203,8.790131292719446e-06
MCF12A,LY3023414,0.003162,$k_{G2}$,0.08146579280168,8.790131292719446e-06
MCF12A,LY3023414,0.003162,$k_{M}$,0.16135559284833328,8.790131292719446e-06
MCF12A,LY3023414,0.003162,$k_{G1}$,2.9714520542427416,8.790131292719446e-06
MCF12A,LY3023414,0.003162,$k_{\phi}$,7.737668739384005e-05,8.790131292719446e-06
MCF12A,LY3023414,3.162278,$k_{S}$,0.05724006993606382,3.007702404164215e-11
MCF12A,LY3023414,3.162278,$k_{G2}$,0.039690092093861346,3.007702404164215e-11
MCF12A,LY3023414,3.162278,$k_{M}$,0.06971178375458496,3.007702404164215e-11
MCF12A,LY3023414,3.162278,$k_{G1}$,1.3807252641421233,3.007702404164215e-11
MCF12A,LY3023414,3.162278,$k_{\phi}$,3.923986781590748e-05,3.007702404164215e-11
