cell_line,agent,concentration,parameter,rate,obj_func
MCF12A,MFH-2-90,0.0001,$k_{S}$,0.20208912053085148,1.6936576056389918e-09
MCF12A,MFH-2-90,0.0001,$k_{G2}$,0.0910476978412133,1.6936576056389918e-09
MCF12A,MFH-2-90,0.0001,$k_{M}$,0.17554286965532623,1.6936576056389918e-09
MCF12A,MFH-2-90,0.0001,$k_{G1}$,2.5033830008791207,1.6936576056389918e-09
MCF12A,MFH-2-90,0.0001,$k_{\phi}$,0.00020565912487364085,1.6936576056389918e-09
MCF12A,MFH-2-90,0.003162,$k_{S}$,0.009772962425605844,543.796888921377
MCF12A,MFH-2-90,0.003162,$k_{G2}$,0.039053726667425855,543.796888921377
MCF12A,MFH-2-90,0.003162,$k_{M}$,0.001122536922415883,543.796888921377
MCF12A,MFH-2-90,0.003162,$k_{G1}$,1e-07,543.796888921377
MCF12A,MFH-2-90,0.003162,$k_{\phi}$,0.00571397392629053,543.796888921377
MCF12A,MFH-2-90,1e-05,$k_{S}$,0.20376639138441602,1.2727809419419506e-05
MCF12A,MFH-2-90,1e-05,$k_{G2}$,0.09276468161014577,1.2727809419419506e-05
MCF12A,MFH-2-90,1e-05,$k_{M}$,0.20167362101977976,1.2727809419419506e-05
MCF12A,MFH-2-90,1e-05,$k_{G1}$,2.3439056850252578,1.2727809419419506e-05
MCF12A,MFH-2-90,1e-05,$k_{\phi}$,0.0003062197109604192,1.2727809419419506e-05
MCF12A,MFH-2-90,0.000316,$k_{S}$,0.1962220252835098,3.487340456194998e-09
MCF12A,MFH-2-90,0.000316,$k_{G2}$,0.09319990094101652,3.487340456194998e-09
MCF12A,MFH-2-90,0.000316,$k_{M}$,0.18122047454670745,3.487340456194998e-09
MCF12A,MFH-2-90,0.000316,$k_{G1}$,2.3343903815744587,3.487340456194998e-09
MCF12A,MFH-2-90,0.000316,$k_{\phi}$,0.0002942526812440306,3.487340456194998e-09
MCF12A,MFH-2-90,3.2e-05,$k_{S}$,0.20120375704402835,3.3273428521963125e-09
MCF12A,MFH-2-90,3.2e-05,$k_{G2}$,0.09029335293149426,3.3273428521963125e-09
MCF12A,MFH-2-90,3.2e-05,$k_{M}$,0.1908540094407882,3.3273428521963125e-09
MCF12A,MFH-2-90,3.2e-05,$k_{G1}$,2.7153533862596553,3.3273428521963125e-09
MCF12A,MFH-2-90,3.2e-05,$k_{\phi}$,0.00036056201146508694,3.3273428521963125e-09
MCF12A,MFH-2-90,0.001,$k_{S}$,0.09180244673163301,2.066076235483068e-06
MCF12A,MFH-2-90,0.001,$k_{G2}$,0.08628177648144997,2.066076235483068e-06
MCF12A,MFH-2-90,0.001,$k_{M}$,0.10685205422333414,2.066076235483068e-06
MCF12A,MFH-2-90,0.001,$k_{G1}$,2.2886447793322655,2.066076235483068e-06
MCF12A,MFH-2-90,0.001,$k_{\phi}$,0.001072434387122067,2.066076235483068e-06
MCF12A,MFH-2-90,0.1,$k_{S}$,0.0037678728535002074,2983.8280746324654
MCF12A,MFH-2-90,0.1,$k_{G2}$,0.013015248963891465,2983.8280746324654
MCF12A,MFH-2-90,0.1,$k_{M}$,0.008634192619182215,2983.8280746324654
MCF12A,MFH-2-90,0.1,$k_{G1}$,1e-07,2983.8280746324654
MCF12A,MFH-2-90,0.1,$k_{\phi}$,0.0058157829513135655,2983.8280746324654
MCF12A,MFH-2-90,0.01,$k_{S}$,0.005156106195917295,2500.321747251994
MCF12A,MFH-2-90,0.01,$k_{G2}$,0.015440434416204678,2500.321747251994
MCF12A,MFH-2-90,0.01,$k_{M}$,0.00883658067381593,2500.321747251994
MCF12A,MFH-2-90,0.01,$k_{G1}$,1e-07,2500.321747251994
MCF12A,MFH-2-90,0.01,$k_{\phi}$,0.008036161396099624,2500.321747251994
MCF12A,MFH-2-90,0.031623,$k_{S}$,0.006106050033437523,5399.595977855968
MCF12A,MFH-2-90,0.031623,$k_{G2}$,0.015027050301096266,5399.595977855968
MCF12A,MFH-2-90,0.031623,$k_{M}$,0.009083250356225727,5399.595977855968
MCF12A,MFH-2-90,0.031623,$k_{G1}$,1e-07,5399.595977855968
MCF12A,MFH-2-90,0.031623,$k_{\phi}$,0.003830903251194577,5399.595977855968
