cell_line,agent,concentration,parameter,rate,obj_func
MCF12A,THZ531,1.0,$k_{S}$,0.0033552566950258147,14.483698026545714
MCF12A,THZ531,1.0,$k_{G2}$,0.03520041504375102,14.483698026545714
MCF12A,THZ531,1.0,$k_{M}$,1e-07,14.483698026545714
MCF12A,THZ531,1.0,$k_{G1}$,0.006356545174248424,14.483698026545714
MCF12A,THZ531,1.0,$k_{\phi}$,0.003909873912229839,14.483698026545714
MCF12A,THZ531,0.001,$k_{S}$,0.1990943354981546,4.098998919991306e-09
MCF12A,THZ531,0.001,$k_{G2}$,0.09685702166005718,4.098998919991306e-09
MCF12A,THZ531,0.001,$k_{M}$,0.18397484734645844,4.098998919991306e-09
MCF12A,THZ531,0.001,$k_{G1}$,2.1887631228998514,4.098998919991306e-09
MCF12A,THZ531,0.001,$k_{\phi}$,0.0003717153732936375,4.098998919991306e-09
MCF12A,THZ531,0.1,$k_{S}$,0.18273529949640582,2.0978637010066432e-09
MCF12A,THZ531,0.1,$k_{G2}$,0.10022606450060348,2.0978637010066432e-09
MCF12A,THZ531,0.1,$k_{M}$,0.18064622895375304,2.0978637010066432e-09
MCF12A,THZ531,0.1,$k_{G1}$,2.394323033425959,2.0978637010066432e-09
MCF12A,THZ531,0.1,$k_{\phi}$,0.000296340340441975,2.0978637010066432e-09
MCF12A,THZ531,0.01,$k_{S}$,0.19021994408308543,5.503345006983114e-09
MCF12A,THZ531,0.01,$k_{G2}$,0.09747303192851765,5.503345006983114e-09
MCF12A,THZ531,0.01,$k_{M}$,0.19674114920629288,5.503345006983114e-09
MCF12A,THZ531,0.01,$k_{G1}$,2.5992104273248846,5.503345006983114e-09
MCF12A,THZ531,0.01,$k_{\phi}$,0.00038783570975324614,5.503345006983114e-09
MCF12A,THZ531,0.031623,$k_{S}$,0.20252302226827767,5.4411680464091704e-09
MCF12A,THZ531,0.031623,$k_{G2}$,0.09312398730880296,5.4411680464091704e-09
MCF12A,THZ531,0.031623,$k_{M}$,0.1774108554300776,5.4411680464091704e-09
MCF12A,THZ531,0.031623,$k_{G1}$,3.615599389713517,5.4411680464091704e-09
MCF12A,THZ531,0.031623,$k_{\phi}$,0.0005112885907885181,5.4411680464091704e-09
MCF12A,THZ531,0.0001,$k_{S}$,0.18563424545308227,2.548164152100847e-09
MCF12A,THZ531,0.0001,$k_{G2}$,0.09454996803211554,2.548164152100847e-09
MCF12A,THZ531,0.0001,$k_{M}$,0.17367270755073103,2.548164152100847e-09
MCF12A,THZ531,0.0001,$k_{G1}$,2.4196718888393796,2.548164152100847e-09
MCF12A,THZ531,0.0001,$k_{\phi}$,0.0005402114165560918,2.548164152100847e-09
MCF12A,THZ531,0.316228,$k_{S}$,0.16737512943970853,2.2834503623425705e-09
MCF12A,THZ531,0.316228,$k_{G2}$,0.09638729634373425,2.2834503623425705e-09
MCF12A,THZ531,0.316228,$k_{M}$,0.16430245402803983,2.2834503623425705e-09
MCF12A,THZ531,0.316228,$k_{G1}$,2.4386088854702104,2.2834503623425705e-09
MCF12A,THZ531,0.316228,$k_{\phi}$,0.00022652507612533264,2.2834503623425705e-09
MCF12A,THZ531,0.003162,$k_{S}$,0.1998830106372622,9.525194644196142e-10
MCF12A,THZ531,0.003162,$k_{G2}$,0.08616623164614617,9.525194644196142e-10
MCF12A,THZ531,0.003162,$k_{M}$,0.17386587332767772,9.525194644196142e-10
MCF12A,THZ531,0.003162,$k_{G1}$,2.710164428750553,9.525194644196142e-10
MCF12A,THZ531,0.003162,$k_{\phi}$,0.0001382821184797272,9.525194644196142e-10
MCF12A,THZ531,0.000316,$k_{S}$,0.2057100144328739,0.0005602757138380978
MCF12A,THZ531,0.000316,$k_{G2}$,0.09124596235129936,0.0005602757138380978
MCF12A,THZ531,0.000316,$k_{M}$,0.19122725272732236,0.0005602757138380978
MCF12A,THZ531,0.000316,$k_{G1}$,2.365639756234567,0.0005602757138380978
MCF12A,THZ531,0.000316,$k_{\phi}$,0.0003178899475304683,0.0005602757138380978
