cell_line,agent,concentration,parameter,rate,obj_func
MCF12A,YKL-5-124,3.162278,$k_{S}$,0.021774475581053866,4.414128327428036e-11
MCF12A,YKL-5-124,3.162278,$k_{G2}$,0.32111109571199825,4.414128327428036e-11
MCF12A,YKL-5-124,3.162278,$k_{M}$,0.011491873222436819,4.414128327428036e-11
MCF12A,YKL-5-124,3.162278,$k_{G1}$,0.503517997423102,4.414128327428036e-11
MCF12A,YKL-5-124,3.162278,$k_{\phi}$,0.000537294546606868,4.414128327428036e-11
MCF12A,YKL-5-124,0.01,$k_{S}$,0.0334847098510492,6.624792818109681e-11
MCF12A,YKL-5-124,0.01,$k_{G2}$,0.7058229886551525,6.624792818109681e-11
MCF12A,YKL-5-124,0.01,$k_{M}$,0.03123724455431485,6.624792818109681e-11
MCF12A,YKL-5-124,0.01,$k_{G1}$,1.146956088294652,6.624792818109681e-11
MCF12A,YKL-5-124,0.01,$k_{\phi}$,0.0016385046383045594,6.624792818109681e-11
MCF12A,YKL-5-124,10.0,$k_{S}$,1e-07,14.815825707832474
MCF12A,YKL-5-124,10.0,$k_{G2}$,0.0080597056447487,14.815825707832474
MCF12A,YKL-5-124,10.0,$k_{M}$,0.007991583682635113,14.815825707832474
MCF12A,YKL-5-124,10.0,$k_{G1}$,0.017764411381185823,14.815825707832474
MCF12A,YKL-5-124,10.0,$k_{\phi}$,0.0009171806622101936,14.815825707832474
MCF12A,YKL-5-124,0.1,$k_{S}$,0.028986677057746973,1.3675340829006568e-11
MCF12A,YKL-5-124,0.1,$k_{G2}$,0.1150155438338558,1.3675340829006568e-11
MCF12A,YKL-5-124,0.1,$k_{M}$,0.019875669696739647,1.3675340829006568e-11
MCF12A,YKL-5-124,0.1,$k_{G1}$,0.5382305029032276,1.3675340829006568e-11
MCF12A,YKL-5-124,0.1,$k_{\phi}$,0.001409662682294843,1.3675340829006568e-11
MCF12A,YKL-5-124,0.316228,$k_{S}$,0.01486510558531116,1.5731656459382278e-11
MCF12A,YKL-5-124,0.316228,$k_{G2}$,0.08387289314734257,1.5731656459382278e-11
MCF12A,YKL-5-124,0.316228,$k_{M}$,0.016067560556064356,1.5731656459382278e-11
MCF12A,YKL-5-124,0.316228,$k_{G1}$,0.4579789555781053,1.5731656459382278e-11
MCF12A,YKL-5-124,0.316228,$k_{\phi}$,0.0009549745456274816,1.5731656459382278e-11
MCF12A,YKL-5-124,0.001,$k_{S}$,0.10176556655954197,2.558473553495709e-10
MCF12A,YKL-5-124,0.001,$k_{G2}$,0.10406643260497365,2.558473553495709e-10
MCF12A,YKL-5-124,0.001,$k_{M}$,0.08408164406772206,2.558473553495709e-10
MCF12A,YKL-5-124,0.001,$k_{G1}$,3.6493615176416387,2.558473553495709e-10
MCF12A,YKL-5-124,0.001,$k_{\phi}$,0.0007084611639320203,2.558473553495709e-10
MCF12A,YKL-5-124,0.003162,$k_{S}$,0.046706232777824715,8.242819962081798e-11
MCF12A,YKL-5-124,0.003162,$k_{G2}$,0.16542089035375487,8.242819962081798e-11
MCF12A,YKL-5-124,0.003162,$k_{M}$,0.036082141617231604,8.242819962081798e-11
MCF12A,YKL-5-124,0.003162,$k_{G1}$,1.2251809784868022,8.242819962081798e-11
MCF12A,YKL-5-124,0.003162,$k_{\phi}$,0.00011515339165797053,8.242819962081798e-11
MCF12A,YKL-5-124,0.031623,$k_{S}$,0.027386311646047608,2.0926767484285986e-11
MCF12A,YKL-5-124,0.031623,$k_{G2}$,0.12754997822133854,2.0926767484285986e-11
MCF12A,YKL-5-124,0.031623,$k_{M}$,0.021773529176803717,2.0926767484285986e-11
MCF12A,YKL-5-124,0.031623,$k_{G1}$,1.218716671480009,2.0926767484285986e-11
MCF12A,YKL-5-124,0.031623,$k_{\phi}$,0.0009840684886777966,2.0926767484285986e-11
MCF12A,YKL-5-124,1.0,$k_{S}$,0.029428947348255543,1.2432803853091708e-11
MCF12A,YKL-5-124,1.0,$k_{G2}$,0.11634702935977179,1.2432803853091708e-11
MCF12A,YKL-5-124,1.0,$k_{M}$,0.015503101760635416,1.2432803853091708e-11
MCF12A,YKL-5-124,1.0,$k_{G1}$,0.9109822813143398,1.2432803853091708e-11
MCF12A,YKL-5-124,1.0,$k_{\phi}$,0.0012180981742418704,1.2432803853091708e-11
