cell_line,agent,concentration,parameter,rate,obj_func
MCF12A,senexinb,0.031623,$k_{S}$,0.2251138403763886,0.0003378898671842393
MCF12A,senexinb,0.031623,$k_{G2}$,0.08672948181925191,0.0003378898671842393
MCF12A,senexinb,0.031623,$k_{M}$,0.1611662198428584,0.0003378898671842393
MCF12A,senexinb,0.031623,$k_{G1}$,3.2103325194519523,0.0003378898671842393
MCF12A,senexinb,0.031623,$k_{\phi}$,0.00020215996687907045,0.0003378898671842393
MCF12A,senexinb,0.003162,$k_{S}$,0.23163470947449344,3.053073246244559e-09
MCF12A,senexinb,0.003162,$k_{G2}$,0.08623371923072537,3.053073246244559e-09
MCF12A,senexinb,0.003162,$k_{M}$,0.17222189082962963,3.053073246244559e-09
MCF12A,senexinb,0.003162,$k_{G1}$,2.4143262597942003,3.053073246244559e-09
MCF12A,senexinb,0.003162,$k_{\phi}$,0.00029613270804074296,3.053073246244559e-09
MCF12A,senexinb,1.0,$k_{S}$,0.19793773211967733,2.0512292618989854e-07
MCF12A,senexinb,1.0,$k_{G2}$,0.09059831802113824,2.0512292618989854e-07
MCF12A,senexinb,1.0,$k_{M}$,0.13208087457035403,2.0512292618989854e-07
MCF12A,senexinb,1.0,$k_{G1}$,2.0216760393871476,2.0512292618989854e-07
MCF12A,senexinb,1.0,$k_{\phi}$,0.00048560206338471806,2.0512292618989854e-07
MCF12A,senexinb,0.001,$k_{S}$,0.2181106702320666,2.0396666306142092e-09
MCF12A,senexinb,0.001,$k_{G2}$,0.0906870699051624,2.0396666306142092e-09
MCF12A,senexinb,0.001,$k_{M}$,0.18193813596173347,2.0396666306142092e-09
MCF12A,senexinb,0.001,$k_{G1}$,2.821533380335927,2.0396666306142092e-09
MCF12A,senexinb,0.001,$k_{\phi}$,0.0006362122000756698,2.0396666306142092e-09
MCF12A,senexinb,0.1,$k_{S}$,0.2262906835513327,1.1120443758345185e-09
MCF12A,senexinb,0.1,$k_{G2}$,0.08825408904878013,1.1120443758345185e-09
MCF12A,senexinb,0.1,$k_{M}$,0.16764068842870924,1.1120443758345185e-09
MCF12A,senexinb,0.1,$k_{G1}$,2.67938335061771,1.1120443758345185e-09
MCF12A,senexinb,0.1,$k_{\phi}$,0.0005343526998140108,1.1120443758345185e-09
MCF12A,senexinb,10.0,$k_{S}$,0.1825820984776204,4.4936732459442295e-10
MCF12A,senexinb,10.0,$k_{G2}$,0.09111369560820776,4.4936732459442295e-10
MCF12A,senexinb,10.0,$k_{M}$,0.11387255039747697,4.4936732459442295e-10
MCF12A,senexinb,10.0,$k_{G1}$,2.3987818153502585,4.4936732459442295e-10
MCF12A,senexinb,10.0,$k_{\phi}$,0.0005019797812652946,4.4936732459442295e-10
MCF12A,senexinb,3.162278,$k_{S}$,0.1875661072233308,0.0010352975762869061
MCF12A,senexinb,3.162278,$k_{G2}$,0.09088956911193528,0.0010352975762869061
MCF12A,senexinb,3.162278,$k_{M}$,0.12510089264982216,0.0010352975762869061
MCF12A,senexinb,3.162278,$k_{G1}$,1.744851350011931,0.0010352975762869061
MCF12A,senexinb,3.162278,$k_{\phi}$,0.0005960440110587439,0.0010352975762869061
MCF12A,senexinb,0.316228,$k_{S}$,0.20328307400927537,1.4181717850912588e-06
MCF12A,senexinb,0.316228,$k_{G2}$,0.09412864744907097,1.4181717850912588e-06
MCF12A,senexinb,0.316228,$k_{M}$,0.13312595582852038,1.4181717850912588e-06
MCF12A,senexinb,0.316228,$k_{G1}$,2.138768051461085,1.4181717850912588e-06
MCF12A,senexinb,0.316228,$k_{\phi}$,0.0006353929875315456,1.4181717850912588e-06
MCF12A,senexinb,0.01,$k_{S}$,0.21442701205971187,1.880252252867545e-09
MCF12A,senexinb,0.01,$k_{G2}$,0.08383327764038735,1.880252252867545e-09
MCF12A,senexinb,0.01,$k_{M}$,0.16053186235478908,1.880252252867545e-09
MCF12A,senexinb,0.01,$k_{G1}$,2.3907405489713525,1.880252252867545e-09
MCF12A,senexinb,0.01,$k_{\phi}$,0.0004729166800081339,1.880252252867545e-09
