cell_line,agent,concentration,parameter,rate,obj_func
MCF7,E17,0.031623,$k_{S}$,0.0008637175328543739,137948.09872694017
MCF7,E17,0.031623,$k_{G2}$,0.01099383314552273,137948.09872694017
MCF7,E17,0.031623,$k_{M}$,0.0024344314297450893,137948.09872694017
MCF7,E17,0.031623,$k_{G1}$,1e-07,137948.09872694017
MCF7,E17,0.031623,$k_{\phi}$,0.0032505410235406868,137948.09872694017
MCF7,E17,0.001,$k_{S}$,0.001633480714941053,43650.14547946702
MCF7,E17,0.001,$k_{G2}$,0.015776084882743548,43650.14547946702
MCF7,E17,0.001,$k_{M}$,0.008241258703874401,43650.14547946702
MCF7,E17,0.001,$k_{G1}$,1e-07,43650.14547946702
MCF7,E17,0.001,$k_{\phi}$,0.0036381354663433375,43650.14547946702
MCF7,E17,0.316228,$k_{S}$,0.00011138257760159814,100869.0989775733
MCF7,E17,0.316228,$k_{G2}$,0.012183901674805226,100869.0989775733
MCF7,E17,0.316228,$k_{M}$,0.0025457621925279944,100869.0989775733
MCF7,E17,0.316228,$k_{G1}$,1e-07,100869.0989775733
MCF7,E17,0.316228,$k_{\phi}$,0.0028001173015162304,100869.0989775733
MCF7,E17,3.162278,$k_{S}$,5.744891585125305e-05,117710.81388654119
MCF7,E17,3.162278,$k_{G2}$,0.010871646414644427,117710.81388654119
MCF7,E17,3.162278,$k_{M}$,0.001053451432800606,117710.81388654119
MCF7,E17,3.162278,$k_{G1}$,1e-07,117710.81388654119
MCF7,E17,3.162278,$k_{\phi}$,0.0028521064878001146,117710.81388654119
MCF7,E17,10.0,$k_{S}$,0.00199421361706305,135742.33898548043
MCF7,E17,10.0,$k_{G2}$,0.012372734991793437,135742.33898548043
MCF7,E17,10.0,$k_{M}$,0.005149820508995106,135742.33898548043
MCF7,E17,10.0,$k_{G1}$,1e-07,135742.33898548043
MCF7,E17,10.0,$k_{\phi}$,0.004008991102022694,135742.33898548043
MCF7,E17,0.003162,$k_{S}$,0.0016918569062511599,129124.41920446818
MCF7,E17,0.003162,$k_{G2}$,0.012872906843563013,129124.41920446818
MCF7,E17,0.003162,$k_{M}$,0.0015444538306182251,129124.41920446818
MCF7,E17,0.003162,$k_{G1}$,1e-07,129124.41920446818
MCF7,E17,0.003162,$k_{\phi}$,0.0032189430511859363,129124.41920446818
MCF7,E17,0.01,$k_{S}$,0.0010914875006702415,123508.73029434448
MCF7,E17,0.01,$k_{G2}$,0.01204877115464325,123508.73029434448
MCF7,E17,0.01,$k_{M}$,0.001604664084481821,123508.73029434448
MCF7,E17,0.01,$k_{G1}$,1e-07,123508.73029434448
MCF7,E17,0.01,$k_{\phi}$,0.003330733827887825,123508.73029434448
MCF7,E17,0.1,$k_{S}$,0.0011137408089419434,104981.82151692733
MCF7,E17,0.1,$k_{G2}$,0.014761398835154737,104981.82151692733
MCF7,E17,0.1,$k_{M}$,1.0000001662672062e-07,104981.82151692733
MCF7,E17,0.1,$k_{G1}$,1e-07,104981.82151692733
MCF7,E17,0.1,$k_{\phi}$,0.002146142282764297,104981.82151692733
MCF7,E17,1.0,$k_{S}$,1e-07,92639.36739135647
MCF7,E17,1.0,$k_{G2}$,0.013167085294084413,92639.36739135647
MCF7,E17,1.0,$k_{M}$,1e-07,92639.36739135647
MCF7,E17,1.0,$k_{G1}$,1e-07,92639.36739135647
MCF7,E17,1.0,$k_{\phi}$,0.0021541313959123802,92639.36739135647
