cell_line,agent,concentration,parameter,rate,obj_func
MCF7,LEE011_Ribociclib,0.316228,$k_{S}$,0.014324919260611014,4.457022197133662e-10
MCF7,LEE011_Ribociclib,0.316228,$k_{G2}$,0.06508099386370168,4.457022197133662e-10
MCF7,LEE011_Ribociclib,0.316228,$k_{M}$,0.06745771386329762,4.457022197133662e-10
MCF7,LEE011_Ribociclib,0.316228,$k_{G1}$,0.9438450944560889,4.457022197133662e-10
MCF7,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.00011539189966299075,4.457022197133662e-10
MCF7,LEE011_Ribociclib,3.162278,$k_{S}$,0.00837365147748239,2.0660804768232243e-10
MCF7,LEE011_Ribociclib,3.162278,$k_{G2}$,0.06645446381376148,2.0660804768232243e-10
MCF7,LEE011_Ribociclib,3.162278,$k_{M}$,0.05278485818191773,2.0660804768232243e-10
MCF7,LEE011_Ribociclib,3.162278,$k_{G1}$,0.39309690698462524,2.0660804768232243e-10
MCF7,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.00011820966045627648,2.0660804768232243e-10
MCF7,LEE011_Ribociclib,0.001,$k_{S}$,0.037323002462721924,4.322770582804675e-10
MCF7,LEE011_Ribociclib,0.001,$k_{G2}$,0.07538616145079237,4.322770582804675e-10
MCF7,LEE011_Ribociclib,0.001,$k_{M}$,0.1370362843996789,4.322770582804675e-10
MCF7,LEE011_Ribociclib,0.001,$k_{G1}$,0.917854037415716,4.322770582804675e-10
MCF7,LEE011_Ribociclib,0.001,$k_{\phi}$,4.979120845931724e-05,4.322770582804675e-10
MCF7,LEE011_Ribociclib,0.031623,$k_{S}$,0.02336049374284891,4.339907864380123e-10
MCF7,LEE011_Ribociclib,0.031623,$k_{G2}$,0.07988335299323363,4.339907864380123e-10
MCF7,LEE011_Ribociclib,0.031623,$k_{M}$,0.10344679680880807,4.339907864380123e-10
MCF7,LEE011_Ribociclib,0.031623,$k_{G1}$,0.8762561800903939,4.339907864380123e-10
MCF7,LEE011_Ribociclib,0.031623,$k_{\phi}$,7.81849814634883e-05,4.339907864380123e-10
MCF7,LEE011_Ribociclib,0.1,$k_{S}$,0.01763235303430257,1.7694736539489415e-10
MCF7,LEE011_Ribociclib,0.1,$k_{G2}$,0.07216221632690645,1.7694736539489415e-10
MCF7,LEE011_Ribociclib,0.1,$k_{M}$,0.08802170316991847,1.7694736539489415e-10
MCF7,LEE011_Ribociclib,0.1,$k_{G1}$,0.4099926820613357,1.7694736539489415e-10
MCF7,LEE011_Ribociclib,0.1,$k_{\phi}$,5.7274313410285165e-05,1.7694736539489415e-10
MCF7,LEE011_Ribociclib,0.01,$k_{S}$,0.024738545420469143,9.464467266270431e-10
MCF7,LEE011_Ribociclib,0.01,$k_{G2}$,0.07741296385701947,9.464467266270431e-10
MCF7,LEE011_Ribociclib,0.01,$k_{M}$,0.10715127120904976,9.464467266270431e-10
MCF7,LEE011_Ribociclib,0.01,$k_{G1}$,0.7572274950926812,9.464467266270431e-10
MCF7,LEE011_Ribociclib,0.01,$k_{\phi}$,6.819694171178441e-05,9.464467266270431e-10
MCF7,LEE011_Ribociclib,0.003162,$k_{S}$,0.031035454829655154,1.103646763459765e-09
MCF7,LEE011_Ribociclib,0.003162,$k_{G2}$,0.06903189151709128,1.103646763459765e-09
MCF7,LEE011_Ribociclib,0.003162,$k_{M}$,0.11459581887999645,1.103646763459765e-09
MCF7,LEE011_Ribociclib,0.003162,$k_{G1}$,0.6265645830748582,1.103646763459765e-09
MCF7,LEE011_Ribociclib,0.003162,$k_{\phi}$,0.0001140679108317813,1.103646763459765e-09
MCF7,LEE011_Ribociclib,10.0,$k_{S}$,0.005284776323571464,1.6157876062102617e-10
MCF7,LEE011_Ribociclib,10.0,$k_{G2}$,0.6367855391887071,1.6157876062102617e-10
MCF7,LEE011_Ribociclib,10.0,$k_{M}$,0.047241966974698124,1.6157876062102617e-10
MCF7,LEE011_Ribociclib,10.0,$k_{G1}$,0.40321151863200355,1.6157876062102617e-10
MCF7,LEE011_Ribociclib,10.0,$k_{\phi}$,0.00012115261614391472,1.6157876062102617e-10
MCF7,LEE011_Ribociclib,1.0,$k_{S}$,0.013685193484730242,1.852228691229008e-10
MCF7,LEE011_Ribociclib,1.0,$k_{G2}$,0.07565508081192979,1.852228691229008e-10
MCF7,LEE011_Ribociclib,1.0,$k_{M}$,0.07321000587071273,1.852228691229008e-10
MCF7,LEE011_Ribociclib,1.0,$k_{G1}$,0.37128618580453393,1.852228691229008e-10
MCF7,LEE011_Ribociclib,1.0,$k_{\phi}$,0.00015785005887571774,1.852228691229008e-10
