cell_line,agent,concentration,parameter,rate,obj_func
MCF7,LY2606368,1.0,$k_{S}$,0.006896574107354311,2.905643279738425e-10
MCF7,LY2606368,1.0,$k_{G2}$,0.047335058043592594,2.905643279738425e-10
MCF7,LY2606368,1.0,$k_{M}$,0.0038932544568468725,2.905643279738425e-10
MCF7,LY2606368,1.0,$k_{G1}$,0.06413495431265241,2.905643279738425e-10
MCF7,LY2606368,1.0,$k_{\phi}$,0.0008092895664315986,2.905643279738425e-10
MCF7,LY2606368,0.01,$k_{S}$,0.01323550237327396,2.9993420512845514e-10
MCF7,LY2606368,0.01,$k_{G2}$,0.0946573726583034,2.9993420512845514e-10
MCF7,LY2606368,0.01,$k_{M}$,0.006820363667231308,2.9993420512845514e-10
MCF7,LY2606368,0.01,$k_{G1}$,0.06178913168379015,2.9993420512845514e-10
MCF7,LY2606368,0.01,$k_{\phi}$,0.0007278605484703423,2.9993420512845514e-10
MCF7,LY2606368,0.1,$k_{S}$,0.010373387290698123,2.8201849523881107e-10
MCF7,LY2606368,0.1,$k_{G2}$,0.0659076734418718,2.8201849523881107e-10
MCF7,LY2606368,0.1,$k_{M}$,0.006177017127325789,2.8201849523881107e-10
MCF7,LY2606368,0.1,$k_{G1}$,0.05936587791559826,2.8201849523881107e-10
MCF7,LY2606368,0.1,$k_{\phi}$,0.0007146002929774774,2.8201849523881107e-10
MCF7,LY2606368,0.316228,$k_{S}$,0.01917203815969316,6.066567820761161e-10
MCF7,LY2606368,0.316228,$k_{G2}$,0.13155980672944967,6.066567820761161e-10
MCF7,LY2606368,0.316228,$k_{M}$,0.010682697951734148,6.066567820761161e-10
MCF7,LY2606368,0.316228,$k_{G1}$,0.1448647740968483,6.066567820761161e-10
MCF7,LY2606368,0.316228,$k_{\phi}$,0.0008030739709202185,6.066567820761161e-10
MCF7,LY2606368,0.001,$k_{S}$,0.0062363152137913025,2.7619556920633525e-10
MCF7,LY2606368,0.001,$k_{G2}$,0.04714344275087046,2.7619556920633525e-10
MCF7,LY2606368,0.001,$k_{M}$,0.0039045274370497905,2.7619556920633525e-10
MCF7,LY2606368,0.001,$k_{G1}$,0.0279131863463295,2.7619556920633525e-10
MCF7,LY2606368,0.001,$k_{\phi}$,0.0007182538262872448,2.7619556920633525e-10
MCF7,LY2606368,0.003162,$k_{S}$,0.020019951645585173,1.6491932276846748e-10
MCF7,LY2606368,0.003162,$k_{G2}$,0.13366014018566152,1.6491932276846748e-10
MCF7,LY2606368,0.003162,$k_{M}$,0.009776109116415946,1.6491932276846748e-10
MCF7,LY2606368,0.003162,$k_{G1}$,0.07168886042201045,1.6491932276846748e-10
MCF7,LY2606368,0.003162,$k_{\phi}$,0.0005869159953890809,1.6491932276846748e-10
MCF7,LY2606368,10.0,$k_{S}$,0.006987450864895398,4.3066097466340303e-10
MCF7,LY2606368,10.0,$k_{G2}$,0.043999807349522295,4.3066097466340303e-10
MCF7,LY2606368,10.0,$k_{M}$,0.008373938748472825,4.3066097466340303e-10
MCF7,LY2606368,10.0,$k_{G1}$,0.08736524081432616,4.3066097466340303e-10
MCF7,LY2606368,10.0,$k_{\phi}$,0.0014919068658322853,4.3066097466340303e-10
MCF7,LY2606368,0.031623,$k_{S}$,0.021157538155261574,4.681746378147874e-10
MCF7,LY2606368,0.031623,$k_{G2}$,0.08681116464412975,4.681746378147874e-10
MCF7,LY2606368,0.031623,$k_{M}$,0.011207228834058048,4.681746378147874e-10
MCF7,LY2606368,0.031623,$k_{G1}$,0.1920366048034346,4.681746378147874e-10
MCF7,LY2606368,0.031623,$k_{\phi}$,0.0007223157238837279,4.681746378147874e-10
MCF7,LY2606368,3.162278,$k_{S}$,0.009180335092756602,2.6556687370056376e-10
MCF7,LY2606368,3.162278,$k_{G2}$,0.07926546735684102,2.6556687370056376e-10
MCF7,LY2606368,3.162278,$k_{M}$,0.009914339780082057,2.6556687370056376e-10
MCF7,LY2606368,3.162278,$k_{G1}$,0.07515290519685879,2.6556687370056376e-10
MCF7,LY2606368,3.162278,$k_{\phi}$,0.0012895880479041268,2.6556687370056376e-10
