cell_line,agent,concentration,parameter,rate,obj_func
MCF7_PR,Flavopiridol,0.003162,$k_{S}$,0.019337733372355215,6.368954978895089e-11
MCF7_PR,Flavopiridol,0.003162,$k_{G2}$,0.06445114611877346,6.368954978895089e-11
MCF7_PR,Flavopiridol,0.003162,$k_{M}$,0.042051461202871454,6.368954978895089e-11
MCF7_PR,Flavopiridol,0.003162,$k_{G1}$,0.04457254601693326,6.368954978895089e-11
MCF7_PR,Flavopiridol,0.003162,$k_{\phi}$,0.0008849770819024435,6.368954978895089e-11
MCF7_PR,Flavopiridol,1.0,$k_{S}$,0.0046166991373937,11148.865307535598
MCF7_PR,Flavopiridol,1.0,$k_{G2}$,0.03302611621886891,11148.865307535598
MCF7_PR,Flavopiridol,1.0,$k_{M}$,0.015166568783109614,11148.865307535598
MCF7_PR,Flavopiridol,1.0,$k_{G1}$,1e-07,11148.865307535598
MCF7_PR,Flavopiridol,1.0,$k_{\phi}$,0.002918009719296811,11148.865307535598
MCF7_PR,Flavopiridol,0.001,$k_{S}$,0.008454603673415037,4.988064823102901e-11
MCF7_PR,Flavopiridol,0.001,$k_{G2}$,0.02315377128914838,4.988064823102901e-11
MCF7_PR,Flavopiridol,0.001,$k_{M}$,0.02635008271312178,4.988064823102901e-11
MCF7_PR,Flavopiridol,0.001,$k_{G1}$,0.004377804902192626,4.988064823102901e-11
MCF7_PR,Flavopiridol,0.001,$k_{\phi}$,0.001961533383791314,4.988064823102901e-11
MCF7_PR,Flavopiridol,0.0001,$k_{S}$,0.02084002345286989,7.521209330146748e-11
MCF7_PR,Flavopiridol,0.0001,$k_{G2}$,0.055377080374552905,7.521209330146748e-11
MCF7_PR,Flavopiridol,0.0001,$k_{M}$,0.039189484792950986,7.521209330146748e-11
MCF7_PR,Flavopiridol,0.0001,$k_{G1}$,0.04686988501106472,7.521209330146748e-11
MCF7_PR,Flavopiridol,0.0001,$k_{\phi}$,0.001351512664757718,7.521209330146748e-11
MCF7_PR,Flavopiridol,0.01,$k_{S}$,0.01333203902642236,7915.094599850103
MCF7_PR,Flavopiridol,0.01,$k_{G2}$,0.010906503282194124,7915.094599850103
MCF7_PR,Flavopiridol,0.01,$k_{M}$,0.02067391943440386,7915.094599850103
MCF7_PR,Flavopiridol,0.01,$k_{G1}$,1e-07,7915.094599850103
MCF7_PR,Flavopiridol,0.01,$k_{\phi}$,0.002108847396675057,7915.094599850103
MCF7_PR,Flavopiridol,0.1,$k_{S}$,0.02356182871424493,1.9814740922857864e-11
MCF7_PR,Flavopiridol,0.1,$k_{G2}$,0.03422017461573653,1.9814740922857864e-11
MCF7_PR,Flavopiridol,0.1,$k_{M}$,0.047920113244117914,1.9814740922857864e-11
MCF7_PR,Flavopiridol,0.1,$k_{G1}$,0.045760857583141766,1.9814740922857864e-11
MCF7_PR,Flavopiridol,0.1,$k_{\phi}$,0.0012498098037388254,1.9814740922857864e-11
MCF7_PR,Flavopiridol,0.000316,$k_{S}$,0.013547895421696099,1.1124620276777283e-10
MCF7_PR,Flavopiridol,0.000316,$k_{G2}$,0.03469231555083144,1.1124620276777283e-10
MCF7_PR,Flavopiridol,0.000316,$k_{M}$,0.024467079688262127,1.1124620276777283e-10
MCF7_PR,Flavopiridol,0.000316,$k_{G1}$,0.030236842293595884,1.1124620276777283e-10
MCF7_PR,Flavopiridol,0.000316,$k_{\phi}$,0.0011480821458107007,1.1124620276777283e-10
MCF7_PR,Flavopiridol,0.316228,$k_{S}$,0.007494747622486808,4269.189304380059
MCF7_PR,Flavopiridol,0.316228,$k_{G2}$,0.04675534044290286,4269.189304380059
MCF7_PR,Flavopiridol,0.316228,$k_{M}$,0.017073913013180547,4269.189304380059
MCF7_PR,Flavopiridol,0.316228,$k_{G1}$,1e-07,4269.189304380059
MCF7_PR,Flavopiridol,0.316228,$k_{\phi}$,0.001903590148850867,4269.189304380059
MCF7_PR,Flavopiridol,0.031623,$k_{S}$,0.020017401827136357,2.473159151487443e-11
MCF7_PR,Flavopiridol,0.031623,$k_{G2}$,0.05524629428120461,2.473159151487443e-11
MCF7_PR,Flavopiridol,0.031623,$k_{M}$,0.040799770659067966,2.473159151487443e-11
MCF7_PR,Flavopiridol,0.031623,$k_{G1}$,0.03907776679505887,2.473159151487443e-11
MCF7_PR,Flavopiridol,0.031623,$k_{\phi}$,0.0013868936378346585,2.473159151487443e-11
