cell_line,agent,concentration,parameter,rate,obj_func
MCF7_PR,LY3023414,0.316228,$k_{S}$,0.003561801566954495,9397.752241848015
MCF7_PR,LY3023414,0.316228,$k_{G2}$,0.030218503303090987,9397.752241848015
MCF7_PR,LY3023414,0.316228,$k_{M}$,0.010979536096151717,9397.752241848015
MCF7_PR,LY3023414,0.316228,$k_{G1}$,1e-07,9397.752241848015
MCF7_PR,LY3023414,0.316228,$k_{\phi}$,0.0018927991331703937,9397.752241848015
MCF7_PR,LY3023414,0.01,$k_{S}$,0.002702194888197505,1746.0362062514594
MCF7_PR,LY3023414,0.01,$k_{G2}$,0.030344187266036434,1746.0362062514594
MCF7_PR,LY3023414,0.01,$k_{M}$,0.00692210609191694,1746.0362062514594
MCF7_PR,LY3023414,0.01,$k_{G1}$,1e-07,1746.0362062514594
MCF7_PR,LY3023414,0.01,$k_{\phi}$,0.0009041462372454834,1746.0362062514594
MCF7_PR,LY3023414,0.003162,$k_{S}$,0.003192771447432691,2917.024900916633
MCF7_PR,LY3023414,0.003162,$k_{G2}$,0.030965292513285374,2917.024900916633
MCF7_PR,LY3023414,0.003162,$k_{M}$,0.010093171923665963,2917.024900916633
MCF7_PR,LY3023414,0.003162,$k_{G1}$,1e-07,2917.024900916633
MCF7_PR,LY3023414,0.003162,$k_{\phi}$,0.0014313502341904165,2917.024900916633
MCF7_PR,LY3023414,0.001,$k_{S}$,0.002613889411113958,1359.1228481138255
MCF7_PR,LY3023414,0.001,$k_{G2}$,0.022571056597591004,1359.1228481138255
MCF7_PR,LY3023414,0.001,$k_{M}$,0.009320577429541121,1359.1228481138255
MCF7_PR,LY3023414,0.001,$k_{G1}$,1e-07,1359.1228481138255
MCF7_PR,LY3023414,0.001,$k_{\phi}$,0.0012757191513100698,1359.1228481138255
MCF7_PR,LY3023414,3.162278,$k_{S}$,0.0039042616260616596,9865.873907324174
MCF7_PR,LY3023414,3.162278,$k_{G2}$,0.03050601772127609,9865.873907324174
MCF7_PR,LY3023414,3.162278,$k_{M}$,0.008999829877062097,9865.873907324174
MCF7_PR,LY3023414,3.162278,$k_{G1}$,1e-07,9865.873907324174
MCF7_PR,LY3023414,3.162278,$k_{\phi}$,0.0027492061025485314,9865.873907324174
MCF7_PR,LY3023414,10.0,$k_{S}$,0.005233676271957802,21051.695337152858
MCF7_PR,LY3023414,10.0,$k_{G2}$,0.02231163585922865,21051.695337152858
MCF7_PR,LY3023414,10.0,$k_{M}$,0.014363865795129766,21051.695337152858
MCF7_PR,LY3023414,10.0,$k_{G1}$,1e-07,21051.695337152858
MCF7_PR,LY3023414,10.0,$k_{\phi}$,0.0041148642787528075,21051.695337152858
MCF7_PR,LY3023414,0.1,$k_{S}$,0.004652298781042447,7278.556160750467
MCF7_PR,LY3023414,0.1,$k_{G2}$,0.04445377473174114,7278.556160750467
MCF7_PR,LY3023414,0.1,$k_{M}$,0.010237294863381215,7278.556160750467
MCF7_PR,LY3023414,0.1,$k_{G1}$,1e-07,7278.556160750467
MCF7_PR,LY3023414,0.1,$k_{\phi}$,0.0016217610271362021,7278.556160750467
MCF7_PR,LY3023414,0.031623,$k_{S}$,0.0031088462211003344,3230.9895504850065
MCF7_PR,LY3023414,0.031623,$k_{G2}$,0.04115874733835643,3230.9895504850065
MCF7_PR,LY3023414,0.031623,$k_{M}$,0.0071753166511776935,3230.9895504850065
MCF7_PR,LY3023414,0.031623,$k_{G1}$,1e-07,3230.9895504850065
MCF7_PR,LY3023414,0.031623,$k_{\phi}$,0.0014823077180504667,3230.9895504850065
MCF7_PR,LY3023414,1.0,$k_{S}$,0.004814028747023457,5517.995738098526
MCF7_PR,LY3023414,1.0,$k_{G2}$,0.052233759074868415,5517.995738098526
MCF7_PR,LY3023414,1.0,$k_{M}$,0.011875442339879087,5517.995738098526
MCF7_PR,LY3023414,1.0,$k_{G1}$,1e-07,5517.995738098526
MCF7_PR,LY3023414,1.0,$k_{\phi}$,0.0019847858903804397,5517.995738098526
