cell_line,agent,concentration,parameter,rate,obj_func
MCF7_PR,MFH-2-90,0.01,$k_{S}$,0.009944963397843943,61924.101604427386
MCF7_PR,MFH-2-90,0.01,$k_{G2}$,0.01493786763903553,61924.101604427386
MCF7_PR,MFH-2-90,0.01,$k_{M}$,0.011733051869194036,61924.101604427386
MCF7_PR,MFH-2-90,0.01,$k_{G1}$,1e-07,61924.101604427386
MCF7_PR,MFH-2-90,0.01,$k_{\phi}$,0.005065955675359352,61924.101604427386
MCF7_PR,MFH-2-90,0.001,$k_{S}$,0.007840230327101566,55989.82965092086
MCF7_PR,MFH-2-90,0.001,$k_{G2}$,0.01575061190450364,55989.82965092086
MCF7_PR,MFH-2-90,0.001,$k_{M}$,0.01147701712352392,55989.82965092086
MCF7_PR,MFH-2-90,0.001,$k_{G1}$,1e-07,55989.82965092086
MCF7_PR,MFH-2-90,0.001,$k_{\phi}$,0.004168763668482009,55989.82965092086
MCF7_PR,MFH-2-90,0.1,$k_{S}$,0.009491557535452761,68625.0464556788
MCF7_PR,MFH-2-90,0.1,$k_{G2}$,0.016586106563348715,68625.0464556788
MCF7_PR,MFH-2-90,0.1,$k_{M}$,0.012600092379029565,68625.0464556788
MCF7_PR,MFH-2-90,0.1,$k_{G1}$,1e-07,68625.0464556788
MCF7_PR,MFH-2-90,0.1,$k_{\phi}$,0.004042273823979176,68625.0464556788
MCF7_PR,MFH-2-90,0.316228,$k_{S}$,0.008482589474191617,47064.848543551976
MCF7_PR,MFH-2-90,0.316228,$k_{G2}$,0.016067081393374864,47064.848543551976
MCF7_PR,MFH-2-90,0.316228,$k_{M}$,0.01484678971135578,47064.848543551976
MCF7_PR,MFH-2-90,0.316228,$k_{G1}$,1e-07,47064.848543551976
MCF7_PR,MFH-2-90,0.316228,$k_{\phi}$,0.004511271797877745,47064.848543551976
MCF7_PR,MFH-2-90,3.162278,$k_{S}$,0.009272321319048649,56981.859847442596
MCF7_PR,MFH-2-90,3.162278,$k_{G2}$,0.018308483392116114,56981.859847442596
MCF7_PR,MFH-2-90,3.162278,$k_{M}$,0.01378728443798721,56981.859847442596
MCF7_PR,MFH-2-90,3.162278,$k_{G1}$,1e-07,56981.859847442596
MCF7_PR,MFH-2-90,3.162278,$k_{\phi}$,0.0043108513845008,56981.859847442596
MCF7_PR,MFH-2-90,0.031623,$k_{S}$,0.00901507697261237,47518.708849795854
MCF7_PR,MFH-2-90,0.031623,$k_{G2}$,0.01937328162904822,47518.708849795854
MCF7_PR,MFH-2-90,0.031623,$k_{M}$,0.01642278450901844,47518.708849795854
MCF7_PR,MFH-2-90,0.031623,$k_{G1}$,1e-07,47518.708849795854
MCF7_PR,MFH-2-90,0.031623,$k_{\phi}$,0.00483574946268746,47518.708849795854
MCF7_PR,MFH-2-90,0.003162,$k_{S}$,0.007094888877032433,48629.95822227732
MCF7_PR,MFH-2-90,0.003162,$k_{G2}$,0.015494656947581271,48629.95822227732
MCF7_PR,MFH-2-90,0.003162,$k_{M}$,0.01182673761280729,48629.95822227732
MCF7_PR,MFH-2-90,0.003162,$k_{G1}$,1e-07,48629.95822227732
MCF7_PR,MFH-2-90,0.003162,$k_{\phi}$,0.004355855164814065,48629.95822227732
MCF7_PR,MFH-2-90,1.0,$k_{S}$,0.010073114849276664,72505.42411066007
MCF7_PR,MFH-2-90,1.0,$k_{G2}$,0.015976636553450194,72505.42411066007
MCF7_PR,MFH-2-90,1.0,$k_{M}$,0.012619961206396316,72505.42411066007
MCF7_PR,MFH-2-90,1.0,$k_{G1}$,1e-07,72505.42411066007
MCF7_PR,MFH-2-90,1.0,$k_{\phi}$,0.004367129534394644,72505.42411066007
MCF7_PR,MFH-2-90,10.0,$k_{S}$,0.00432980670002662,18862.36271460396
MCF7_PR,MFH-2-90,10.0,$k_{G2}$,0.022276186485234203,18862.36271460396
MCF7_PR,MFH-2-90,10.0,$k_{M}$,0.013237764671794841,18862.36271460396
MCF7_PR,MFH-2-90,10.0,$k_{G1}$,1e-07,18862.36271460396
MCF7_PR,MFH-2-90,10.0,$k_{\phi}$,0.0029514357899617996,18862.36271460396
