cell_line,agent,concentration,parameter,rate,obj_func
MCF7_PR,SY-1365,1.0,$k_{S}$,0.006493800761241211,22952.877887115726
MCF7_PR,SY-1365,1.0,$k_{G2}$,0.018907552722438572,22952.877887115726
MCF7_PR,SY-1365,1.0,$k_{M}$,0.01352311317075661,22952.877887115726
MCF7_PR,SY-1365,1.0,$k_{G1}$,1e-07,22952.877887115726
MCF7_PR,SY-1365,1.0,$k_{\phi}$,0.004383250027165229,22952.877887115726
MCF7_PR,SY-1365,0.031623,$k_{S}$,0.006952849615713875,23681.269550909583
MCF7_PR,SY-1365,0.031623,$k_{G2}$,0.02169444124487166,23681.269550909583
MCF7_PR,SY-1365,0.031623,$k_{M}$,0.011964908637251977,23681.269550909583
MCF7_PR,SY-1365,0.031623,$k_{G1}$,1e-07,23681.269550909583
MCF7_PR,SY-1365,0.031623,$k_{\phi}$,0.0042005668901902785,23681.269550909583
MCF7_PR,SY-1365,3.162278,$k_{S}$,0.006623206958271058,22014.138937930413
MCF7_PR,SY-1365,3.162278,$k_{G2}$,0.01974915503766833,22014.138937930413
MCF7_PR,SY-1365,3.162278,$k_{M}$,0.01651502438601376,22014.138937930413
MCF7_PR,SY-1365,3.162278,$k_{G1}$,1e-07,22014.138937930413
MCF7_PR,SY-1365,3.162278,$k_{\phi}$,0.003536898502747961,22014.138937930413
MCF7_PR,SY-1365,0.001,$k_{S}$,0.006092932631348712,459.56838948343824
MCF7_PR,SY-1365,0.001,$k_{G2}$,0.020419157712411297,459.56838948343824
MCF7_PR,SY-1365,0.001,$k_{M}$,0.017230008187071887,459.56838948343824
MCF7_PR,SY-1365,0.001,$k_{G1}$,1e-07,459.56838948343824
MCF7_PR,SY-1365,0.001,$k_{\phi}$,0.0007183062586421807,459.56838948343824
MCF7_PR,SY-1365,10.0,$k_{S}$,0.009690467840872834,77236.44838563161
MCF7_PR,SY-1365,10.0,$k_{G2}$,0.017242248472174364,77236.44838563161
MCF7_PR,SY-1365,10.0,$k_{M}$,0.012966817431893238,77236.44838563161
MCF7_PR,SY-1365,10.0,$k_{G1}$,1e-07,77236.44838563161
MCF7_PR,SY-1365,10.0,$k_{\phi}$,0.0030727348583586066,77236.44838563161
MCF7_PR,SY-1365,0.003162,$k_{S}$,0.008703463429651002,5741.702862977213
MCF7_PR,SY-1365,0.003162,$k_{G2}$,0.03303201048490538,5741.702862977213
MCF7_PR,SY-1365,0.003162,$k_{M}$,0.019113501533111,5741.702862977213
MCF7_PR,SY-1365,0.003162,$k_{G1}$,1e-07,5741.702862977213
MCF7_PR,SY-1365,0.003162,$k_{\phi}$,0.0025597787963393573,5741.702862977213
MCF7_PR,SY-1365,0.1,$k_{S}$,0.004969716632911402,20835.952311292753
MCF7_PR,SY-1365,0.1,$k_{G2}$,0.02208455534243834,20835.952311292753
MCF7_PR,SY-1365,0.1,$k_{M}$,0.011956998678268545,20835.952311292753
MCF7_PR,SY-1365,0.1,$k_{G1}$,1e-07,20835.952311292753
MCF7_PR,SY-1365,0.1,$k_{\phi}$,0.00376335537936414,20835.952311292753
MCF7_PR,SY-1365,0.01,$k_{S}$,0.00682038682463382,18212.910597642876
MCF7_PR,SY-1365,0.01,$k_{G2}$,0.021852003165590484,18212.910597642876
MCF7_PR,SY-1365,0.01,$k_{M}$,0.015343838919928469,18212.910597642876
MCF7_PR,SY-1365,0.01,$k_{G1}$,1e-07,18212.910597642876
MCF7_PR,SY-1365,0.01,$k_{\phi}$,0.002704822783268179,18212.910597642876
MCF7_PR,SY-1365,0.316228,$k_{S}$,0.004113433702698194,15542.423952785404
MCF7_PR,SY-1365,0.316228,$k_{G2}$,0.021924441396664624,15542.423952785404
MCF7_PR,SY-1365,0.316228,$k_{M}$,0.013628271414208356,15542.423952785404
MCF7_PR,SY-1365,0.316228,$k_{G1}$,1e-07,15542.423952785404
MCF7_PR,SY-1365,0.316228,$k_{\phi}$,0.003915364592403165,15542.423952785404
