cell_line,agent,concentration,parameter,rate,obj_func
MCF7_PR,THZ1,0.003162,$k_{S}$,0.024609115108482287,1.720454153385778e-11
MCF7_PR,THZ1,0.003162,$k_{G2}$,0.09881980171928333,1.720454153385778e-11
MCF7_PR,THZ1,0.003162,$k_{M}$,0.057144803842000026,1.720454153385778e-11
MCF7_PR,THZ1,0.003162,$k_{G1}$,0.04267514678566622,1.720454153385778e-11
MCF7_PR,THZ1,0.003162,$k_{\phi}$,0.0009945925552365831,1.720454153385778e-11
MCF7_PR,THZ1,0.01,$k_{S}$,0.00629644121498738,0.17499167292182694
MCF7_PR,THZ1,0.01,$k_{G2}$,0.009001759714198145,0.17499167292182694
MCF7_PR,THZ1,0.01,$k_{M}$,0.006199747558829356,0.17499167292182694
MCF7_PR,THZ1,0.01,$k_{G1}$,1e-07,0.17499167292182694
MCF7_PR,THZ1,0.01,$k_{\phi}$,0.0009733783030873781,0.17499167292182694
MCF7_PR,THZ1,0.000316,$k_{S}$,0.024514234826567328,2.991369277301728e-11
MCF7_PR,THZ1,0.000316,$k_{G2}$,0.08707300714633573,2.991369277301728e-11
MCF7_PR,THZ1,0.000316,$k_{M}$,0.05312803848610232,2.991369277301728e-11
MCF7_PR,THZ1,0.000316,$k_{G1}$,0.05904393904456155,2.991369277301728e-11
MCF7_PR,THZ1,0.000316,$k_{\phi}$,0.0004473994483285298,2.991369277301728e-11
MCF7_PR,THZ1,0.316228,$k_{S}$,0.010043766689241338,15283.348649910127
MCF7_PR,THZ1,0.316228,$k_{G2}$,0.02267775630335486,15283.348649910127
MCF7_PR,THZ1,0.316228,$k_{M}$,0.017880502693326677,15283.348649910127
MCF7_PR,THZ1,0.316228,$k_{G1}$,1e-07,15283.348649910127
MCF7_PR,THZ1,0.316228,$k_{\phi}$,0.0033919573791161236,15283.348649910127
MCF7_PR,THZ1,0.031623,$k_{S}$,0.010224594181680273,9.504173825376575e-11
MCF7_PR,THZ1,0.031623,$k_{G2}$,0.03929954287366327,9.504173825376575e-11
MCF7_PR,THZ1,0.031623,$k_{M}$,0.020418133895998464,9.504173825376575e-11
MCF7_PR,THZ1,0.031623,$k_{G1}$,0.020314044881121686,9.504173825376575e-11
MCF7_PR,THZ1,0.031623,$k_{\phi}$,0.0005173609665994921,9.504173825376575e-11
MCF7_PR,THZ1,0.1,$k_{S}$,0.01063703727658349,11819.760536496238
MCF7_PR,THZ1,0.1,$k_{G2}$,0.025104854589518645,11819.760536496238
MCF7_PR,THZ1,0.1,$k_{M}$,0.016858137613924136,11819.760536496238
MCF7_PR,THZ1,0.1,$k_{G1}$,1e-07,11819.760536496238
MCF7_PR,THZ1,0.1,$k_{\phi}$,0.002977651863933905,11819.760536496238
MCF7_PR,THZ1,0.0001,$k_{S}$,0.019972489895125088,6.878253530458578e-11
MCF7_PR,THZ1,0.0001,$k_{G2}$,0.07446630613419987,6.878253530458578e-11
MCF7_PR,THZ1,0.0001,$k_{M}$,0.04212941121502313,6.878253530458578e-11
MCF7_PR,THZ1,0.0001,$k_{G1}$,0.06850557767404165,6.878253530458578e-11
MCF7_PR,THZ1,0.0001,$k_{\phi}$,0.0007515244898955127,6.878253530458578e-11
MCF7_PR,THZ1,1.0,$k_{S}$,0.008225263751480324,47194.286013932986
MCF7_PR,THZ1,1.0,$k_{G2}$,0.016955976656035394,47194.286013932986
MCF7_PR,THZ1,1.0,$k_{M}$,0.013146118949049202,47194.286013932986
MCF7_PR,THZ1,1.0,$k_{G1}$,1e-07,47194.286013932986
MCF7_PR,THZ1,1.0,$k_{\phi}$,0.005241578322067278,47194.286013932986
MCF7_PR,THZ1,0.001,$k_{S}$,0.020765631963110244,7.884441592154096e-12
MCF7_PR,THZ1,0.001,$k_{G2}$,0.08427858024494068,7.884441592154096e-12
MCF7_PR,THZ1,0.001,$k_{M}$,0.05582252770005333,7.884441592154096e-12
MCF7_PR,THZ1,0.001,$k_{G1}$,0.04123667436874037,7.884441592154096e-12
MCF7_PR,THZ1,0.001,$k_{\phi}$,0.0008916698824154865,7.884441592154096e-12
