cell_line,agent,concentration,parameter,rate,obj_func
MCF7,SY-1365,0.1,$k_{S}$,2.899386061442285e-05,76841.05648396804
MCF7,SY-1365,0.1,$k_{G2}$,0.013934672553855868,76841.05648396804
MCF7,SY-1365,0.1,$k_{M}$,1e-07,76841.05648396804
MCF7,SY-1365,0.1,$k_{G1}$,1e-07,76841.05648396804
MCF7,SY-1365,0.1,$k_{\phi}$,0.002785162347838516,76841.05648396804
MCF7,SY-1365,0.003162,$k_{S}$,0.0014764872571065221,104981.81352602935
MCF7,SY-1365,0.003162,$k_{G2}$,0.014975209583574466,104981.81352602935
MCF7,SY-1365,0.003162,$k_{M}$,0.00038893055526192813,104981.81352602935
MCF7,SY-1365,0.003162,$k_{G1}$,1e-07,104981.81352602935
MCF7,SY-1365,0.003162,$k_{\phi}$,0.002633539334540707,104981.81352602935
MCF7,SY-1365,1.0,$k_{S}$,0.0015636540439305595,107997.82554478197
MCF7,SY-1365,1.0,$k_{G2}$,0.014478109621645823,107997.82554478197
MCF7,SY-1365,1.0,$k_{M}$,0.0025015493327989247,107997.82554478197
MCF7,SY-1365,1.0,$k_{G1}$,1e-07,107997.82554478197
MCF7,SY-1365,1.0,$k_{\phi}$,0.003061157954924295,107997.82554478197
MCF7,SY-1365,3.162278,$k_{S}$,0.0023801043600990782,100585.248014149
MCF7,SY-1365,3.162278,$k_{G2}$,0.016972006507338062,100585.248014149
MCF7,SY-1365,3.162278,$k_{M}$,0.0032943049165137317,100585.248014149
MCF7,SY-1365,3.162278,$k_{G1}$,1e-07,100585.248014149
MCF7,SY-1365,3.162278,$k_{\phi}$,0.0027975657759429194,100585.248014149
MCF7,SY-1365,0.031623,$k_{S}$,0.0005652316666038332,92890.10735571261
MCF7,SY-1365,0.031623,$k_{G2}$,0.014294728404861904,92890.10735571261
MCF7,SY-1365,0.031623,$k_{M}$,7.717107991526575e-05,92890.10735571261
MCF7,SY-1365,0.031623,$k_{G1}$,1e-07,92890.10735571261
MCF7,SY-1365,0.031623,$k_{\phi}$,0.002261178628172121,92890.10735571261
MCF7,SY-1365,0.001,$k_{S}$,0.0017591770461871088,61569.36976458513
MCF7,SY-1365,0.001,$k_{G2}$,0.019295647944128948,61569.36976458513
MCF7,SY-1365,0.001,$k_{M}$,0.0014106052252106814,61569.36976458513
MCF7,SY-1365,0.001,$k_{G1}$,1e-07,61569.36976458513
MCF7,SY-1365,0.001,$k_{\phi}$,0.0028546664251178086,61569.36976458513
MCF7,SY-1365,0.316228,$k_{S}$,0.0005255520368497895,82306.01604162308
MCF7,SY-1365,0.316228,$k_{G2}$,0.014657294016890952,82306.01604162308
MCF7,SY-1365,0.316228,$k_{M}$,0.0007294511021713432,82306.01604162308
MCF7,SY-1365,0.316228,$k_{G1}$,1e-07,82306.01604162308
MCF7,SY-1365,0.316228,$k_{\phi}$,0.0027017885156128962,82306.01604162308
MCF7,SY-1365,10.0,$k_{S}$,0.004928795217004938,201137.49152762874
MCF7,SY-1365,10.0,$k_{G2}$,0.012891415544757008,201137.49152762874
MCF7,SY-1365,10.0,$k_{M}$,0.0072915020737301765,201137.49152762874
MCF7,SY-1365,10.0,$k_{G1}$,1e-07,201137.49152762874
MCF7,SY-1365,10.0,$k_{\phi}$,0.004315821274157547,201137.49152762874
MCF7,SY-1365,0.01,$k_{S}$,0.0008255012693882395,93390.54253464223
MCF7,SY-1365,0.01,$k_{G2}$,0.013955507807781405,93390.54253464223
MCF7,SY-1365,0.01,$k_{M}$,0.0001557570208867447,93390.54253464223
MCF7,SY-1365,0.01,$k_{G1}$,1e-07,93390.54253464223
MCF7,SY-1365,0.01,$k_{\phi}$,0.003155091504449686,93390.54253464223
