cell_line,agent,concentration,parameter,rate,obj_func
MDAMB134,MFH-2-90,0.031623,$k_{S}$,0.002014221226098674,26631.503716870753
MDAMB134,MFH-2-90,0.031623,$k_{G2}$,0.007841837967729871,26631.503716870753
MDAMB134,MFH-2-90,0.031623,$k_{M}$,0.005729684799284444,26631.503716870753
MDAMB134,MFH-2-90,0.031623,$k_{G1}$,1e-07,26631.503716870753
MDAMB134,MFH-2-90,0.031623,$k_{\phi}$,0.009864740510704103,26631.503716870753
MDAMB134,MFH-2-90,0.01,$k_{S}$,0.0022771248745334337,22121.11895541039
MDAMB134,MFH-2-90,0.01,$k_{G2}$,0.010363601902579995,22121.11895541039
MDAMB134,MFH-2-90,0.01,$k_{M}$,0.005101227206224665,22121.11895541039
MDAMB134,MFH-2-90,0.01,$k_{G1}$,1e-07,22121.11895541039
MDAMB134,MFH-2-90,0.01,$k_{\phi}$,0.009515012332226682,22121.11895541039
MDAMB134,MFH-2-90,0.0001,$k_{S}$,0.006403865981347477,4.0854045120334917e-10
MDAMB134,MFH-2-90,0.0001,$k_{G2}$,0.010121916875018464,4.0854045120334917e-10
MDAMB134,MFH-2-90,0.0001,$k_{M}$,0.004173052205571577,4.0854045120334917e-10
MDAMB134,MFH-2-90,0.0001,$k_{G1}$,0.11876920691729928,4.0854045120334917e-10
MDAMB134,MFH-2-90,0.0001,$k_{\phi}$,0.0006246838048310643,4.0854045120334917e-10
MDAMB134,MFH-2-90,3.2e-05,$k_{S}$,0.009550557424437544,2.7259854371829936e-10
MDAMB134,MFH-2-90,3.2e-05,$k_{G2}$,0.018580979484903726,2.7259854371829936e-10
MDAMB134,MFH-2-90,3.2e-05,$k_{M}$,0.006756793088305346,2.7259854371829936e-10
MDAMB134,MFH-2-90,3.2e-05,$k_{G1}$,0.1284454166498026,2.7259854371829936e-10
MDAMB134,MFH-2-90,3.2e-05,$k_{\phi}$,0.000671509298526595,2.7259854371829936e-10
MDAMB134,MFH-2-90,1e-05,$k_{S}$,0.007566671829259399,1.5677643673905787e-10
MDAMB134,MFH-2-90,1e-05,$k_{G2}$,0.013157551118960699,1.5677643673905787e-10
MDAMB134,MFH-2-90,1e-05,$k_{M}$,0.005449860830797328,1.5677643673905787e-10
MDAMB134,MFH-2-90,1e-05,$k_{G1}$,0.027833137317728445,1.5677643673905787e-10
MDAMB134,MFH-2-90,1e-05,$k_{\phi}$,0.0008145640070484421,1.5677643673905787e-10
MDAMB134,MFH-2-90,0.001,$k_{S}$,0.011642851514745742,2.586731050912708e-10
MDAMB134,MFH-2-90,0.001,$k_{G2}$,0.012591133398033947,2.586731050912708e-10
MDAMB134,MFH-2-90,0.001,$k_{M}$,0.004979438689740796,2.586731050912708e-10
MDAMB134,MFH-2-90,0.001,$k_{G1}$,0.11213044999197191,2.586731050912708e-10
MDAMB134,MFH-2-90,0.001,$k_{\phi}$,0.0007778972194579408,2.586731050912708e-10
MDAMB134,MFH-2-90,0.000316,$k_{S}$,0.009310888975274642,2.0339771861019488e-10
MDAMB134,MFH-2-90,0.000316,$k_{G2}$,0.014545658246198941,2.0339771861019488e-10
MDAMB134,MFH-2-90,0.000316,$k_{M}$,0.007186060944748841,2.0339771861019488e-10
MDAMB134,MFH-2-90,0.000316,$k_{G1}$,0.17690883340866997,2.0339771861019488e-10
MDAMB134,MFH-2-90,0.000316,$k_{\phi}$,0.00076270673406938,2.0339771861019488e-10
MDAMB134,MFH-2-90,0.1,$k_{S}$,0.003173551141918074,28714.18436205772
MDAMB134,MFH-2-90,0.1,$k_{G2}$,0.012807480794537682,28714.18436205772
MDAMB134,MFH-2-90,0.1,$k_{M}$,0.004789721964179351,28714.18436205772
MDAMB134,MFH-2-90,0.1,$k_{G1}$,1e-07,28714.18436205772
MDAMB134,MFH-2-90,0.1,$k_{\phi}$,0.008380059653141985,28714.18436205772
MDAMB134,MFH-2-90,0.003162,$k_{S}$,0.0007812518875307496,12490.740957416656
MDAMB134,MFH-2-90,0.003162,$k_{G2}$,0.0010273677126855893,12490.740957416656
MDAMB134,MFH-2-90,0.003162,$k_{M}$,0.0021182908279514176,12490.740957416656
MDAMB134,MFH-2-90,0.003162,$k_{G1}$,1e-07,12490.740957416656
MDAMB134,MFH-2-90,0.003162,$k_{\phi}$,0.004885384454035495,12490.740957416656
