cell_line,agent,concentration,parameter,rate,obj_func
MDAMB157,THZ531,1.0,$k_{S}$,0.0030642765669780933,7460.3334819401325
MDAMB157,THZ531,1.0,$k_{G2}$,0.004583308064036053,7460.3334819401325
MDAMB157,THZ531,1.0,$k_{M}$,0.006603647470054379,7460.3334819401325
MDAMB157,THZ531,1.0,$k_{G1}$,1e-07,7460.3334819401325
MDAMB157,THZ531,1.0,$k_{\phi}$,0.008217391219927777,7460.3334819401325
MDAMB157,THZ531,0.001,$k_{S}$,0.015564613895353189,5.3487782881337006e-11
MDAMB157,THZ531,0.001,$k_{G2}$,0.026104777913501714,5.3487782881337006e-11
MDAMB157,THZ531,0.001,$k_{M}$,0.024296852611229068,5.3487782881337006e-11
MDAMB157,THZ531,0.001,$k_{G1}$,0.14769229956759483,5.3487782881337006e-11
MDAMB157,THZ531,0.001,$k_{\phi}$,0.0020197347856084572,5.3487782881337006e-11
MDAMB157,THZ531,0.1,$k_{S}$,0.006442622763556279,1.0313619040510172e-10
MDAMB157,THZ531,0.1,$k_{G2}$,0.01750226739165814,1.0313619040510172e-10
MDAMB157,THZ531,0.1,$k_{M}$,0.006497609203681368,1.0313619040510172e-10
MDAMB157,THZ531,0.1,$k_{G1}$,0.031768932723558435,1.0313619040510172e-10
MDAMB157,THZ531,0.1,$k_{\phi}$,0.0038389180126278846,1.0313619040510172e-10
MDAMB157,THZ531,0.01,$k_{S}$,0.020725337570927278,1.8151026456895605e-10
MDAMB157,THZ531,0.01,$k_{G2}$,0.033029617981011186,1.8151026456895605e-10
MDAMB157,THZ531,0.01,$k_{M}$,0.030370259926562632,1.8151026456895605e-10
MDAMB157,THZ531,0.01,$k_{G1}$,0.16455707658292262,1.8151026456895605e-10
MDAMB157,THZ531,0.01,$k_{\phi}$,0.0019802371349432,1.8151026456895605e-10
MDAMB157,THZ531,0.031623,$k_{S}$,0.015426396085507102,1.6886163206530662e-10
MDAMB157,THZ531,0.031623,$k_{G2}$,0.025204828661690003,1.6886163206530662e-10
MDAMB157,THZ531,0.031623,$k_{M}$,0.021771190531185324,1.6886163206530662e-10
MDAMB157,THZ531,0.031623,$k_{G1}$,0.1611376851373109,1.6886163206530662e-10
MDAMB157,THZ531,0.031623,$k_{\phi}$,0.0016416316309926856,1.6886163206530662e-10
MDAMB157,THZ531,0.0001,$k_{S}$,0.017434224832003426,9.92289483353881e-11
MDAMB157,THZ531,0.0001,$k_{G2}$,0.03303928210884716,9.92289483353881e-11
MDAMB157,THZ531,0.0001,$k_{M}$,0.028488140174443427,9.92289483353881e-11
MDAMB157,THZ531,0.0001,$k_{G1}$,0.192929612979238,9.92289483353881e-11
MDAMB157,THZ531,0.0001,$k_{\phi}$,0.0018267659286104305,9.92289483353881e-11
MDAMB157,THZ531,0.316228,$k_{S}$,5.0265700499875676e-05,49.946602280502745
MDAMB157,THZ531,0.316228,$k_{G2}$,0.0028505540569807516,49.946602280502745
MDAMB157,THZ531,0.316228,$k_{M}$,0.0033500999271611864,49.946602280502745
MDAMB157,THZ531,0.316228,$k_{G1}$,1e-07,49.946602280502745
MDAMB157,THZ531,0.316228,$k_{\phi}$,0.006368249781392504,49.946602280502745
MDAMB157,THZ531,0.003162,$k_{S}$,0.014265728506432093,7.339663576367148e-11
MDAMB157,THZ531,0.003162,$k_{G2}$,0.02450090897872994,7.339663576367148e-11
MDAMB157,THZ531,0.003162,$k_{M}$,0.02091450682124024,7.339663576367148e-11
MDAMB157,THZ531,0.003162,$k_{G1}$,0.12252738309481698,7.339663576367148e-11
MDAMB157,THZ531,0.003162,$k_{\phi}$,0.0017012236831644297,7.339663576367148e-11
MDAMB157,THZ531,0.000316,$k_{S}$,0.02756229397725085,1.419394537910011e-10
MDAMB157,THZ531,0.000316,$k_{G2}$,0.05879776870881736,1.419394537910011e-10
MDAMB157,THZ531,0.000316,$k_{M}$,0.028434700528970035,1.419394537910011e-10
MDAMB157,THZ531,0.000316,$k_{G1}$,0.25142062908858165,1.419394537910011e-10
MDAMB157,THZ531,0.000316,$k_{\phi}$,0.0022223933445890813,1.419394537910011e-10
