cell_line,agent,concentration,parameter,rate,obj_func
MDAMB231,R0-3306,10.0,$k_{S}$,1e-07,23479.952252214647
MDAMB231,R0-3306,10.0,$k_{G2}$,0.002101401053401343,23479.952252214647
MDAMB231,R0-3306,10.0,$k_{M}$,1e-07,23479.952252214647
MDAMB231,R0-3306,10.0,$k_{G1}$,0.00043665332872127796,23479.952252214647
MDAMB231,R0-3306,10.0,$k_{\phi}$,0.003487339565649221,23479.952252214647
MDAMB231,R0-3306,0.031623,$k_{S}$,0.05647901909217497,3.862364817258445e-09
MDAMB231,R0-3306,0.031623,$k_{G2}$,0.08187538918280567,3.862364817258445e-09
MDAMB231,R0-3306,0.031623,$k_{M}$,0.1421892868852478,3.862364817258445e-09
MDAMB231,R0-3306,0.031623,$k_{G1}$,1.0626389235104667,3.862364817258445e-09
MDAMB231,R0-3306,0.031623,$k_{\phi}$,0.00014117074154458627,3.862364817258445e-09
MDAMB231,R0-3306,0.01,$k_{S}$,0.05135349029313062,2.8937082025633266e-09
MDAMB231,R0-3306,0.01,$k_{G2}$,0.0730177664752142,2.8937082025633266e-09
MDAMB231,R0-3306,0.01,$k_{M}$,0.1320284309958778,2.8937082025633266e-09
MDAMB231,R0-3306,0.01,$k_{G1}$,0.9296061738197051,2.8937082025633266e-09
MDAMB231,R0-3306,0.01,$k_{\phi}$,0.00012683895119419277,2.8937082025633266e-09
MDAMB231,R0-3306,0.003162,$k_{S}$,0.05309048516524009,1.7873186514464491e-09
MDAMB231,R0-3306,0.003162,$k_{G2}$,0.07316320216039363,1.7873186514464491e-09
MDAMB231,R0-3306,0.003162,$k_{M}$,0.12209771101890067,1.7873186514464491e-09
MDAMB231,R0-3306,0.003162,$k_{G1}$,0.9315344893962976,1.7873186514464491e-09
MDAMB231,R0-3306,0.003162,$k_{\phi}$,0.00011504809397457553,1.7873186514464491e-09
MDAMB231,R0-3306,1.0,$k_{S}$,0.05306723607658933,4.858576842196009e-09
MDAMB231,R0-3306,1.0,$k_{G2}$,0.0826449960009802,4.858576842196009e-09
MDAMB231,R0-3306,1.0,$k_{M}$,0.1443894167686145,4.858576842196009e-09
MDAMB231,R0-3306,1.0,$k_{G1}$,1.3280262342687577,4.858576842196009e-09
MDAMB231,R0-3306,1.0,$k_{\phi}$,0.00013687896567695133,4.858576842196009e-09
MDAMB231,R0-3306,0.316228,$k_{S}$,0.05212625454173894,4.806522181830378e-09
MDAMB231,R0-3306,0.316228,$k_{G2}$,0.08215011640025265,4.806522181830378e-09
MDAMB231,R0-3306,0.316228,$k_{M}$,0.137490957690617,4.806522181830378e-09
MDAMB231,R0-3306,0.316228,$k_{G1}$,1.1459266150038008,4.806522181830378e-09
MDAMB231,R0-3306,0.316228,$k_{\phi}$,0.00013857050247741278,4.806522181830378e-09
MDAMB231,R0-3306,0.1,$k_{S}$,0.05623125890292332,7.997643093576608e-10
MDAMB231,R0-3306,0.1,$k_{G2}$,0.08267330179500963,7.997643093576608e-10
MDAMB231,R0-3306,0.1,$k_{M}$,0.14435911885175012,7.997643093576608e-10
MDAMB231,R0-3306,0.1,$k_{G1}$,0.977565423830633,7.997643093576608e-10
MDAMB231,R0-3306,0.1,$k_{\phi}$,0.00017246686446778696,7.997643093576608e-10
MDAMB231,R0-3306,0.001,$k_{S}$,0.05206914706629261,3.1854345340107965e-09
MDAMB231,R0-3306,0.001,$k_{G2}$,0.0753562406264415,3.1854345340107965e-09
MDAMB231,R0-3306,0.001,$k_{M}$,0.1318817821233071,3.1854345340107965e-09
MDAMB231,R0-3306,0.001,$k_{G1}$,1.1250396235527313,3.1854345340107965e-09
MDAMB231,R0-3306,0.001,$k_{\phi}$,0.00016493277562453225,3.1854345340107965e-09
MDAMB231,R0-3306,3.162278,$k_{S}$,0.05320864035207605,8.801643300499841e-10
MDAMB231,R0-3306,3.162278,$k_{G2}$,0.09114031933940421,8.801643300499841e-10
MDAMB231,R0-3306,3.162278,$k_{M}$,0.14922364289658846,8.801643300499841e-10
MDAMB231,R0-3306,3.162278,$k_{G1}$,1.0310036620040306,8.801643300499841e-10
MDAMB231,R0-3306,3.162278,$k_{\phi}$,0.00022878252779871396,8.801643300499841e-10
