cell_line,agent,concentration,parameter,rate,obj_func
MDAMB231,SY-1365,0.1,$k_{S}$,0.001517881283653862,51334.35477172391
MDAMB231,SY-1365,0.1,$k_{G2}$,0.020103410122783317,51334.35477172391
MDAMB231,SY-1365,0.1,$k_{M}$,1e-07,51334.35477172391
MDAMB231,SY-1365,0.1,$k_{G1}$,0.00047448401126157664,51334.35477172391
MDAMB231,SY-1365,0.1,$k_{\phi}$,0.0032681460523871354,51334.35477172391
MDAMB231,SY-1365,0.003162,$k_{S}$,0.0010677246338959396,59098.72190754623
MDAMB231,SY-1365,0.003162,$k_{G2}$,0.01612655654011501,59098.72190754623
MDAMB231,SY-1365,0.003162,$k_{M}$,1e-07,59098.72190754623
MDAMB231,SY-1365,0.003162,$k_{G1}$,1e-07,59098.72190754623
MDAMB231,SY-1365,0.003162,$k_{\phi}$,0.0037410656485672576,59098.72190754623
MDAMB231,SY-1365,1.0,$k_{S}$,0.0019916311561618476,58607.66041745408
MDAMB231,SY-1365,1.0,$k_{G2}$,0.021516389515041447,58607.66041745408
MDAMB231,SY-1365,1.0,$k_{M}$,1e-07,58607.66041745408
MDAMB231,SY-1365,1.0,$k_{G1}$,0.00023346669314088572,58607.66041745408
MDAMB231,SY-1365,1.0,$k_{\phi}$,0.002732184792623989,58607.66041745408
MDAMB231,SY-1365,3.162278,$k_{S}$,0.0008655250707743315,57823.00661424465
MDAMB231,SY-1365,3.162278,$k_{G2}$,0.017283976678327078,57823.00661424465
MDAMB231,SY-1365,3.162278,$k_{M}$,1e-07,57823.00661424465
MDAMB231,SY-1365,3.162278,$k_{G1}$,1e-07,57823.00661424465
MDAMB231,SY-1365,3.162278,$k_{\phi}$,0.0035551754524382065,57823.00661424465
MDAMB231,SY-1365,0.031623,$k_{S}$,0.0007351906304475904,44545.786015294034
MDAMB231,SY-1365,0.031623,$k_{G2}$,0.019610927436022222,44545.786015294034
MDAMB231,SY-1365,0.031623,$k_{M}$,1e-07,44545.786015294034
MDAMB231,SY-1365,0.031623,$k_{G1}$,0.0006899599973663003,44545.786015294034
MDAMB231,SY-1365,0.031623,$k_{\phi}$,0.003981204702812342,44545.786015294034
MDAMB231,SY-1365,0.001,$k_{S}$,0.0016373500307770457,7438.172799847904
MDAMB231,SY-1365,0.001,$k_{G2}$,0.02257157608226344,7438.172799847904
MDAMB231,SY-1365,0.001,$k_{M}$,0.00906449954125171,7438.172799847904
MDAMB231,SY-1365,0.001,$k_{G1}$,1e-07,7438.172799847904
MDAMB231,SY-1365,0.001,$k_{\phi}$,0.0015000247864138199,7438.172799847904
MDAMB231,SY-1365,0.316228,$k_{S}$,0.001348288415494403,48068.067912793995
MDAMB231,SY-1365,0.316228,$k_{G2}$,0.021583294799263516,48068.067912793995
MDAMB231,SY-1365,0.316228,$k_{M}$,1e-07,48068.067912793995
MDAMB231,SY-1365,0.316228,$k_{G1}$,0.0015144866427955572,48068.067912793995
MDAMB231,SY-1365,0.316228,$k_{\phi}$,0.00278851797296599,48068.067912793995
MDAMB231,SY-1365,10.0,$k_{S}$,0.0019748275455179765,100398.79275567342
MDAMB231,SY-1365,10.0,$k_{G2}$,0.008318519387642683,100398.79275567342
MDAMB231,SY-1365,10.0,$k_{M}$,0.0007400584145488965,100398.79275567342
MDAMB231,SY-1365,10.0,$k_{G1}$,1e-07,100398.79275567342
MDAMB231,SY-1365,10.0,$k_{\phi}$,0.006356453884056426,100398.79275567342
MDAMB231,SY-1365,0.01,$k_{S}$,0.001115752739970508,45928.23255179915
MDAMB231,SY-1365,0.01,$k_{G2}$,0.01986917040849948,45928.23255179915
MDAMB231,SY-1365,0.01,$k_{M}$,1e-07,45928.23255179915
MDAMB231,SY-1365,0.01,$k_{G1}$,0.0002449956561796506,45928.23255179915
MDAMB231,SY-1365,0.01,$k_{\phi}$,0.004168152765838639,45928.23255179915
