cell_line,agent,concentration,parameter,rate,obj_func
MDAMB436,AZD5363,10.0,$k_{S}$,0.024729354125911502,2.3366184032632836e-10
MDAMB436,AZD5363,10.0,$k_{G2}$,0.04405975634023825,2.3366184032632836e-10
MDAMB436,AZD5363,10.0,$k_{M}$,0.04288158968963399,2.3366184032632836e-10
MDAMB436,AZD5363,10.0,$k_{G1}$,0.3760225917583684,2.3366184032632836e-10
MDAMB436,AZD5363,10.0,$k_{\phi}$,0.00034892213106027135,2.3366184032632836e-10
MDAMB436,AZD5363,0.01,$k_{S}$,0.03580265580573837,3.166228634914315e-10
MDAMB436,AZD5363,0.01,$k_{G2}$,0.048596783644573066,3.166228634914315e-10
MDAMB436,AZD5363,0.01,$k_{M}$,0.05490799984994226,3.166228634914315e-10
MDAMB436,AZD5363,0.01,$k_{G1}$,0.4057534608520051,3.166228634914315e-10
MDAMB436,AZD5363,0.01,$k_{\phi}$,0.0005358120730278173,3.166228634914315e-10
MDAMB436,AZD5363,0.001,$k_{S}$,0.038765398373046406,2.0307012233165417e-10
MDAMB436,AZD5363,0.001,$k_{G2}$,0.0486095526292205,2.0307012233165417e-10
MDAMB436,AZD5363,0.001,$k_{M}$,0.0622506026438799,2.0307012233165417e-10
MDAMB436,AZD5363,0.001,$k_{G1}$,0.4712202320615287,2.0307012233165417e-10
MDAMB436,AZD5363,0.001,$k_{\phi}$,0.0005389772868617609,2.0307012233165417e-10
MDAMB436,AZD5363,3.162278,$k_{S}$,0.02988483242461847,2.257169114837284e-10
MDAMB436,AZD5363,3.162278,$k_{G2}$,0.04216763797502671,2.257169114837284e-10
MDAMB436,AZD5363,3.162278,$k_{M}$,0.04911860308398724,2.257169114837284e-10
MDAMB436,AZD5363,3.162278,$k_{G1}$,0.36115788621783274,2.257169114837284e-10
MDAMB436,AZD5363,3.162278,$k_{\phi}$,0.00039476248439302086,2.257169114837284e-10
MDAMB436,AZD5363,0.1,$k_{S}$,0.03705940147758934,1.8918555175757656e-10
MDAMB436,AZD5363,0.1,$k_{G2}$,0.047251704060587166,1.8918555175757656e-10
MDAMB436,AZD5363,0.1,$k_{M}$,0.05803522894073915,1.8918555175757656e-10
MDAMB436,AZD5363,0.1,$k_{G1}$,0.4229970085723999,1.8918555175757656e-10
MDAMB436,AZD5363,0.1,$k_{\phi}$,0.00033921637630860243,1.8918555175757656e-10
MDAMB436,AZD5363,0.316228,$k_{S}$,0.033495295961344644,2.8512034495546587e-10
MDAMB436,AZD5363,0.316228,$k_{G2}$,0.05036198484714842,2.8512034495546587e-10
MDAMB436,AZD5363,0.316228,$k_{M}$,0.05658556907487566,2.8512034495546587e-10
MDAMB436,AZD5363,0.316228,$k_{G1}$,0.4039854274757573,2.8512034495546587e-10
MDAMB436,AZD5363,0.316228,$k_{\phi}$,0.000488037285120545,2.8512034495546587e-10
MDAMB436,AZD5363,0.031623,$k_{S}$,0.03409088109745539,2.490619742621504e-10
MDAMB436,AZD5363,0.031623,$k_{G2}$,0.047450464895169256,2.490619742621504e-10
MDAMB436,AZD5363,0.031623,$k_{M}$,0.04392585575000008,2.490619742621504e-10
MDAMB436,AZD5363,0.031623,$k_{G1}$,0.3863455300663277,2.490619742621504e-10
MDAMB436,AZD5363,0.031623,$k_{\phi}$,0.0006320929974657967,2.490619742621504e-10
MDAMB436,AZD5363,1.0,$k_{S}$,0.03125352550201115,5.961973294962299e-11
MDAMB436,AZD5363,1.0,$k_{G2}$,0.04757675248291457,5.961973294962299e-11
MDAMB436,AZD5363,1.0,$k_{M}$,0.05048192266496522,5.961973294962299e-11
MDAMB436,AZD5363,1.0,$k_{G1}$,0.32869042396083203,5.961973294962299e-11
MDAMB436,AZD5363,1.0,$k_{\phi}$,0.0003429053189231981,5.961973294962299e-11
MDAMB436,AZD5363,0.003162,$k_{S}$,0.042185364458984395,5.415558595214599e-10
MDAMB436,AZD5363,0.003162,$k_{G2}$,0.04760719557903927,5.415558595214599e-10
MDAMB436,AZD5363,0.003162,$k_{M}$,0.06495869728530267,5.415558595214599e-10
MDAMB436,AZD5363,0.003162,$k_{G1}$,0.4119920309291515,5.415558595214599e-10
MDAMB436,AZD5363,0.003162,$k_{\phi}$,0.00028033817214623974,5.415558595214599e-10
