cell_line,agent,concentration,parameter,rate,obj_func
MDAMB436,senexinb,0.031623,$k_{S}$,0.041967434268742804,3.8402179656285377e-10
MDAMB436,senexinb,0.031623,$k_{G2}$,0.046203682103236735,3.8402179656285377e-10
MDAMB436,senexinb,0.031623,$k_{M}$,0.06656277566242767,3.8402179656285377e-10
MDAMB436,senexinb,0.031623,$k_{G1}$,0.45809963563520106,3.8402179656285377e-10
MDAMB436,senexinb,0.031623,$k_{\phi}$,0.0005192619712262377,3.8402179656285377e-10
MDAMB436,senexinb,0.001,$k_{S}$,0.03910234726180592,4.975665154246739e-10
MDAMB436,senexinb,0.001,$k_{G2}$,0.04414039118903919,4.975665154246739e-10
MDAMB436,senexinb,0.001,$k_{M}$,0.06452422959101521,4.975665154246739e-10
MDAMB436,senexinb,0.001,$k_{G1}$,0.3628009662118896,4.975665154246739e-10
MDAMB436,senexinb,0.001,$k_{\phi}$,0.00036269982368995914,4.975665154246739e-10
MDAMB436,senexinb,0.01,$k_{S}$,0.04203038177429435,5.227951776135945e-10
MDAMB436,senexinb,0.01,$k_{G2}$,0.04279299801597582,5.227951776135945e-10
MDAMB436,senexinb,0.01,$k_{M}$,0.06719926131736405,5.227951776135945e-10
MDAMB436,senexinb,0.01,$k_{G1}$,0.4345868487483518,5.227951776135945e-10
MDAMB436,senexinb,0.01,$k_{\phi}$,0.0005714206009877829,5.227951776135945e-10
MDAMB436,senexinb,0.1,$k_{S}$,0.0422198341291826,3.502210150297019e-10
MDAMB436,senexinb,0.1,$k_{G2}$,0.04168960297950538,3.502210150297019e-10
MDAMB436,senexinb,0.1,$k_{M}$,0.06302881820384602,3.502210150297019e-10
MDAMB436,senexinb,0.1,$k_{G1}$,0.36652630150721954,3.502210150297019e-10
MDAMB436,senexinb,0.1,$k_{\phi}$,0.0003572829075678701,3.502210150297019e-10
MDAMB436,senexinb,1.0,$k_{S}$,0.04033986384442185,2.2870942559817553e-10
MDAMB436,senexinb,1.0,$k_{G2}$,0.042292672425142085,2.2870942559817553e-10
MDAMB436,senexinb,1.0,$k_{M}$,0.07079164523887635,2.2870942559817553e-10
MDAMB436,senexinb,1.0,$k_{G1}$,0.18371517871842133,2.2870942559817553e-10
MDAMB436,senexinb,1.0,$k_{\phi}$,0.00034385569717562583,2.2870942559817553e-10
MDAMB436,senexinb,0.003162,$k_{S}$,0.03800158313973178,3.1552933985306713e-10
MDAMB436,senexinb,0.003162,$k_{G2}$,0.04381141515889199,3.1552933985306713e-10
MDAMB436,senexinb,0.003162,$k_{M}$,0.059421694014646455,3.1552933985306713e-10
MDAMB436,senexinb,0.003162,$k_{G1}$,0.31361517211833023,3.1552933985306713e-10
MDAMB436,senexinb,0.003162,$k_{\phi}$,0.00035167047776143133,3.1552933985306713e-10
MDAMB436,senexinb,3.162278,$k_{S}$,0.033934501964308944,1.4011440652655272e-10
MDAMB436,senexinb,3.162278,$k_{G2}$,0.03852028926904177,1.4011440652655272e-10
MDAMB436,senexinb,3.162278,$k_{M}$,0.0577533758290943,1.4011440652655272e-10
MDAMB436,senexinb,3.162278,$k_{G1}$,0.5002550509011527,1.4011440652655272e-10
MDAMB436,senexinb,3.162278,$k_{\phi}$,0.00039113210241529514,1.4011440652655272e-10
MDAMB436,senexinb,10.0,$k_{S}$,0.01835442872384944,1.076483356754626e-10
MDAMB436,senexinb,10.0,$k_{G2}$,0.05430263860227306,1.076483356754626e-10
MDAMB436,senexinb,10.0,$k_{M}$,0.030150606089559273,1.076483356754626e-10
MDAMB436,senexinb,10.0,$k_{G1}$,0.07126909776231224,1.076483356754626e-10
MDAMB436,senexinb,10.0,$k_{\phi}$,0.0005313127807350099,1.076483356754626e-10
MDAMB436,senexinb,0.316228,$k_{S}$,0.039178023683472805,1.969384958121159e-10
MDAMB436,senexinb,0.316228,$k_{G2}$,0.044130543498665846,1.969384958121159e-10
MDAMB436,senexinb,0.316228,$k_{M}$,0.0727682666456534,1.969384958121159e-10
MDAMB436,senexinb,0.316228,$k_{G1}$,0.2354858056570405,1.969384958121159e-10
MDAMB436,senexinb,0.316228,$k_{\phi}$,0.0003256364224895584,1.969384958121159e-10
