cell_line,agent,concentration,parameter,rate,obj_func
MDAMB453,BMS-265246,3.162278,$k_{S}$,0.011905250346002252,1.1003102883025049e-10
MDAMB453,BMS-265246,3.162278,$k_{G2}$,0.05216831444003935,1.1003102883025049e-10
MDAMB453,BMS-265246,3.162278,$k_{M}$,0.04184662052660524,1.1003102883025049e-10
MDAMB453,BMS-265246,3.162278,$k_{G1}$,0.13784833355860832,1.1003102883025049e-10
MDAMB453,BMS-265246,3.162278,$k_{\phi}$,0.0004228944463743282,1.1003102883025049e-10
MDAMB453,BMS-265246,0.316228,$k_{S}$,0.02215300764323724,1.773200101347407e-10
MDAMB453,BMS-265246,0.316228,$k_{G2}$,0.06080330353423583,1.773200101347407e-10
MDAMB453,BMS-265246,0.316228,$k_{M}$,0.09086707551732866,1.773200101347407e-10
MDAMB453,BMS-265246,0.316228,$k_{G1}$,0.23797718502655368,1.773200101347407e-10
MDAMB453,BMS-265246,0.316228,$k_{\phi}$,0.00034382949529861953,1.773200101347407e-10
MDAMB453,BMS-265246,10.0,$k_{S}$,0.00983206316737856,2.9425668556916493e-10
MDAMB453,BMS-265246,10.0,$k_{G2}$,0.04988432302692503,2.9425668556916493e-10
MDAMB453,BMS-265246,10.0,$k_{M}$,0.026595813604427903,2.9425668556916493e-10
MDAMB453,BMS-265246,10.0,$k_{G1}$,0.14800510387106824,2.9425668556916493e-10
MDAMB453,BMS-265246,10.0,$k_{\phi}$,0.0003874130982304192,2.9425668556916493e-10
MDAMB453,BMS-265246,0.1,$k_{S}$,0.02076483370414409,1.269419939705389e-10
MDAMB453,BMS-265246,0.1,$k_{G2}$,0.05783284661418405,1.269419939705389e-10
MDAMB453,BMS-265246,0.1,$k_{M}$,0.08147859500838017,1.269419939705389e-10
MDAMB453,BMS-265246,0.1,$k_{G1}$,0.21847857689505648,1.269419939705389e-10
MDAMB453,BMS-265246,0.1,$k_{\phi}$,0.00018881898057316725,1.269419939705389e-10
MDAMB453,BMS-265246,1.0,$k_{S}$,0.02087819710282306,1.0645206946370498e-10
MDAMB453,BMS-265246,1.0,$k_{G2}$,0.06428038453781429,1.0645206946370498e-10
MDAMB453,BMS-265246,1.0,$k_{M}$,0.08220750096474039,1.0645206946370498e-10
MDAMB453,BMS-265246,1.0,$k_{G1}$,0.17355011617112234,1.0645206946370498e-10
MDAMB453,BMS-265246,1.0,$k_{\phi}$,0.00036648334167337543,1.0645206946370498e-10
MDAMB453,BMS-265246,0.001,$k_{S}$,0.029859393439516213,4.472221935423917e-10
MDAMB453,BMS-265246,0.001,$k_{G2}$,0.049886152961275625,4.472221935423917e-10
MDAMB453,BMS-265246,0.001,$k_{M}$,0.12014853339929281,4.472221935423917e-10
MDAMB453,BMS-265246,0.001,$k_{G1}$,0.40670641975093685,4.472221935423917e-10
MDAMB453,BMS-265246,0.001,$k_{\phi}$,0.0002506213450915375,4.472221935423917e-10
MDAMB453,BMS-265246,0.003162,$k_{S}$,0.031578544546196394,4.0299895786684365e-10
MDAMB453,BMS-265246,0.003162,$k_{G2}$,0.05536303021282437,4.0299895786684365e-10
MDAMB453,BMS-265246,0.003162,$k_{M}$,0.14858883411468993,4.0299895786684365e-10
MDAMB453,BMS-265246,0.003162,$k_{G1}$,0.4099149831731173,4.0299895786684365e-10
MDAMB453,BMS-265246,0.003162,$k_{\phi}$,0.0003689223431356355,4.0299895786684365e-10
MDAMB453,BMS-265246,0.031623,$k_{S}$,0.02426852771048987,2.2469771718260328e-10
MDAMB453,BMS-265246,0.031623,$k_{G2}$,0.06266448265441397,2.2469771718260328e-10
MDAMB453,BMS-265246,0.031623,$k_{M}$,0.10864699013032503,2.2469771718260328e-10
MDAMB453,BMS-265246,0.031623,$k_{G1}$,0.3540133897255264,2.2469771718260328e-10
MDAMB453,BMS-265246,0.031623,$k_{\phi}$,0.000265525657801282,2.2469771718260328e-10
MDAMB453,BMS-265246,0.01,$k_{S}$,0.028360778322553428,3.7907930521012213e-10
MDAMB453,BMS-265246,0.01,$k_{G2}$,0.06843781791214497,3.7907930521012213e-10
MDAMB453,BMS-265246,0.01,$k_{M}$,0.11249243517900083,3.7907930521012213e-10
MDAMB453,BMS-265246,0.01,$k_{G1}$,0.3475035013198219,3.7907930521012213e-10
MDAMB453,BMS-265246,0.01,$k_{\phi}$,0.00037935694991907837,3.7907930521012213e-10
