cell_line,agent,concentration,parameter,rate,obj_func
MDAMB453,BSJ-01-175,0.1,$k_{S}$,0.004603793763971531,22081.238051633696
MDAMB453,BSJ-01-175,0.1,$k_{G2}$,0.024443223789550553,22081.238051633696
MDAMB453,BSJ-01-175,0.1,$k_{M}$,0.007398618639849778,22081.238051633696
MDAMB453,BSJ-01-175,0.1,$k_{G1}$,1e-07,22081.238051633696
MDAMB453,BSJ-01-175,0.1,$k_{\phi}$,0.002036748318511805,22081.238051633696
MDAMB453,BSJ-01-175,10.0,$k_{S}$,0.010076678641977085,152754.64142454034
MDAMB453,BSJ-01-175,10.0,$k_{G2}$,0.021274005534348297,152754.64142454034
MDAMB453,BSJ-01-175,10.0,$k_{M}$,0.014275765473429985,152754.64142454034
MDAMB453,BSJ-01-175,10.0,$k_{G1}$,1e-07,152754.64142454034
MDAMB453,BSJ-01-175,10.0,$k_{\phi}$,0.0038439108976926553,152754.64142454034
MDAMB453,BSJ-01-175,1.0,$k_{S}$,0.005199459773424256,59901.83752653373
MDAMB453,BSJ-01-175,1.0,$k_{G2}$,0.026854280918925277,59901.83752653373
MDAMB453,BSJ-01-175,1.0,$k_{M}$,0.008457353989529926,59901.83752653373
MDAMB453,BSJ-01-175,1.0,$k_{G1}$,1e-07,59901.83752653373
MDAMB453,BSJ-01-175,1.0,$k_{\phi}$,0.002419041432259867,59901.83752653373
MDAMB453,BSJ-01-175,0.003162,$k_{S}$,0.0359179373607537,1.8660149047964463e-10
MDAMB453,BSJ-01-175,0.003162,$k_{G2}$,0.023894238311148452,1.8660149047964463e-10
MDAMB453,BSJ-01-175,0.003162,$k_{M}$,0.08549069415487257,1.8660149047964463e-10
MDAMB453,BSJ-01-175,0.003162,$k_{G1}$,0.22158717794507196,1.8660149047964463e-10
MDAMB453,BSJ-01-175,0.003162,$k_{\phi}$,0.00035379776657876237,1.8660149047964463e-10
MDAMB453,BSJ-01-175,0.316228,$k_{S}$,0.005774952833207737,67343.65411667165
MDAMB453,BSJ-01-175,0.316228,$k_{G2}$,0.026338159537728452,67343.65411667165
MDAMB453,BSJ-01-175,0.316228,$k_{M}$,0.008075437678540812,67343.65411667165
MDAMB453,BSJ-01-175,0.316228,$k_{G1}$,1e-07,67343.65411667165
MDAMB453,BSJ-01-175,0.316228,$k_{\phi}$,0.002610811157569913,67343.65411667165
MDAMB453,BSJ-01-175,3.162278,$k_{S}$,0.001271303732954818,22705.82200260344
MDAMB453,BSJ-01-175,3.162278,$k_{G2}$,0.020997227043693542,22705.82200260344
MDAMB453,BSJ-01-175,3.162278,$k_{M}$,0.005526193773606496,22705.82200260344
MDAMB453,BSJ-01-175,3.162278,$k_{G1}$,1e-07,22705.82200260344
MDAMB453,BSJ-01-175,3.162278,$k_{\phi}$,0.002227995230702631,22705.82200260344
MDAMB453,BSJ-01-175,0.031623,$k_{S}$,0.00972262606703984,117435.31931243073
MDAMB453,BSJ-01-175,0.031623,$k_{G2}$,0.019179872816744103,117435.31931243073
MDAMB453,BSJ-01-175,0.031623,$k_{M}$,0.013066533141996737,117435.31931243073
MDAMB453,BSJ-01-175,0.031623,$k_{G1}$,1e-07,117435.31931243073
MDAMB453,BSJ-01-175,0.031623,$k_{\phi}$,0.0028436960252018095,117435.31931243073
MDAMB453,BSJ-01-175,0.001,$k_{S}$,0.04368183929864725,5.192690859744643e-10
MDAMB453,BSJ-01-175,0.001,$k_{G2}$,0.038594234627585475,5.192690859744643e-10
MDAMB453,BSJ-01-175,0.001,$k_{M}$,0.1104134099286539,5.192690859744643e-10
MDAMB453,BSJ-01-175,0.001,$k_{G1}$,0.27490505044204305,5.192690859744643e-10
MDAMB453,BSJ-01-175,0.001,$k_{\phi}$,0.00031916653798093623,5.192690859744643e-10
MDAMB453,BSJ-01-175,0.01,$k_{S}$,0.018098535034158054,2.01661278886561e-10
MDAMB453,BSJ-01-175,0.01,$k_{G2}$,0.02764353217351692,2.01661278886561e-10
MDAMB453,BSJ-01-175,0.01,$k_{M}$,0.04966413075171489,2.01661278886561e-10
MDAMB453,BSJ-01-175,0.01,$k_{G1}$,0.16110578909463247,2.01661278886561e-10
MDAMB453,BSJ-01-175,0.01,$k_{\phi}$,0.000772041629284568,2.01661278886561e-10
