cell_line,agent,concentration,parameter,rate,obj_func
MDAMB468,E17,0.031623,$k_{S}$,0.004077020976927593,17761.491848590522
MDAMB468,E17,0.031623,$k_{G2}$,0.03077936278604969,17761.491848590522
MDAMB468,E17,0.031623,$k_{M}$,0.006835117551886046,17761.491848590522
MDAMB468,E17,0.031623,$k_{G1}$,1e-07,17761.491848590522
MDAMB468,E17,0.031623,$k_{\phi}$,0.0036445794332964376,17761.491848590522
MDAMB468,E17,0.001,$k_{S}$,0.021854012156410352,1.2781926111729363e-10
MDAMB468,E17,0.001,$k_{G2}$,0.05997413193240206,1.2781926111729363e-10
MDAMB468,E17,0.001,$k_{M}$,0.02766051571068099,1.2781926111729363e-10
MDAMB468,E17,0.001,$k_{G1}$,0.13301534065747628,1.2781926111729363e-10
MDAMB468,E17,0.001,$k_{\phi}$,0.002931644785046442,1.2781926111729363e-10
MDAMB468,E17,0.316228,$k_{S}$,0.00769256587318091,40381.156387319716
MDAMB468,E17,0.316228,$k_{G2}$,0.021527778652102317,40381.156387319716
MDAMB468,E17,0.316228,$k_{M}$,0.01516964886734834,40381.156387319716
MDAMB468,E17,0.316228,$k_{G1}$,1e-07,40381.156387319716
MDAMB468,E17,0.316228,$k_{\phi}$,0.006248258636731957,40381.156387319716
MDAMB468,E17,0.000316,$k_{S}$,0.045726880336353484,5.978106102261677e-11
MDAMB468,E17,0.000316,$k_{G2}$,0.0768252268803755,5.978106102261677e-11
MDAMB468,E17,0.000316,$k_{M}$,0.08437466957151803,5.978106102261677e-11
MDAMB468,E17,0.000316,$k_{G1}$,0.5220294759741604,5.978106102261677e-11
MDAMB468,E17,0.000316,$k_{\phi}$,0.0009469628765992941,5.978106102261677e-11
MDAMB468,E17,0.0001,$k_{S}$,0.04642205761071688,6.453531880000843e-10
MDAMB468,E17,0.0001,$k_{G2}$,0.07944215702313293,6.453531880000843e-10
MDAMB468,E17,0.0001,$k_{M}$,0.08263332702000044,6.453531880000843e-10
MDAMB468,E17,0.0001,$k_{G1}$,0.5444186487907411,6.453531880000843e-10
MDAMB468,E17,0.0001,$k_{\phi}$,0.0010301837838767153,6.453531880000843e-10
MDAMB468,E17,0.003162,$k_{S}$,0.015281884356877622,8.584841331515552e-11
MDAMB468,E17,0.003162,$k_{G2}$,0.043441056450595816,8.584841331515552e-11
MDAMB468,E17,0.003162,$k_{M}$,0.030611881480157338,8.584841331515552e-11
MDAMB468,E17,0.003162,$k_{G1}$,0.1106968201989927,8.584841331515552e-11
MDAMB468,E17,0.003162,$k_{\phi}$,0.0021604597589747376,8.584841331515552e-11
MDAMB468,E17,0.01,$k_{S}$,0.0020965461213667247,3108.6405159474807
MDAMB468,E17,0.01,$k_{G2}$,0.04306616585844333,3108.6405159474807
MDAMB468,E17,0.01,$k_{M}$,0.003987768529081532,3108.6405159474807
MDAMB468,E17,0.01,$k_{G1}$,1e-07,3108.6405159474807
MDAMB468,E17,0.01,$k_{\phi}$,0.0038322945784361696,3108.6405159474807
MDAMB468,E17,0.1,$k_{S}$,0.006148550127753924,29492.10633534305
MDAMB468,E17,0.1,$k_{G2}$,0.02733056717671017,29492.10633534305
MDAMB468,E17,0.1,$k_{M}$,0.011139903808094542,29492.10633534305
MDAMB468,E17,0.1,$k_{G1}$,1e-07,29492.10633534305
MDAMB468,E17,0.1,$k_{\phi}$,0.005065622218761056,29492.10633534305
MDAMB468,E17,1.0,$k_{S}$,0.010138755941425253,59770.20039281026
MDAMB468,E17,1.0,$k_{G2}$,0.020903232532516365,59770.20039281026
MDAMB468,E17,1.0,$k_{M}$,0.017721413237752694,59770.20039281026
MDAMB468,E17,1.0,$k_{G1}$,1e-07,59770.20039281026
MDAMB468,E17,1.0,$k_{\phi}$,0.006343545827208444,59770.20039281026
