cell_line,agent,concentration,parameter,rate,obj_func
MDAMB468,LEE011_Ribociclib,0.316228,$k_{S}$,0.0429323008519346,8.81603914766648e-11
MDAMB468,LEE011_Ribociclib,0.316228,$k_{G2}$,0.0739929000519933,8.81603914766648e-11
MDAMB468,LEE011_Ribociclib,0.316228,$k_{M}$,0.08118010613783873,8.81603914766648e-11
MDAMB468,LEE011_Ribociclib,0.316228,$k_{G1}$,0.4756250769966438,8.81603914766648e-11
MDAMB468,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.0011219999766696714,8.81603914766648e-11
MDAMB468,LEE011_Ribociclib,3.162278,$k_{S}$,0.043525048685568286,4.704095703793873e-10
MDAMB468,LEE011_Ribociclib,3.162278,$k_{G2}$,0.07700302841965677,4.704095703793873e-10
MDAMB468,LEE011_Ribociclib,3.162278,$k_{M}$,0.08866325108238605,4.704095703793873e-10
MDAMB468,LEE011_Ribociclib,3.162278,$k_{G1}$,0.4811328686257128,4.704095703793873e-10
MDAMB468,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.0008887139248088781,4.704095703793873e-10
MDAMB468,LEE011_Ribociclib,0.001,$k_{S}$,0.04328829783265838,2.649160649770997e-10
MDAMB468,LEE011_Ribociclib,0.001,$k_{G2}$,0.08050439189592629,2.649160649770997e-10
MDAMB468,LEE011_Ribociclib,0.001,$k_{M}$,0.0880338526720647,2.649160649770997e-10
MDAMB468,LEE011_Ribociclib,0.001,$k_{G1}$,0.48217803514072577,2.649160649770997e-10
MDAMB468,LEE011_Ribociclib,0.001,$k_{\phi}$,0.001173223052387154,2.649160649770997e-10
MDAMB468,LEE011_Ribociclib,0.031623,$k_{S}$,0.04677997467211841,1.7521828416653158e-10
MDAMB468,LEE011_Ribociclib,0.031623,$k_{G2}$,0.07519053215711062,1.7521828416653158e-10
MDAMB468,LEE011_Ribociclib,0.031623,$k_{M}$,0.08522189967838179,1.7521828416653158e-10
MDAMB468,LEE011_Ribociclib,0.031623,$k_{G1}$,0.4515712659954747,1.7521828416653158e-10
MDAMB468,LEE011_Ribociclib,0.031623,$k_{\phi}$,0.000994550090559466,1.7521828416653158e-10
MDAMB468,LEE011_Ribociclib,0.1,$k_{S}$,0.04337074246490555,5.692505178469341e-10
MDAMB468,LEE011_Ribociclib,0.1,$k_{G2}$,0.07185567104713057,5.692505178469341e-10
MDAMB468,LEE011_Ribociclib,0.1,$k_{M}$,0.08701999528017632,5.692505178469341e-10
MDAMB468,LEE011_Ribociclib,0.1,$k_{G1}$,0.6114444106580057,5.692505178469341e-10
MDAMB468,LEE011_Ribociclib,0.1,$k_{\phi}$,0.0010274708934606938,5.692505178469341e-10
MDAMB468,LEE011_Ribociclib,0.01,$k_{S}$,0.0446133573834757,5.279444133062987e-10
MDAMB468,LEE011_Ribociclib,0.01,$k_{G2}$,0.07469977039510194,5.279444133062987e-10
MDAMB468,LEE011_Ribociclib,0.01,$k_{M}$,0.08404725579232221,5.279444133062987e-10
MDAMB468,LEE011_Ribociclib,0.01,$k_{G1}$,0.49778959293305314,5.279444133062987e-10
MDAMB468,LEE011_Ribociclib,0.01,$k_{\phi}$,0.0011637906353880938,5.279444133062987e-10
MDAMB468,LEE011_Ribociclib,0.003162,$k_{S}$,0.046574642803241195,5.278271955728137e-10
MDAMB468,LEE011_Ribociclib,0.003162,$k_{G2}$,0.076890148112176,5.278271955728137e-10
MDAMB468,LEE011_Ribociclib,0.003162,$k_{M}$,0.09162885865941901,5.278271955728137e-10
MDAMB468,LEE011_Ribociclib,0.003162,$k_{G1}$,0.5250385576338662,5.278271955728137e-10
MDAMB468,LEE011_Ribociclib,0.003162,$k_{\phi}$,0.0011596171244796086,5.278271955728137e-10
MDAMB468,LEE011_Ribociclib,10.0,$k_{S}$,0.045484096674315515,4.694300068426542e-10
MDAMB468,LEE011_Ribociclib,10.0,$k_{G2}$,0.06784657225078748,4.694300068426542e-10
MDAMB468,LEE011_Ribociclib,10.0,$k_{M}$,0.08806448733401437,4.694300068426542e-10
MDAMB468,LEE011_Ribociclib,10.0,$k_{G1}$,0.42385825155902385,4.694300068426542e-10
MDAMB468,LEE011_Ribociclib,10.0,$k_{\phi}$,0.0009620764331352618,4.694300068426542e-10
MDAMB468,LEE011_Ribociclib,1.0,$k_{S}$,0.042240826077006,3.789960109629491e-10
MDAMB468,LEE011_Ribociclib,1.0,$k_{G2}$,0.0747551760431936,3.789960109629491e-10
MDAMB468,LEE011_Ribociclib,1.0,$k_{M}$,0.08473289778160055,3.789960109629491e-10
MDAMB468,LEE011_Ribociclib,1.0,$k_{G1}$,0.4650980619164648,3.789960109629491e-10
MDAMB468,LEE011_Ribociclib,1.0,$k_{\phi}$,0.0010101322950919747,3.789960109629491e-10
