cell_line,agent,concentration,parameter,rate,obj_func
MDAMB468,LY3023414,0.031623,$k_{S}$,0.011936913755745328,7.908205516080609e-11
MDAMB468,LY3023414,0.031623,$k_{G2}$,0.09496833714960058,7.908205516080609e-11
MDAMB468,LY3023414,0.031623,$k_{M}$,0.0626583925280023,7.908205516080609e-11
MDAMB468,LY3023414,0.031623,$k_{G1}$,0.5280576062892872,7.908205516080609e-11
MDAMB468,LY3023414,0.031623,$k_{\phi}$,0.002667614802071543,7.908205516080609e-11
MDAMB468,LY3023414,0.316228,$k_{S}$,0.007172519547645267,3.401730109114526e-11
MDAMB468,LY3023414,0.316228,$k_{G2}$,0.09994688955320187,3.401730109114526e-11
MDAMB468,LY3023414,0.316228,$k_{M}$,0.052912138563064,3.401730109114526e-11
MDAMB468,LY3023414,0.316228,$k_{G1}$,0.3536758151612294,3.401730109114526e-11
MDAMB468,LY3023414,0.316228,$k_{\phi}$,0.002220443313679585,3.401730109114526e-11
MDAMB468,LY3023414,0.1,$k_{S}$,0.008523925723979737,7.709328909126375e-11
MDAMB468,LY3023414,0.1,$k_{G2}$,0.09937137596576719,7.709328909126375e-11
MDAMB468,LY3023414,0.1,$k_{M}$,0.0515074886394488,7.709328909126375e-11
MDAMB468,LY3023414,0.1,$k_{G1}$,0.7534628701471296,7.709328909126375e-11
MDAMB468,LY3023414,0.1,$k_{\phi}$,0.0024039263377650423,7.709328909126375e-11
MDAMB468,LY3023414,3.162278,$k_{S}$,0.004392085488714114,2.0147889054019804e-11
MDAMB468,LY3023414,3.162278,$k_{G2}$,0.11908449722289977,2.0147889054019804e-11
MDAMB468,LY3023414,3.162278,$k_{M}$,0.052432554021862345,2.0147889054019804e-11
MDAMB468,LY3023414,3.162278,$k_{G1}$,0.1805330041417647,2.0147889054019804e-11
MDAMB468,LY3023414,3.162278,$k_{\phi}$,0.0030701495084210005,2.0147889054019804e-11
MDAMB468,LY3023414,0.003162,$k_{S}$,0.02164058033278658,2.1160405320217559e-10
MDAMB468,LY3023414,0.003162,$k_{G2}$,0.077774953707755,2.1160405320217559e-10
MDAMB468,LY3023414,0.003162,$k_{M}$,0.07527313520875267,2.1160405320217559e-10
MDAMB468,LY3023414,0.003162,$k_{G1}$,0.6665271717323463,2.1160405320217559e-10
MDAMB468,LY3023414,0.003162,$k_{\phi}$,0.0017541169592310598,2.1160405320217559e-10
MDAMB468,LY3023414,0.01,$k_{S}$,0.01720985279300647,1.4671117545355736e-10
MDAMB468,LY3023414,0.01,$k_{G2}$,0.08017898028346121,1.4671117545355736e-10
MDAMB468,LY3023414,0.01,$k_{M}$,0.07403846824351762,1.4671117545355736e-10
MDAMB468,LY3023414,0.01,$k_{G1}$,0.7379639186122944,1.4671117545355736e-10
MDAMB468,LY3023414,0.01,$k_{\phi}$,0.0018427628636632535,1.4671117545355736e-10
MDAMB468,LY3023414,10.0,$k_{S}$,1e-07,1495.7437788741113
MDAMB468,LY3023414,10.0,$k_{G2}$,0.022189216452954734,1495.7437788741113
MDAMB468,LY3023414,10.0,$k_{M}$,0.01165097560583851,1495.7437788741113
MDAMB468,LY3023414,10.0,$k_{G1}$,0.030461818884396447,1495.7437788741113
MDAMB468,LY3023414,10.0,$k_{\phi}$,0.004934953183889286,1495.7437788741113
MDAMB468,LY3023414,1.0,$k_{S}$,0.006441257412391212,6.34279875980176e-11
MDAMB468,LY3023414,1.0,$k_{G2}$,0.16601322522886888,6.34279875980176e-11
MDAMB468,LY3023414,1.0,$k_{M}$,0.04928281715718964,6.34279875980176e-11
MDAMB468,LY3023414,1.0,$k_{G1}$,0.5779934300622452,6.34279875980176e-11
MDAMB468,LY3023414,1.0,$k_{\phi}$,0.0027945361188971203,6.34279875980176e-11
MDAMB468,LY3023414,0.001,$k_{S}$,0.025656218998940918,5.286228927111201e-11
MDAMB468,LY3023414,0.001,$k_{G2}$,0.08280770072081373,5.286228927111201e-11
MDAMB468,LY3023414,0.001,$k_{M}$,0.07478826603086076,5.286228927111201e-11
MDAMB468,LY3023414,0.001,$k_{G1}$,0.6393968211931422,5.286228927111201e-11
MDAMB468,LY3023414,0.001,$k_{\phi}$,0.0017473342750986287,5.286228927111201e-11
