cell_line,agent,concentration,parameter,rate,obj_func
MGH312,BMS-265246,3.162278,$k_{S}$,0.009797638762453412,3.53525536105654e-10
MGH312,BMS-265246,3.162278,$k_{G2}$,0.030199426678568595,3.53525536105654e-10
MGH312,BMS-265246,3.162278,$k_{M}$,0.03108873291478869,3.53525536105654e-10
MGH312,BMS-265246,3.162278,$k_{G1}$,0.013905200989094726,3.53525536105654e-10
MGH312,BMS-265246,3.162278,$k_{\phi}$,0.001232523265131561,3.53525536105654e-10
MGH312,BMS-265246,0.316228,$k_{S}$,0.0083518843377155,3.8975226782571053e-10
MGH312,BMS-265246,0.316228,$k_{G2}$,0.02302802535255435,3.8975226782571053e-10
MGH312,BMS-265246,0.316228,$k_{M}$,0.025250694619880762,3.8975226782571053e-10
MGH312,BMS-265246,0.316228,$k_{G1}$,0.01698688900703223,3.8975226782571053e-10
MGH312,BMS-265246,0.316228,$k_{\phi}$,0.0008617928668022612,3.8975226782571053e-10
MGH312,BMS-265246,10.0,$k_{S}$,0.003504168756495881,3417.908039930425
MGH312,BMS-265246,10.0,$k_{G2}$,0.011172608711845531,3417.908039930425
MGH312,BMS-265246,10.0,$k_{M}$,0.027565410033859924,3417.908039930425
MGH312,BMS-265246,10.0,$k_{G1}$,1e-07,3417.908039930425
MGH312,BMS-265246,10.0,$k_{\phi}$,0.0012492657524843032,3417.908039930425
MGH312,BMS-265246,0.1,$k_{S}$,0.009174636506971798,2.1687690887542864e-10
MGH312,BMS-265246,0.1,$k_{G2}$,0.023118025111519544,2.1687690887542864e-10
MGH312,BMS-265246,0.1,$k_{M}$,0.024617456133225246,2.1687690887542864e-10
MGH312,BMS-265246,0.1,$k_{G1}$,0.01617622371898209,2.1687690887542864e-10
MGH312,BMS-265246,0.1,$k_{\phi}$,0.0007038288084900487,2.1687690887542864e-10
MGH312,BMS-265246,1.0,$k_{S}$,0.013697889917520726,2.3955749938661066e-10
MGH312,BMS-265246,1.0,$k_{G2}$,0.042376260445970454,2.3955749938661066e-10
MGH312,BMS-265246,1.0,$k_{M}$,0.024729859768265267,2.3955749938661066e-10
MGH312,BMS-265246,1.0,$k_{G1}$,0.027466816956210127,2.3955749938661066e-10
MGH312,BMS-265246,1.0,$k_{\phi}$,0.0006707904480674001,2.3955749938661066e-10
MGH312,BMS-265246,0.001,$k_{S}$,0.02963957216332616,2.0546283475817007e-10
MGH312,BMS-265246,0.001,$k_{G2}$,0.055605883472425156,2.0546283475817007e-10
MGH312,BMS-265246,0.001,$k_{M}$,0.03661554673107439,2.0546283475817007e-10
MGH312,BMS-265246,0.001,$k_{G1}$,0.050147914847187725,2.0546283475817007e-10
MGH312,BMS-265246,0.001,$k_{\phi}$,0.000660592345675909,2.0546283475817007e-10
MGH312,BMS-265246,0.003162,$k_{S}$,0.020651725184940756,2.7352232626513684e-10
MGH312,BMS-265246,0.003162,$k_{G2}$,0.03329658405424024,2.7352232626513684e-10
MGH312,BMS-265246,0.003162,$k_{M}$,0.032285301257669825,2.7352232626513684e-10
MGH312,BMS-265246,0.003162,$k_{G1}$,0.03955185182866494,2.7352232626513684e-10
MGH312,BMS-265246,0.003162,$k_{\phi}$,0.0008269236998628917,2.7352232626513684e-10
MGH312,BMS-265246,0.031623,$k_{S}$,0.020522522189046412,2.203069500519254e-10
MGH312,BMS-265246,0.031623,$k_{G2}$,0.048641230103382165,2.203069500519254e-10
MGH312,BMS-265246,0.031623,$k_{M}$,0.03617472225030796,2.203069500519254e-10
MGH312,BMS-265246,0.031623,$k_{G1}$,0.033930039452067434,2.203069500519254e-10
MGH312,BMS-265246,0.031623,$k_{\phi}$,0.0007408157843450172,2.203069500519254e-10
MGH312,BMS-265246,0.01,$k_{S}$,0.024486615316197263,1.61333188325848e-10
MGH312,BMS-265246,0.01,$k_{G2}$,0.047799789992746,1.61333188325848e-10
MGH312,BMS-265246,0.01,$k_{M}$,0.029744115150682746,1.61333188325848e-10
MGH312,BMS-265246,0.01,$k_{G1}$,0.040298563824793576,1.61333188325848e-10
MGH312,BMS-265246,0.01,$k_{\phi}$,0.0008859180106025297,1.61333188325848e-10
