cell_line,agent,concentration,parameter,rate,obj_func
MGH312,BSJ-01-175,0.1,$k_{S}$,0.007353246616491822,163525.0787512476
MGH312,BSJ-01-175,0.1,$k_{G2}$,0.017117106249027854,163525.0787512476
MGH312,BSJ-01-175,0.1,$k_{M}$,0.012549203065357657,163525.0787512476
MGH312,BSJ-01-175,0.1,$k_{G1}$,1e-07,163525.0787512476
MGH312,BSJ-01-175,0.1,$k_{\phi}$,0.003799775562792612,163525.0787512476
MGH312,BSJ-01-175,10.0,$k_{S}$,0.009319248042613646,218221.0148886168
MGH312,BSJ-01-175,10.0,$k_{G2}$,0.014800552400769568,218221.0148886168
MGH312,BSJ-01-175,10.0,$k_{M}$,0.014176351136131951,218221.0148886168
MGH312,BSJ-01-175,10.0,$k_{G1}$,1e-07,218221.0148886168
MGH312,BSJ-01-175,10.0,$k_{\phi}$,0.004919234534022484,218221.0148886168
MGH312,BSJ-01-175,1.0,$k_{S}$,0.007736827194707168,145599.0613692474
MGH312,BSJ-01-175,1.0,$k_{G2}$,0.016065154347105846,145599.0613692474
MGH312,BSJ-01-175,1.0,$k_{M}$,0.013600563765239604,145599.0613692474
MGH312,BSJ-01-175,1.0,$k_{G1}$,1e-07,145599.0613692474
MGH312,BSJ-01-175,1.0,$k_{\phi}$,0.004662693322392728,145599.0613692474
MGH312,BSJ-01-175,0.003162,$k_{S}$,0.023227085514708753,6.716158992877841e-11
MGH312,BSJ-01-175,0.003162,$k_{G2}$,0.05481611011399335,6.716158992877841e-11
MGH312,BSJ-01-175,0.003162,$k_{M}$,0.04754860231940003,6.716158992877841e-11
MGH312,BSJ-01-175,0.003162,$k_{G1}$,0.0561307484103007,6.716158992877841e-11
MGH312,BSJ-01-175,0.003162,$k_{\phi}$,0.0006998113724282243,6.716158992877841e-11
MGH312,BSJ-01-175,0.316228,$k_{S}$,0.008577290594767127,173560.6907343712
MGH312,BSJ-01-175,0.316228,$k_{G2}$,0.01848686103653151,173560.6907343712
MGH312,BSJ-01-175,0.316228,$k_{M}$,0.011069338659164662,173560.6907343712
MGH312,BSJ-01-175,0.316228,$k_{G1}$,1e-07,173560.6907343712
MGH312,BSJ-01-175,0.316228,$k_{\phi}$,0.003720369651694621,173560.6907343712
MGH312,BSJ-01-175,3.162278,$k_{S}$,0.0068746960548527495,112168.12636576113
MGH312,BSJ-01-175,3.162278,$k_{G2}$,0.017304625784556958,112168.12636576113
MGH312,BSJ-01-175,3.162278,$k_{M}$,0.01166134345843315,112168.12636576113
MGH312,BSJ-01-175,3.162278,$k_{G1}$,1e-07,112168.12636576113
MGH312,BSJ-01-175,3.162278,$k_{\phi}$,0.006161952351105566,112168.12636576113
MGH312,BSJ-01-175,0.031623,$k_{S}$,0.0057609848947062815,87444.02291292486
MGH312,BSJ-01-175,0.031623,$k_{G2}$,0.021921426220145313,87444.02291292486
MGH312,BSJ-01-175,0.031623,$k_{M}$,0.008153099192995474,87444.02291292486
MGH312,BSJ-01-175,0.031623,$k_{G1}$,1e-07,87444.02291292486
MGH312,BSJ-01-175,0.031623,$k_{\phi}$,0.002981021555482903,87444.02291292486
MGH312,BSJ-01-175,0.001,$k_{S}$,0.027912598917657717,4.678800236162522e-11
MGH312,BSJ-01-175,0.001,$k_{G2}$,0.06417632358652499,4.678800236162522e-11
MGH312,BSJ-01-175,0.001,$k_{M}$,0.056235328155266474,4.678800236162522e-11
MGH312,BSJ-01-175,0.001,$k_{G1}$,0.07637380173959547,4.678800236162522e-11
MGH312,BSJ-01-175,0.001,$k_{\phi}$,0.000647574277781081,4.678800236162522e-11
MGH312,BSJ-01-175,0.01,$k_{S}$,0.0147062831088387,2.2339735174310683e-10
MGH312,BSJ-01-175,0.01,$k_{G2}$,0.040783046567024805,2.2339735174310683e-10
MGH312,BSJ-01-175,0.01,$k_{M}$,0.021884997310254034,2.2339735174310683e-10
MGH312,BSJ-01-175,0.01,$k_{G1}$,0.04721139905693713,2.2339735174310683e-10
MGH312,BSJ-01-175,0.01,$k_{\phi}$,0.0011961517361509715,2.2339735174310683e-10
