cell_line,agent,concentration,parameter,rate,obj_func
MGH312,E17,3.162278,$k_{S}$,0.005084220537630387,141084.01851869895
MGH312,E17,3.162278,$k_{G2}$,0.01244860208018302,141084.01851869895
MGH312,E17,3.162278,$k_{M}$,0.012322763905958345,141084.01851869895
MGH312,E17,3.162278,$k_{G1}$,1e-07,141084.01851869895
MGH312,E17,3.162278,$k_{\phi}$,0.006188182647046879,141084.01851869895
MGH312,E17,0.1,$k_{S}$,0.005820687130735093,161601.70148658066
MGH312,E17,0.1,$k_{G2}$,0.013111698983186796,161601.70148658066
MGH312,E17,0.1,$k_{M}$,0.012232467281981452,161601.70148658066
MGH312,E17,0.1,$k_{G1}$,1e-07,161601.70148658066
MGH312,E17,0.1,$k_{\phi}$,0.0055555571895991585,161601.70148658066
MGH312,E17,0.003162,$k_{S}$,0.005717928611395943,170346.289866367
MGH312,E17,0.003162,$k_{G2}$,0.0120327656285485,170346.289866367
MGH312,E17,0.003162,$k_{M}$,0.013143241617210982,170346.289866367
MGH312,E17,0.003162,$k_{G1}$,1e-07,170346.289866367
MGH312,E17,0.003162,$k_{\phi}$,0.005034180651513737,170346.289866367
MGH312,E17,0.001,$k_{S}$,0.0037453450234255924,98905.43331145162
MGH312,E17,0.001,$k_{G2}$,0.014156053530975696,98905.43331145162
MGH312,E17,0.001,$k_{M}$,0.010726222331760672,98905.43331145162
MGH312,E17,0.001,$k_{G1}$,1e-07,98905.43331145162
MGH312,E17,0.001,$k_{\phi}$,0.003912487731310342,98905.43331145162
MGH312,E17,10.0,$k_{S}$,0.006666935612566019,149838.69312964054
MGH312,E17,10.0,$k_{G2}$,0.013652720027068913,149838.69312964054
MGH312,E17,10.0,$k_{M}$,0.013340994948318289,149838.69312964054
MGH312,E17,10.0,$k_{G1}$,1e-07,149838.69312964054
MGH312,E17,10.0,$k_{\phi}$,0.00647836783399855,149838.69312964054
MGH312,E17,0.01,$k_{S}$,0.004266337961564108,138742.11634048953
MGH312,E17,0.01,$k_{G2}$,0.011877092844561316,138742.11634048953
MGH312,E17,0.01,$k_{M}$,0.0120998693234809,138742.11634048953
MGH312,E17,0.01,$k_{G1}$,1e-07,138742.11634048953
MGH312,E17,0.01,$k_{\phi}$,0.00577711365301588,138742.11634048953
MGH312,E17,0.031623,$k_{S}$,0.005291744610336698,137965.84274445105
MGH312,E17,0.031623,$k_{G2}$,0.0118358169482829,137965.84274445105
MGH312,E17,0.031623,$k_{M}$,0.012912910778967342,137965.84274445105
MGH312,E17,0.031623,$k_{G1}$,1e-07,137965.84274445105
MGH312,E17,0.031623,$k_{\phi}$,0.006519243908173898,137965.84274445105
MGH312,E17,0.316228,$k_{S}$,0.0051636437407609455,135979.6893876551
MGH312,E17,0.316228,$k_{G2}$,0.01328033213265837,135979.6893876551
MGH312,E17,0.316228,$k_{M}$,0.011343268741917972,135979.6893876551
MGH312,E17,0.316228,$k_{G1}$,1e-07,135979.6893876551
MGH312,E17,0.316228,$k_{\phi}$,0.005955376371785303,135979.6893876551
MGH312,E17,1.0,$k_{S}$,0.00380434842381126,129034.46614989656
MGH312,E17,1.0,$k_{G2}$,0.0117402508946154,129034.46614989656
MGH312,E17,1.0,$k_{M}$,0.011351867280850476,129034.46614989656
MGH312,E17,1.0,$k_{G1}$,1e-07,129034.46614989656
MGH312,E17,1.0,$k_{\phi}$,0.0056462006976239045,129034.46614989656
