cell_line,agent,concentration,parameter,rate,obj_func
MGH312,MFH-2-90,0.01,$k_{S}$,0.0038958177454189126,122584.25173949057
MGH312,MFH-2-90,0.01,$k_{G2}$,0.011244451055393765,122584.25173949057
MGH312,MFH-2-90,0.01,$k_{M}$,0.012398350389919257,122584.25173949057
MGH312,MFH-2-90,0.01,$k_{G1}$,1e-07,122584.25173949057
MGH312,MFH-2-90,0.01,$k_{\phi}$,0.006527348868416183,122584.25173949057
MGH312,MFH-2-90,0.001,$k_{S}$,0.006264807235314749,135101.65375191753
MGH312,MFH-2-90,0.001,$k_{G2}$,0.014352695204292922,135101.65375191753
MGH312,MFH-2-90,0.001,$k_{M}$,0.014313833226167309,135101.65375191753
MGH312,MFH-2-90,0.001,$k_{G1}$,1e-07,135101.65375191753
MGH312,MFH-2-90,0.001,$k_{\phi}$,0.004093594462588103,135101.65375191753
MGH312,MFH-2-90,0.1,$k_{S}$,0.005380001321478099,143219.7681787332
MGH312,MFH-2-90,0.1,$k_{G2}$,0.012932350054553952,143219.7681787332
MGH312,MFH-2-90,0.1,$k_{M}$,0.011792040558208062,143219.7681787332
MGH312,MFH-2-90,0.1,$k_{G1}$,1e-07,143219.7681787332
MGH312,MFH-2-90,0.1,$k_{\phi}$,0.005832669752500807,143219.7681787332
MGH312,MFH-2-90,0.316228,$k_{S}$,0.004221169925456046,118341.78753783088
MGH312,MFH-2-90,0.316228,$k_{G2}$,0.01179332584587496,118341.78753783088
MGH312,MFH-2-90,0.316228,$k_{M}$,0.012083743370549915,118341.78753783088
MGH312,MFH-2-90,0.316228,$k_{G1}$,1e-07,118341.78753783088
MGH312,MFH-2-90,0.316228,$k_{\phi}$,0.006916907975755667,118341.78753783088
MGH312,MFH-2-90,3.162278,$k_{S}$,0.004348743452192503,120298.51020984851
MGH312,MFH-2-90,3.162278,$k_{G2}$,0.013032970925643225,120298.51020984851
MGH312,MFH-2-90,3.162278,$k_{M}$,0.010608348158063182,120298.51020984851
MGH312,MFH-2-90,3.162278,$k_{G1}$,1e-07,120298.51020984851
MGH312,MFH-2-90,3.162278,$k_{\phi}$,0.005947536307850709,120298.51020984851
MGH312,MFH-2-90,0.031623,$k_{S}$,0.004588316366934025,142318.54884608477
MGH312,MFH-2-90,0.031623,$k_{G2}$,0.012448085642281078,142318.54884608477
MGH312,MFH-2-90,0.031623,$k_{M}$,0.011786224246957872,142318.54884608477
MGH312,MFH-2-90,0.031623,$k_{G1}$,1e-07,142318.54884608477
MGH312,MFH-2-90,0.031623,$k_{\phi}$,0.005565347569877562,142318.54884608477
MGH312,MFH-2-90,0.003162,$k_{S}$,0.003923364334844683,127007.66008806393
MGH312,MFH-2-90,0.003162,$k_{G2}$,0.012734865558336283,127007.66008806393
MGH312,MFH-2-90,0.003162,$k_{M}$,0.01168153969730079,127007.66008806393
MGH312,MFH-2-90,0.003162,$k_{G1}$,1e-07,127007.66008806393
MGH312,MFH-2-90,0.003162,$k_{\phi}$,0.005333049474299657,127007.66008806393
MGH312,MFH-2-90,1.0,$k_{S}$,0.004979767293776828,139297.9352054865
MGH312,MFH-2-90,1.0,$k_{G2}$,0.012179095056016073,139297.9352054865
MGH312,MFH-2-90,1.0,$k_{M}$,0.012500332699342018,139297.9352054865
MGH312,MFH-2-90,1.0,$k_{G1}$,1e-07,139297.9352054865
MGH312,MFH-2-90,1.0,$k_{\phi}$,0.006359056222081479,139297.9352054865
MGH312,MFH-2-90,10.0,$k_{S}$,0.005312612265889366,151574.8169746031
MGH312,MFH-2-90,10.0,$k_{G2}$,0.014032660580692198,151574.8169746031
MGH312,MFH-2-90,10.0,$k_{M}$,0.012313652509187263,151574.8169746031
MGH312,MFH-2-90,10.0,$k_{G1}$,1e-07,151574.8169746031
MGH312,MFH-2-90,10.0,$k_{\phi}$,0.004823928885799877,151574.8169746031
