cell_line,agent,concentration,parameter,rate,obj_func
MGH312,SY-1365,1.0,$k_{S}$,0.0071278640178124245,117522.72448933127
MGH312,SY-1365,1.0,$k_{G2}$,0.017099612337118108,117522.72448933127
MGH312,SY-1365,1.0,$k_{M}$,0.011657874257841792,117522.72448933127
MGH312,SY-1365,1.0,$k_{G1}$,1e-07,117522.72448933127
MGH312,SY-1365,1.0,$k_{\phi}$,0.006222362326265918,117522.72448933127
MGH312,SY-1365,0.031623,$k_{S}$,0.006877603366231295,130322.89616336925
MGH312,SY-1365,0.031623,$k_{G2}$,0.016502234255677345,130322.89616336925
MGH312,SY-1365,0.031623,$k_{M}$,0.014645130219249852,130322.89616336925
MGH312,SY-1365,0.031623,$k_{G1}$,1e-07,130322.89616336925
MGH312,SY-1365,0.031623,$k_{\phi}$,0.005686835204806881,130322.89616336925
MGH312,SY-1365,3.162278,$k_{S}$,0.007459987148776311,165217.31606022225
MGH312,SY-1365,3.162278,$k_{G2}$,0.016167517303527727,165217.31606022225
MGH312,SY-1365,3.162278,$k_{M}$,0.013158309379022359,165217.31606022225
MGH312,SY-1365,3.162278,$k_{G1}$,1e-07,165217.31606022225
MGH312,SY-1365,3.162278,$k_{\phi}$,0.004746661408866608,165217.31606022225
MGH312,SY-1365,0.001,$k_{S}$,0.004960421460086446,87797.01242855433
MGH312,SY-1365,0.001,$k_{G2}$,0.018286422610258528,87797.01242855433
MGH312,SY-1365,0.001,$k_{M}$,0.008197157816572317,87797.01242855433
MGH312,SY-1365,0.001,$k_{G1}$,1e-07,87797.01242855433
MGH312,SY-1365,0.001,$k_{\phi}$,0.004468031011075744,87797.01242855433
MGH312,SY-1365,10.0,$k_{S}$,0.005888827598967619,148571.88545609743
MGH312,SY-1365,10.0,$k_{G2}$,0.013835073333991019,148571.88545609743
MGH312,SY-1365,10.0,$k_{M}$,0.01183299555902468,148571.88545609743
MGH312,SY-1365,10.0,$k_{G1}$,1e-07,148571.88545609743
MGH312,SY-1365,10.0,$k_{\phi}$,0.005349159075504973,148571.88545609743
MGH312,SY-1365,0.003162,$k_{S}$,0.006910910753621756,137633.82002164065
MGH312,SY-1365,0.003162,$k_{G2}$,0.01642321277905884,137633.82002164065
MGH312,SY-1365,0.003162,$k_{M}$,0.01080669522089686,137633.82002164065
MGH312,SY-1365,0.003162,$k_{G1}$,1e-07,137633.82002164065
MGH312,SY-1365,0.003162,$k_{\phi}$,0.005389947433489269,137633.82002164065
MGH312,SY-1365,0.1,$k_{S}$,0.005123046283173355,119266.66127552123
MGH312,SY-1365,0.1,$k_{G2}$,0.013983723170889951,119266.66127552123
MGH312,SY-1365,0.1,$k_{M}$,0.011169042410211544,119266.66127552123
MGH312,SY-1365,0.1,$k_{G1}$,1e-07,119266.66127552123
MGH312,SY-1365,0.1,$k_{\phi}$,0.006316370960620429,119266.66127552123
MGH312,SY-1365,0.01,$k_{S}$,0.00615429986227091,120816.10867411074
MGH312,SY-1365,0.01,$k_{G2}$,0.01608241143716724,120816.10867411074
MGH312,SY-1365,0.01,$k_{M}$,0.009944592086417833,120816.10867411074
MGH312,SY-1365,0.01,$k_{G1}$,1e-07,120816.10867411074
MGH312,SY-1365,0.01,$k_{\phi}$,0.005802690284287892,120816.10867411074
MGH312,SY-1365,0.316228,$k_{S}$,0.0059006344053711916,133789.75754498277
MGH312,SY-1365,0.316228,$k_{G2}$,0.014120842856646849,133789.75754498277
MGH312,SY-1365,0.316228,$k_{M}$,0.011593358690168006,133789.75754498277
MGH312,SY-1365,0.316228,$k_{G1}$,1e-07,133789.75754498277
MGH312,SY-1365,0.316228,$k_{\phi}$,0.006232673327234716,133789.75754498277
