cell_line,agent,concentration,parameter,rate,obj_func
MGH312,Torin2,0.1,$k_{S}$,1e-07,22066.833548048755
MGH312,Torin2,0.1,$k_{G2}$,0.012913409974796312,22066.833548048755
MGH312,Torin2,0.1,$k_{M}$,0.013022212342151736,22066.833548048755
MGH312,Torin2,0.1,$k_{G1}$,0.0025471450753747115,22066.833548048755
MGH312,Torin2,0.1,$k_{\phi}$,0.0027752546920330255,22066.833548048755
MGH312,Torin2,1.0,$k_{S}$,0.0015575027374634968,59236.476882206916
MGH312,Torin2,1.0,$k_{G2}$,0.015106263904523777,59236.476882206916
MGH312,Torin2,1.0,$k_{M}$,0.014493343210035429,59236.476882206916
MGH312,Torin2,1.0,$k_{G1}$,1e-07,59236.476882206916
MGH312,Torin2,1.0,$k_{\phi}$,0.00424457539252635,59236.476882206916
MGH312,Torin2,0.31623,$k_{S}$,0.0002801072738693093,39289.9270939922
MGH312,Torin2,0.31623,$k_{G2}$,0.014533309442379877,39289.9270939922
MGH312,Torin2,0.31623,$k_{M}$,0.013884453726864211,39289.9270939922
MGH312,Torin2,0.31623,$k_{G1}$,1e-07,39289.9270939922
MGH312,Torin2,0.31623,$k_{\phi}$,0.0036099047030395686,39289.9270939922
MGH312,Torin2,0.031623,$k_{S}$,0.006300184627993735,2.349601190511065e-10
MGH312,Torin2,0.031623,$k_{G2}$,0.004680178166986852,2.349601190511065e-10
MGH312,Torin2,0.031623,$k_{M}$,0.03288587410647236,2.349601190511065e-10
MGH312,Torin2,0.031623,$k_{G1}$,0.001560172729559432,2.349601190511065e-10
MGH312,Torin2,0.031623,$k_{\phi}$,0.0015302948898551158,2.349601190511065e-10
MGH312,Torin2,0.01,$k_{S}$,0.01056832001534009,1.0011340802555941e-10
MGH312,Torin2,0.01,$k_{G2}$,0.06713191852809758,1.0011340802555941e-10
MGH312,Torin2,0.01,$k_{M}$,0.045589287680904186,1.0011340802555941e-10
MGH312,Torin2,0.01,$k_{G1}$,0.03193820519891007,1.0011340802555941e-10
MGH312,Torin2,0.01,$k_{\phi}$,0.0010538520615987414,1.0011340802555941e-10
MGH312,Torin2,0.003162,$k_{S}$,0.011896056430429128,1.2584090573334243e-10
MGH312,Torin2,0.003162,$k_{G2}$,0.0558858386403129,1.2584090573334243e-10
MGH312,Torin2,0.003162,$k_{M}$,0.03945547858030333,1.2584090573334243e-10
MGH312,Torin2,0.003162,$k_{G1}$,0.03597295656866041,1.2584090573334243e-10
MGH312,Torin2,0.003162,$k_{\phi}$,0.0006673826096020403,1.2584090573334243e-10
MGH312,Torin2,0.001,$k_{S}$,0.014916969826236734,2.155570937563593e-10
MGH312,Torin2,0.001,$k_{G2}$,0.03294183345585725,2.155570937563593e-10
MGH312,Torin2,0.001,$k_{M}$,0.04330163771011202,2.155570937563593e-10
MGH312,Torin2,0.001,$k_{G1}$,0.025009451996911913,2.155570937563593e-10
MGH312,Torin2,0.001,$k_{\phi}$,0.0008007443869899713,2.155570937563593e-10
MGH312,Torin2,0.000316,$k_{S}$,0.02698770137094568,1.9617076655128687e-10
MGH312,Torin2,0.000316,$k_{G2}$,0.07058196409038976,1.9617076655128687e-10
MGH312,Torin2,0.000316,$k_{M}$,0.054664659306490185,1.9617076655128687e-10
MGH312,Torin2,0.000316,$k_{G1}$,0.06106914932412481,1.9617076655128687e-10
MGH312,Torin2,0.000316,$k_{\phi}$,0.0004885701115381667,1.9617076655128687e-10
MGH312,Torin2,0.0001,$k_{S}$,0.029113939766399963,1.407773610723192e-10
MGH312,Torin2,0.0001,$k_{G2}$,0.07769110095639627,1.407773610723192e-10
MGH312,Torin2,0.0001,$k_{M}$,0.06236042946545224,1.407773610723192e-10
MGH312,Torin2,0.0001,$k_{G1}$,0.0529906229445142,1.407773610723192e-10
MGH312,Torin2,0.0001,$k_{\phi}$,0.0005709831197303768,1.407773610723192e-10
