cell_line,agent,concentration,parameter,rate,obj_func
MGH358,AZD2014,0.01,$k_{S}$,0.0011035163117010032,10450.860236424443
MGH358,AZD2014,0.01,$k_{G2}$,0.014888304256042447,10450.860236424443
MGH358,AZD2014,0.01,$k_{M}$,1e-07,10450.860236424443
MGH358,AZD2014,0.01,$k_{G1}$,0.011601992863479871,10450.860236424443
MGH358,AZD2014,0.01,$k_{\phi}$,0.0009076637840580324,10450.860236424443
MGH358,AZD2014,0.031623,$k_{S}$,0.0010748486388894123,11574.609232657262
MGH358,AZD2014,0.031623,$k_{G2}$,0.008516153565375594,11574.609232657262
MGH358,AZD2014,0.031623,$k_{M}$,1e-07,11574.609232657262
MGH358,AZD2014,0.031623,$k_{G1}$,0.00885230218698421,11574.609232657262
MGH358,AZD2014,0.031623,$k_{\phi}$,0.0008606059772086177,11574.609232657262
MGH358,AZD2014,1.0,$k_{S}$,0.002288074554100354,45233.668018437056
MGH358,AZD2014,1.0,$k_{G2}$,0.016440613525296827,45233.668018437056
MGH358,AZD2014,1.0,$k_{M}$,1e-07,45233.668018437056
MGH358,AZD2014,1.0,$k_{G1}$,0.001942614929641005,45233.668018437056
MGH358,AZD2014,1.0,$k_{\phi}$,0.0012414520036234569,45233.668018437056
MGH358,AZD2014,10.0,$k_{S}$,0.002619763313157788,59724.106453769964
MGH358,AZD2014,10.0,$k_{G2}$,0.012792086030414242,59724.106453769964
MGH358,AZD2014,10.0,$k_{M}$,1e-07,59724.106453769964
MGH358,AZD2014,10.0,$k_{G1}$,0.0008273045589097196,59724.106453769964
MGH358,AZD2014,10.0,$k_{\phi}$,0.0015409667956259557,59724.106453769964
MGH358,AZD2014,0.001,$k_{S}$,0.0006361290063584944,3176.606380052694
MGH358,AZD2014,0.001,$k_{G2}$,0.011213789139987069,3176.606380052694
MGH358,AZD2014,0.001,$k_{M}$,1e-07,3176.606380052694
MGH358,AZD2014,0.001,$k_{G1}$,0.018371338714737468,3176.606380052694
MGH358,AZD2014,0.001,$k_{\phi}$,0.0006727168248610407,3176.606380052694
MGH358,AZD2014,0.316228,$k_{S}$,0.0023221068033574847,46570.172861101724
MGH358,AZD2014,0.316228,$k_{G2}$,0.010915599837630014,46570.172861101724
MGH358,AZD2014,0.316228,$k_{M}$,1e-07,46570.172861101724
MGH358,AZD2014,0.316228,$k_{G1}$,0.0015214172130655276,46570.172861101724
MGH358,AZD2014,0.316228,$k_{\phi}$,0.0012360143654232862,46570.172861101724
MGH358,AZD2014,0.003162,$k_{S}$,0.0012083694058543735,11646.32384818051
MGH358,AZD2014,0.003162,$k_{G2}$,0.01994491062950822,11646.32384818051
MGH358,AZD2014,0.003162,$k_{M}$,1e-07,11646.32384818051
MGH358,AZD2014,0.003162,$k_{G1}$,0.011088874953459407,11646.32384818051
MGH358,AZD2014,0.003162,$k_{\phi}$,0.0007765171553309374,11646.32384818051
MGH358,AZD2014,0.1,$k_{S}$,0.0014238711863969673,19317.074876283557
MGH358,AZD2014,0.1,$k_{G2}$,0.01370466258049234,19317.074876283557
MGH358,AZD2014,0.1,$k_{M}$,1e-07,19317.074876283557
MGH358,AZD2014,0.1,$k_{G1}$,0.006186650049201031,19317.074876283557
MGH358,AZD2014,0.1,$k_{\phi}$,0.000929230696255572,19317.074876283557
MGH358,AZD2014,3.162278,$k_{S}$,0.0028893300562748137,66441.14057092756
MGH358,AZD2014,3.162278,$k_{G2}$,0.014533898750418123,66441.14057092756
MGH358,AZD2014,3.162278,$k_{M}$,1e-07,66441.14057092756
MGH358,AZD2014,3.162278,$k_{G1}$,0.0003627045474920563,66441.14057092756
MGH358,AZD2014,3.162278,$k_{\phi}$,0.001421955450799506,66441.14057092756
