cell_line,agent,concentration,parameter,rate,obj_func
MGH358,Flavopiridol,0.001,$k_{S}$,0.0022718693413719356,1.2667047887752227e-10
MGH358,Flavopiridol,0.001,$k_{G2}$,0.034103995232932754,1.2667047887752227e-10
MGH358,Flavopiridol,0.001,$k_{M}$,0.010462477982115779,1.2667047887752227e-10
MGH358,Flavopiridol,0.001,$k_{G1}$,0.14297085598770443,1.2667047887752227e-10
MGH358,Flavopiridol,0.001,$k_{\phi}$,0.00022592147647035676,1.2667047887752227e-10
MGH358,Flavopiridol,0.000316,$k_{S}$,0.004815801077574114,1.0100282898911762e-10
MGH358,Flavopiridol,0.000316,$k_{G2}$,0.07800465648701682,1.0100282898911762e-10
MGH358,Flavopiridol,0.000316,$k_{M}$,0.03248824737483249,1.0100282898911762e-10
MGH358,Flavopiridol,0.000316,$k_{G1}$,0.3228353381293687,1.0100282898911762e-10
MGH358,Flavopiridol,0.000316,$k_{\phi}$,0.0002985668172077704,1.0100282898911762e-10
MGH358,Flavopiridol,0.01,$k_{S}$,0.00109571666496399,0.16303606871980209
MGH358,Flavopiridol,0.01,$k_{G2}$,0.006037190293422988,0.16303606871980209
MGH358,Flavopiridol,0.01,$k_{M}$,1e-07,0.16303606871980209
MGH358,Flavopiridol,0.01,$k_{G1}$,0.039798936797560434,0.16303606871980209
MGH358,Flavopiridol,0.01,$k_{\phi}$,0.00025291575387804824,0.16303606871980209
MGH358,Flavopiridol,0.1,$k_{S}$,0.0035447552085750788,1.0031270546606965e-10
MGH358,Flavopiridol,0.1,$k_{G2}$,0.06824254382544086,1.0031270546606965e-10
MGH358,Flavopiridol,0.1,$k_{M}$,0.026038422125735084,1.0031270546606965e-10
MGH358,Flavopiridol,0.1,$k_{G1}$,0.17907535650286843,1.0031270546606965e-10
MGH358,Flavopiridol,0.1,$k_{\phi}$,0.00043008552217212994,1.0031270546606965e-10
MGH358,Flavopiridol,0.031623,$k_{S}$,0.004403610018782294,9.234887422583964e-11
MGH358,Flavopiridol,0.031623,$k_{G2}$,0.07329654435330892,9.234887422583964e-11
MGH358,Flavopiridol,0.031623,$k_{M}$,0.031912711339230765,9.234887422583964e-11
MGH358,Flavopiridol,0.031623,$k_{G1}$,0.533551833240683,9.234887422583964e-11
MGH358,Flavopiridol,0.031623,$k_{\phi}$,0.00033845708605609217,9.234887422583964e-11
MGH358,Flavopiridol,1.0,$k_{S}$,0.003907392824384764,68514.57728845584
MGH358,Flavopiridol,1.0,$k_{G2}$,0.014430677247031868,68514.57728845584
MGH358,Flavopiridol,1.0,$k_{M}$,0.0007410749307650653,68514.57728845584
MGH358,Flavopiridol,1.0,$k_{G1}$,1e-07,68514.57728845584
MGH358,Flavopiridol,1.0,$k_{\phi}$,0.002191623243786087,68514.57728845584
MGH358,Flavopiridol,0.003162,$k_{S}$,0.002478858528572977,2.317289785344763e-10
MGH358,Flavopiridol,0.003162,$k_{G2}$,0.03528545921969797,2.317289785344763e-10
MGH358,Flavopiridol,0.003162,$k_{M}$,0.008414816966128663,2.317289785344763e-10
MGH358,Flavopiridol,0.003162,$k_{G1}$,0.07065117207760754,2.317289785344763e-10
MGH358,Flavopiridol,0.003162,$k_{\phi}$,0.000282269781222963,2.317289785344763e-10
MGH358,Flavopiridol,0.316228,$k_{S}$,0.00198911611078421,5.739999561912574e-11
MGH358,Flavopiridol,0.316228,$k_{G2}$,0.08112660581576338,5.739999561912574e-11
MGH358,Flavopiridol,0.316228,$k_{M}$,0.01801699210384904,5.739999561912574e-11
MGH358,Flavopiridol,0.316228,$k_{G1}$,0.0648846584856582,5.739999561912574e-11
MGH358,Flavopiridol,0.316228,$k_{\phi}$,0.0003610270951446082,5.739999561912574e-11
MGH358,Flavopiridol,0.0001,$k_{S}$,0.004755184289031879,1.4935845674925676e-10
MGH358,Flavopiridol,0.0001,$k_{G2}$,0.07507558180709471,1.4935845674925676e-10
MGH358,Flavopiridol,0.0001,$k_{M}$,0.029270829911332535,1.4935845674925676e-10
MGH358,Flavopiridol,0.0001,$k_{G1}$,0.25111471346752945,1.4935845674925676e-10
MGH358,Flavopiridol,0.0001,$k_{\phi}$,0.00030457564385569783,1.4935845674925676e-10
