cell_line,agent,concentration,parameter,rate,obj_func
MGH358,LEE011_Ribociclib,1.0,$k_{S}$,0.0011733367921091728,9.737048923159692e-11
MGH358,LEE011_Ribociclib,1.0,$k_{G2}$,0.19792814469790831,9.737048923159692e-11
MGH358,LEE011_Ribociclib,1.0,$k_{M}$,0.011997224242299211,9.737048923159692e-11
MGH358,LEE011_Ribociclib,1.0,$k_{G1}$,0.13495592982972093,9.737048923159692e-11
MGH358,LEE011_Ribociclib,1.0,$k_{\phi}$,0.0003118624494825621,9.737048923159692e-11
MGH358,LEE011_Ribociclib,3.162278,$k_{S}$,0.0015174885759154598,6.788986849671767e-11
MGH358,LEE011_Ribociclib,3.162278,$k_{G2}$,0.2338461622379177,6.788986849671767e-11
MGH358,LEE011_Ribociclib,3.162278,$k_{M}$,0.015991083431588834,6.788986849671767e-11
MGH358,LEE011_Ribociclib,3.162278,$k_{G1}$,0.18250036936261474,6.788986849671767e-11
MGH358,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.00043836765745172387,6.788986849671767e-11
MGH358,LEE011_Ribociclib,0.01,$k_{S}$,0.0017263484542839015,4.315442144104357e-11
MGH358,LEE011_Ribociclib,0.01,$k_{G2}$,0.11485593228831717,4.315442144104357e-11
MGH358,LEE011_Ribociclib,0.01,$k_{M}$,0.017445141798439985,4.315442144104357e-11
MGH358,LEE011_Ribociclib,0.01,$k_{G1}$,0.31684066094098523,4.315442144104357e-11
MGH358,LEE011_Ribociclib,0.01,$k_{\phi}$,0.00029499987384060925,4.315442144104357e-11
MGH358,LEE011_Ribociclib,0.1,$k_{S}$,0.0005874070478962344,5.042042165239021e-11
MGH358,LEE011_Ribociclib,0.1,$k_{G2}$,0.04263251809059437,5.042042165239021e-11
MGH358,LEE011_Ribociclib,0.1,$k_{M}$,0.005868587132471418,5.042042165239021e-11
MGH358,LEE011_Ribociclib,0.1,$k_{G1}$,0.0626684607755079,5.042042165239021e-11
MGH358,LEE011_Ribociclib,0.1,$k_{\phi}$,0.00028849970241266737,5.042042165239021e-11
MGH358,LEE011_Ribociclib,0.316228,$k_{S}$,0.0013867515151084217,1.1326431201598117e-10
MGH358,LEE011_Ribociclib,0.316228,$k_{G2}$,0.21580656492922665,1.1326431201598117e-10
MGH358,LEE011_Ribociclib,0.316228,$k_{M}$,0.01279662021845592,1.1326431201598117e-10
MGH358,LEE011_Ribociclib,0.316228,$k_{G1}$,0.09989598901846726,1.1326431201598117e-10
MGH358,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.00034880655765107875,1.1326431201598117e-10
MGH358,LEE011_Ribociclib,0.003162,$k_{S}$,0.0014313338550739822,5.384975079220179e-11
MGH358,LEE011_Ribociclib,0.003162,$k_{G2}$,0.05038034302898082,5.384975079220179e-11
MGH358,LEE011_Ribociclib,0.003162,$k_{M}$,0.008713485422200505,5.384975079220179e-11
MGH358,LEE011_Ribociclib,0.003162,$k_{G1}$,0.10219684496160572,5.384975079220179e-11
MGH358,LEE011_Ribociclib,0.003162,$k_{\phi}$,0.0005257605516253632,5.384975079220179e-11
MGH358,LEE011_Ribociclib,0.001,$k_{S}$,0.0021367222273612494,3.1320534117788044e-11
MGH358,LEE011_Ribociclib,0.001,$k_{G2}$,0.07410772942664114,3.1320534117788044e-11
MGH358,LEE011_Ribociclib,0.001,$k_{M}$,0.016481897880368194,3.1320534117788044e-11
MGH358,LEE011_Ribociclib,0.001,$k_{G1}$,0.22943685866099714,3.1320534117788044e-11
MGH358,LEE011_Ribociclib,0.001,$k_{\phi}$,0.00021214086166955226,3.1320534117788044e-11
MGH358,LEE011_Ribociclib,10.0,$k_{S}$,0.002030669235269533,1.0847410343507861e-10
MGH358,LEE011_Ribociclib,10.0,$k_{G2}$,0.32703996675826996,1.0847410343507861e-10
MGH358,LEE011_Ribociclib,10.0,$k_{M}$,0.018406040587213207,1.0847410343507861e-10
MGH358,LEE011_Ribociclib,10.0,$k_{G1}$,0.17306063694893362,1.0847410343507861e-10
MGH358,LEE011_Ribociclib,10.0,$k_{\phi}$,0.00040098097494082257,1.0847410343507861e-10
MGH358,LEE011_Ribociclib,0.031623,$k_{S}$,0.0031526569999989085,5.839477551871134e-11
MGH358,LEE011_Ribociclib,0.031623,$k_{G2}$,0.23889758942917078,5.839477551871134e-11
MGH358,LEE011_Ribociclib,0.031623,$k_{M}$,0.03452806604631584,5.839477551871134e-11
MGH358,LEE011_Ribociclib,0.031623,$k_{G1}$,0.2539647521505856,5.839477551871134e-11
MGH358,LEE011_Ribociclib,0.031623,$k_{\phi}$,0.0002634142037604112,5.839477551871134e-11
