cell_line,agent,concentration,parameter,rate,obj_func
SKBR3,Flavopiridol,0.003162,$k_{S}$,0.028639465118391053,3.701053846733052e-10
SKBR3,Flavopiridol,0.003162,$k_{G2}$,0.05193063584199717,3.701053846733052e-10
SKBR3,Flavopiridol,0.003162,$k_{M}$,0.07014685149352731,3.701053846733052e-10
SKBR3,Flavopiridol,0.003162,$k_{G1}$,0.39051946524604797,3.701053846733052e-10
SKBR3,Flavopiridol,0.003162,$k_{\phi}$,0.00020990014645174863,3.701053846733052e-10
SKBR3,Flavopiridol,1.0,$k_{S}$,0.007572201505771941,154439.46949263397
SKBR3,Flavopiridol,1.0,$k_{G2}$,0.017694471396875088,154439.46949263397
SKBR3,Flavopiridol,1.0,$k_{M}$,0.014986311001207779,154439.46949263397
SKBR3,Flavopiridol,1.0,$k_{G1}$,1e-07,154439.46949263397
SKBR3,Flavopiridol,1.0,$k_{\phi}$,0.0038104390500885974,154439.46949263397
SKBR3,Flavopiridol,0.001,$k_{S}$,0.031899535154733996,4.88846849466026e-10
SKBR3,Flavopiridol,0.001,$k_{G2}$,0.06081273524136506,4.88846849466026e-10
SKBR3,Flavopiridol,0.001,$k_{M}$,0.07429752548649647,4.88846849466026e-10
SKBR3,Flavopiridol,0.001,$k_{G1}$,0.5368236883461933,4.88846849466026e-10
SKBR3,Flavopiridol,0.001,$k_{\phi}$,0.00044173702584433453,4.88846849466026e-10
SKBR3,Flavopiridol,0.0001,$k_{S}$,0.03681026718440414,3.706992910628208e-10
SKBR3,Flavopiridol,0.0001,$k_{G2}$,0.06008526719108319,3.706992910628208e-10
SKBR3,Flavopiridol,0.0001,$k_{M}$,0.08222103030299382,3.706992910628208e-10
SKBR3,Flavopiridol,0.0001,$k_{G1}$,0.5105110602942379,3.706992910628208e-10
SKBR3,Flavopiridol,0.0001,$k_{\phi}$,0.0002661593162548463,3.706992910628208e-10
SKBR3,Flavopiridol,0.01,$k_{S}$,0.032234851243614485,4.511172226661849e-10
SKBR3,Flavopiridol,0.01,$k_{G2}$,0.053513563644208194,4.511172226661849e-10
SKBR3,Flavopiridol,0.01,$k_{M}$,0.07583876216573036,4.511172226661849e-10
SKBR3,Flavopiridol,0.01,$k_{G1}$,0.42374960304368686,4.511172226661849e-10
SKBR3,Flavopiridol,0.01,$k_{\phi}$,0.0002130037988367539,4.511172226661849e-10
SKBR3,Flavopiridol,0.1,$k_{S}$,0.024959199402708333,2.682107189150793e-10
SKBR3,Flavopiridol,0.1,$k_{G2}$,0.05401983719888929,2.682107189150793e-10
SKBR3,Flavopiridol,0.1,$k_{M}$,0.050089436553664685,2.682107189150793e-10
SKBR3,Flavopiridol,0.1,$k_{G1}$,0.40317747172257207,2.682107189150793e-10
SKBR3,Flavopiridol,0.1,$k_{\phi}$,0.0003198286450687329,2.682107189150793e-10
SKBR3,Flavopiridol,0.000316,$k_{S}$,0.03534720072068932,4.458508239993649e-10
SKBR3,Flavopiridol,0.000316,$k_{G2}$,0.0593275792381294,4.458508239993649e-10
SKBR3,Flavopiridol,0.000316,$k_{M}$,0.08066191052709759,4.458508239993649e-10
SKBR3,Flavopiridol,0.000316,$k_{G1}$,0.4990233652193197,4.458508239993649e-10
SKBR3,Flavopiridol,0.000316,$k_{\phi}$,0.00030187454585936264,4.458508239993649e-10
SKBR3,Flavopiridol,0.316228,$k_{S}$,0.0004025947201329961,4.588814941552012e-11
SKBR3,Flavopiridol,0.316228,$k_{G2}$,0.010018892851341554,4.588814941552012e-11
SKBR3,Flavopiridol,0.316228,$k_{M}$,0.0003579317617366779,4.588814941552012e-11
SKBR3,Flavopiridol,0.316228,$k_{G1}$,0.002076171778542392,4.588814941552012e-11
SKBR3,Flavopiridol,0.316228,$k_{\phi}$,0.0008573531980220584,4.588814941552012e-11
SKBR3,Flavopiridol,0.031623,$k_{S}$,0.031968232774978164,6.66292768248739e-10
SKBR3,Flavopiridol,0.031623,$k_{G2}$,0.05774835642144555,6.66292768248739e-10
SKBR3,Flavopiridol,0.031623,$k_{M}$,0.06981843416375799,6.66292768248739e-10
SKBR3,Flavopiridol,0.031623,$k_{G1}$,0.4767013738837142,6.66292768248739e-10
SKBR3,Flavopiridol,0.031623,$k_{\phi}$,0.0001637761980549524,6.66292768248739e-10
