cell_line,agent,concentration,parameter,rate,obj_func
SKBR3,THZ1,0.003162,$k_{S}$,0.030817237175032125,3.8447213579510086e-10
SKBR3,THZ1,0.003162,$k_{G2}$,0.04696728903854465,3.8447213579510086e-10
SKBR3,THZ1,0.003162,$k_{M}$,0.06952469182027263,3.8447213579510086e-10
SKBR3,THZ1,0.003162,$k_{G1}$,0.5490668323489254,3.8447213579510086e-10
SKBR3,THZ1,0.003162,$k_{\phi}$,0.00022790746423820586,3.8447213579510086e-10
SKBR3,THZ1,0.01,$k_{S}$,0.029572186980439317,3.7706721874424754e-10
SKBR3,THZ1,0.01,$k_{G2}$,0.04728808544722069,3.7706721874424754e-10
SKBR3,THZ1,0.01,$k_{M}$,0.052325303781148455,3.7706721874424754e-10
SKBR3,THZ1,0.01,$k_{G1}$,0.5509062601878115,3.7706721874424754e-10
SKBR3,THZ1,0.01,$k_{\phi}$,0.00038286941039034316,3.7706721874424754e-10
SKBR3,THZ1,0.000316,$k_{S}$,0.035769079848957594,8.136574231687904e-10
SKBR3,THZ1,0.000316,$k_{G2}$,0.06200698231739872,8.136574231687904e-10
SKBR3,THZ1,0.000316,$k_{M}$,0.08052813973732856,8.136574231687904e-10
SKBR3,THZ1,0.000316,$k_{G1}$,0.5286208180749298,8.136574231687904e-10
SKBR3,THZ1,0.000316,$k_{\phi}$,0.00042400058047778894,8.136574231687904e-10
SKBR3,THZ1,0.316228,$k_{S}$,0.004649839819486956,114331.63565873331
SKBR3,THZ1,0.316228,$k_{G2}$,0.017874075656897713,114331.63565873331
SKBR3,THZ1,0.316228,$k_{M}$,0.011584100419283433,114331.63565873331
SKBR3,THZ1,0.316228,$k_{G1}$,1e-07,114331.63565873331
SKBR3,THZ1,0.316228,$k_{\phi}$,0.003460974956741898,114331.63565873331
SKBR3,THZ1,0.031623,$k_{S}$,0.0023442630663044026,8.447255865220561e-11
SKBR3,THZ1,0.031623,$k_{G2}$,0.020801575524570754,8.447255865220561e-11
SKBR3,THZ1,0.031623,$k_{M}$,0.0024430676730578258,8.447255865220561e-11
SKBR3,THZ1,0.031623,$k_{G1}$,0.04854867440763433,8.447255865220561e-11
SKBR3,THZ1,0.031623,$k_{\phi}$,0.0006813909778154623,8.447255865220561e-11
SKBR3,THZ1,0.1,$k_{S}$,0.002924702031558245,71062.45265436341
SKBR3,THZ1,0.1,$k_{G2}$,0.019834955148198136,71062.45265436341
SKBR3,THZ1,0.1,$k_{M}$,0.009726188654646067,71062.45265436341
SKBR3,THZ1,0.1,$k_{G1}$,1e-07,71062.45265436341
SKBR3,THZ1,0.1,$k_{\phi}$,0.0027737563832645686,71062.45265436341
SKBR3,THZ1,0.0001,$k_{S}$,0.037471279214926954,8.270565819205902e-10
SKBR3,THZ1,0.0001,$k_{G2}$,0.06339324030957108,8.270565819205902e-10
SKBR3,THZ1,0.0001,$k_{M}$,0.0933775380344592,8.270565819205902e-10
SKBR3,THZ1,0.0001,$k_{G1}$,0.5243106616292321,8.270565819205902e-10
SKBR3,THZ1,0.0001,$k_{\phi}$,0.00022577596224553764,8.270565819205902e-10
SKBR3,THZ1,1.0,$k_{S}$,0.007815163125103532,158567.49032971528
SKBR3,THZ1,1.0,$k_{G2}$,0.01836918865136479,158567.49032971528
SKBR3,THZ1,1.0,$k_{M}$,0.012943496327766457,158567.49032971528
SKBR3,THZ1,1.0,$k_{G1}$,1e-07,158567.49032971528
SKBR3,THZ1,1.0,$k_{\phi}$,0.0038523844033768496,158567.49032971528
SKBR3,THZ1,0.001,$k_{S}$,0.033558825139915996,7.460872660811106e-10
SKBR3,THZ1,0.001,$k_{G2}$,0.05431315993088309,7.460872660811106e-10
SKBR3,THZ1,0.001,$k_{M}$,0.08272178428444768,7.460872660811106e-10
SKBR3,THZ1,0.001,$k_{G1}$,0.5624833492885958,7.460872660811106e-10
SKBR3,THZ1,0.001,$k_{\phi}$,0.00033677620730816125,7.460872660811106e-10
