cell_line,agent,concentration,parameter,rate,obj_func
SUM1315,AZD2014,1.0,$k_{S}$,0.01198350456919959,1.0376517209298505e-10
SUM1315,AZD2014,1.0,$k_{G2}$,0.02920681429096487,1.0376517209298505e-10
SUM1315,AZD2014,1.0,$k_{M}$,0.04873921975940187,1.0376517209298505e-10
SUM1315,AZD2014,1.0,$k_{G1}$,1.0822132269707256,1.0376517209298505e-10
SUM1315,AZD2014,1.0,$k_{\phi}$,0.003439223694113547,1.0376517209298505e-10
SUM1315,AZD2014,10.0,$k_{S}$,0.0011502624782069584,5.038716012783006e-08
SUM1315,AZD2014,10.0,$k_{G2}$,0.026878359261968864,5.038716012783006e-08
SUM1315,AZD2014,10.0,$k_{M}$,0.015825447770751157,5.038716012783006e-08
SUM1315,AZD2014,10.0,$k_{G1}$,0.7656691301384739,5.038716012783006e-08
SUM1315,AZD2014,10.0,$k_{\phi}$,0.0028630969423766904,5.038716012783006e-08
SUM1315,AZD2014,0.1,$k_{S}$,0.014338519868630507,9.379193812053836e-11
SUM1315,AZD2014,0.1,$k_{G2}$,0.041418395497366804,9.379193812053836e-11
SUM1315,AZD2014,0.1,$k_{M}$,0.050348115897556764,9.379193812053836e-11
SUM1315,AZD2014,0.1,$k_{G1}$,1.550733352624778,9.379193812053836e-11
SUM1315,AZD2014,0.1,$k_{\phi}$,0.0043454178468332084,9.379193812053836e-11
SUM1315,AZD2014,0.003162,$k_{S}$,0.019275665686561003,7.783532827614832e-06
SUM1315,AZD2014,0.003162,$k_{G2}$,0.05087859196674216,7.783532827614832e-06
SUM1315,AZD2014,0.003162,$k_{M}$,0.05748794093917357,7.783532827614832e-06
SUM1315,AZD2014,0.003162,$k_{G1}$,1.1133968364084808,7.783532827614832e-06
SUM1315,AZD2014,0.003162,$k_{\phi}$,0.004562926296833968,7.783532827614832e-06
SUM1315,AZD2014,0.031623,$k_{S}$,0.016174699466704922,5.579017668579161e-12
SUM1315,AZD2014,0.031623,$k_{G2}$,0.042575241302812976,5.579017668579161e-12
SUM1315,AZD2014,0.031623,$k_{M}$,0.04494603023795583,5.579017668579161e-12
SUM1315,AZD2014,0.031623,$k_{G1}$,1.0203758847058917,5.579017668579161e-12
SUM1315,AZD2014,0.031623,$k_{\phi}$,0.004303991848441478,5.579017668579161e-12
SUM1315,AZD2014,0.01,$k_{S}$,0.016669986582915138,8.852413505532339e-11
SUM1315,AZD2014,0.01,$k_{G2}$,0.03522261980755935,8.852413505532339e-11
SUM1315,AZD2014,0.01,$k_{M}$,0.05020682338983557,8.852413505532339e-11
SUM1315,AZD2014,0.01,$k_{G1}$,0.9332156160041826,8.852413505532339e-11
SUM1315,AZD2014,0.01,$k_{\phi}$,0.0038223043346624942,8.852413505532339e-11
SUM1315,AZD2014,0.316228,$k_{S}$,0.00984421116769389,1.6965711542170915e-08
SUM1315,AZD2014,0.316228,$k_{G2}$,0.03468898305706739,1.6965711542170915e-08
SUM1315,AZD2014,0.316228,$k_{M}$,0.03819034171565089,1.6965711542170915e-08
SUM1315,AZD2014,0.316228,$k_{G1}$,0.9253716478379924,1.6965711542170915e-08
SUM1315,AZD2014,0.316228,$k_{\phi}$,0.00406157310731188,1.6965711542170915e-08
SUM1315,AZD2014,3.162278,$k_{S}$,0.004029909166930461,7.259914584744286e-11
SUM1315,AZD2014,3.162278,$k_{G2}$,0.014201816251737597,7.259914584744286e-11
SUM1315,AZD2014,3.162278,$k_{M}$,0.02460075736122405,7.259914584744286e-11
SUM1315,AZD2014,3.162278,$k_{G1}$,0.3604339410060991,7.259914584744286e-11
SUM1315,AZD2014,3.162278,$k_{\phi}$,0.0024356570864617674,7.259914584744286e-11
SUM1315,AZD2014,0.001,$k_{S}$,0.016303177617922264,1.2520380564975852e-10
SUM1315,AZD2014,0.001,$k_{G2}$,0.041722412319319994,1.2520380564975852e-10
SUM1315,AZD2014,0.001,$k_{M}$,0.046827348249050264,1.2520380564975852e-10
SUM1315,AZD2014,0.001,$k_{G1}$,0.817008885115138,1.2520380564975852e-10
SUM1315,AZD2014,0.001,$k_{\phi}$,0.004246043754408356,1.2520380564975852e-10
