cell_line,agent,concentration,parameter,rate,obj_func
SUM1315,BSJ-01-175,0.1,$k_{S}$,0.025426055697020226,3.524321060406399e-05
SUM1315,BSJ-01-175,0.1,$k_{G2}$,0.26095280620259553,3.524321060406399e-05
SUM1315,BSJ-01-175,0.1,$k_{M}$,0.05169197807295603,3.524321060406399e-05
SUM1315,BSJ-01-175,0.1,$k_{G1}$,1.3584538944919944,3.524321060406399e-05
SUM1315,BSJ-01-175,0.1,$k_{\phi}$,0.005476672830153589,3.524321060406399e-05
SUM1315,BSJ-01-175,10.0,$k_{S}$,0.003887144413756556,51259.863667309255
SUM1315,BSJ-01-175,10.0,$k_{G2}$,0.014271025027846414,51259.863667309255
SUM1315,BSJ-01-175,10.0,$k_{M}$,0.012527778633396526,51259.863667309255
SUM1315,BSJ-01-175,10.0,$k_{G1}$,1e-07,51259.863667309255
SUM1315,BSJ-01-175,10.0,$k_{\phi}$,0.003767362298720872,51259.863667309255
SUM1315,BSJ-01-175,1.0,$k_{S}$,0.007746933599393822,1.162810601628749e-10
SUM1315,BSJ-01-175,1.0,$k_{G2}$,0.021546972727220635,1.162810601628749e-10
SUM1315,BSJ-01-175,1.0,$k_{M}$,0.021618573823130552,1.162810601628749e-10
SUM1315,BSJ-01-175,1.0,$k_{G1}$,0.2816418636298504,1.162810601628749e-10
SUM1315,BSJ-01-175,1.0,$k_{\phi}$,0.004564400939715002,1.162810601628749e-10
SUM1315,BSJ-01-175,0.003162,$k_{S}$,0.04268113348501707,2.756243311817363e-10
SUM1315,BSJ-01-175,0.003162,$k_{G2}$,0.03547969819993353,2.756243311817363e-10
SUM1315,BSJ-01-175,0.003162,$k_{M}$,0.1293819045221834,2.756243311817363e-10
SUM1315,BSJ-01-175,0.003162,$k_{G1}$,1.5589415399336917,2.756243311817363e-10
SUM1315,BSJ-01-175,0.003162,$k_{\phi}$,0.004081502653855137,2.756243311817363e-10
SUM1315,BSJ-01-175,0.316228,$k_{S}$,0.020531900731838026,3.9236450423023274e-10
SUM1315,BSJ-01-175,0.316228,$k_{G2}$,0.13698588803784692,3.9236450423023274e-10
SUM1315,BSJ-01-175,0.316228,$k_{M}$,0.04004846279695589,3.9236450423023274e-10
SUM1315,BSJ-01-175,0.316228,$k_{G1}$,1.1086794693182285,3.9236450423023274e-10
SUM1315,BSJ-01-175,0.316228,$k_{\phi}$,0.004916389134473438,3.9236450423023274e-10
SUM1315,BSJ-01-175,3.162278,$k_{S}$,0.0012361789860154326,22883.96679185571
SUM1315,BSJ-01-175,3.162278,$k_{G2}$,0.011174212135668988,22883.96679185571
SUM1315,BSJ-01-175,3.162278,$k_{M}$,0.008924763466459769,22883.96679185571
SUM1315,BSJ-01-175,3.162278,$k_{G1}$,1e-07,22883.96679185571
SUM1315,BSJ-01-175,3.162278,$k_{\phi}$,0.0042795407331257555,22883.96679185571
SUM1315,BSJ-01-175,0.031623,$k_{S}$,0.02495356349328761,1.2067784294442268e-07
SUM1315,BSJ-01-175,0.031623,$k_{G2}$,0.24348806366338532,1.2067784294442268e-07
SUM1315,BSJ-01-175,0.031623,$k_{M}$,0.044027926314650294,1.2067784294442268e-07
SUM1315,BSJ-01-175,0.031623,$k_{G1}$,1.7702892313887886,1.2067784294442268e-07
SUM1315,BSJ-01-175,0.031623,$k_{\phi}$,0.004493191746494094,1.2067784294442268e-07
SUM1315,BSJ-01-175,0.001,$k_{S}$,0.03829145286210542,1.4616182888986507e-10
SUM1315,BSJ-01-175,0.001,$k_{G2}$,0.03675200375662189,1.4616182888986507e-10
SUM1315,BSJ-01-175,0.001,$k_{M}$,0.12874481070286609,1.4616182888986507e-10
SUM1315,BSJ-01-175,0.001,$k_{G1}$,1.52816942061371,1.4616182888986507e-10
SUM1315,BSJ-01-175,0.001,$k_{\phi}$,0.0036957460029916375,1.4616182888986507e-10
SUM1315,BSJ-01-175,0.01,$k_{S}$,0.03260436275608855,2.810904904181294e-10
SUM1315,BSJ-01-175,0.01,$k_{G2}$,0.0851121330821328,2.810904904181294e-10
SUM1315,BSJ-01-175,0.01,$k_{M}$,0.0763138806182393,2.810904904181294e-10
SUM1315,BSJ-01-175,0.01,$k_{G1}$,1.2328831995775473,2.810904904181294e-10
SUM1315,BSJ-01-175,0.01,$k_{\phi}$,0.00445333909157193,2.810904904181294e-10
