cell_line,agent,concentration,parameter,rate,obj_func
SUM1315,LY3023414,0.316228,$k_{S}$,0.010103504610614007,4.220188496983238e-11
SUM1315,LY3023414,0.316228,$k_{G2}$,0.043080373163049676,4.220188496983238e-11
SUM1315,LY3023414,0.316228,$k_{M}$,0.040955109988961444,4.220188496983238e-11
SUM1315,LY3023414,0.316228,$k_{G1}$,2.724760682434065,4.220188496983238e-11
SUM1315,LY3023414,0.316228,$k_{\phi}$,0.004920054203898972,4.220188496983238e-11
SUM1315,LY3023414,0.01,$k_{S}$,0.02813193864942289,1.4539552795115306e-10
SUM1315,LY3023414,0.01,$k_{G2}$,0.05979132795860665,1.4539552795115306e-10
SUM1315,LY3023414,0.01,$k_{M}$,0.08167904277189184,1.4539552795115306e-10
SUM1315,LY3023414,0.01,$k_{G1}$,1.8002577854200672,1.4539552795115306e-10
SUM1315,LY3023414,0.01,$k_{\phi}$,0.00667969063088154,1.4539552795115306e-10
SUM1315,LY3023414,0.003162,$k_{S}$,0.020997127946043668,2.8862870102357582e-08
SUM1315,LY3023414,0.003162,$k_{G2}$,0.0521551861405239,2.8862870102357582e-08
SUM1315,LY3023414,0.003162,$k_{M}$,0.05952356557742476,2.8862870102357582e-08
SUM1315,LY3023414,0.003162,$k_{G1}$,1.4954238945540548,2.8862870102357582e-08
SUM1315,LY3023414,0.003162,$k_{\phi}$,0.005202558379297344,2.8862870102357582e-08
SUM1315,LY3023414,0.001,$k_{S}$,0.024952840629313147,1.0194438910336556e-06
SUM1315,LY3023414,0.001,$k_{G2}$,0.051296758482094126,1.0194438910336556e-06
SUM1315,LY3023414,0.001,$k_{M}$,0.06482574331577208,1.0194438910336556e-06
SUM1315,LY3023414,0.001,$k_{G1}$,1.8873247492783534,1.0194438910336556e-06
SUM1315,LY3023414,0.001,$k_{\phi}$,0.004214550572250412,1.0194438910336556e-06
SUM1315,LY3023414,3.162278,$k_{S}$,0.0004149675222917779,5.475927552590117e-11
SUM1315,LY3023414,3.162278,$k_{G2}$,0.01582145380391457,5.475927552590117e-11
SUM1315,LY3023414,3.162278,$k_{M}$,0.019488089862126714,5.475927552590117e-11
SUM1315,LY3023414,3.162278,$k_{G1}$,1.1013448686380125,5.475927552590117e-11
SUM1315,LY3023414,3.162278,$k_{\phi}$,0.00247204525107084,5.475927552590117e-11
SUM1315,LY3023414,10.0,$k_{S}$,1e-07,6107.487919140222
SUM1315,LY3023414,10.0,$k_{G2}$,0.009704435507785008,6107.487919140222
SUM1315,LY3023414,10.0,$k_{M}$,0.01039268369195679,6107.487919140222
SUM1315,LY3023414,10.0,$k_{G1}$,0.019780356143596977,6107.487919140222
SUM1315,LY3023414,10.0,$k_{\phi}$,0.0026583655172512165,6107.487919140222
SUM1315,LY3023414,0.1,$k_{S}$,0.017298572417955262,6.635307524779602e-11
SUM1315,LY3023414,0.1,$k_{G2}$,0.05511518234389829,6.635307524779602e-11
SUM1315,LY3023414,0.1,$k_{M}$,0.05456830657797021,6.635307524779602e-11
SUM1315,LY3023414,0.1,$k_{G1}$,1.9655426749205005,6.635307524779602e-11
SUM1315,LY3023414,0.1,$k_{\phi}$,0.004941046752578737,6.635307524779602e-11
SUM1315,LY3023414,0.031623,$k_{S}$,0.012937275190752042,4.575110697083783e-11
SUM1315,LY3023414,0.031623,$k_{G2}$,0.036742748051048844,4.575110697083783e-11
SUM1315,LY3023414,0.031623,$k_{M}$,0.04269012753281419,4.575110697083783e-11
SUM1315,LY3023414,0.031623,$k_{G1}$,0.9987799461708874,4.575110697083783e-11
SUM1315,LY3023414,0.031623,$k_{\phi}$,0.004038452308284832,4.575110697083783e-11
SUM1315,LY3023414,1.0,$k_{S}$,0.00479060053824901,7.096101942186883e-11
SUM1315,LY3023414,1.0,$k_{G2}$,0.026498566195698653,7.096101942186883e-11
SUM1315,LY3023414,1.0,$k_{M}$,0.030270171243209763,7.096101942186883e-11
SUM1315,LY3023414,1.0,$k_{G1}$,0.7572934645646323,7.096101942186883e-11
SUM1315,LY3023414,1.0,$k_{\phi}$,0.00408480847509393,7.096101942186883e-11
