cell_line,agent,concentration,parameter,rate,obj_func
SUM1315,MFH-2-90,0.01,$k_{S}$,0.004125810374781552,43666.40014615484
SUM1315,MFH-2-90,0.01,$k_{G2}$,0.015258961234680738,43666.40014615484
SUM1315,MFH-2-90,0.01,$k_{M}$,0.011284930266274817,43666.40014615484
SUM1315,MFH-2-90,0.01,$k_{G1}$,1e-07,43666.40014615484
SUM1315,MFH-2-90,0.01,$k_{\phi}$,0.004341285502223903,43666.40014615484
SUM1315,MFH-2-90,0.001,$k_{S}$,0.015217972427632993,9.050468583372721e-11
SUM1315,MFH-2-90,0.001,$k_{G2}$,0.010714135282171546,9.050468583372721e-11
SUM1315,MFH-2-90,0.001,$k_{M}$,0.026369150564577594,9.050468583372721e-11
SUM1315,MFH-2-90,0.001,$k_{G1}$,0.38254035083878957,9.050468583372721e-11
SUM1315,MFH-2-90,0.001,$k_{\phi}$,0.005301946699359501,9.050468583372721e-11
SUM1315,MFH-2-90,0.1,$k_{S}$,0.005923306632485906,56731.163247398945
SUM1315,MFH-2-90,0.1,$k_{G2}$,0.014326918623846456,56731.163247398945
SUM1315,MFH-2-90,0.1,$k_{M}$,0.013433982184375803,56731.163247398945
SUM1315,MFH-2-90,0.1,$k_{G1}$,1e-07,56731.163247398945
SUM1315,MFH-2-90,0.1,$k_{\phi}$,0.004160686128626487,56731.163247398945
SUM1315,MFH-2-90,3.2e-05,$k_{S}$,0.038658278656260175,2.8292175366185545e-10
SUM1315,MFH-2-90,3.2e-05,$k_{G2}$,0.05426596970227018,2.8292175366185545e-10
SUM1315,MFH-2-90,3.2e-05,$k_{M}$,0.08540518677071214,2.8292175366185545e-10
SUM1315,MFH-2-90,3.2e-05,$k_{G1}$,2.9087958308342623,2.8292175366185545e-10
SUM1315,MFH-2-90,3.2e-05,$k_{\phi}$,0.005250453324106394,2.8292175366185545e-10
SUM1315,MFH-2-90,0.000316,$k_{S}$,0.031408975220698236,7.419491424981521e-11
SUM1315,MFH-2-90,0.000316,$k_{G2}$,0.05321783324496726,7.419491424981521e-11
SUM1315,MFH-2-90,0.000316,$k_{M}$,0.07648658400129847,7.419491424981521e-11
SUM1315,MFH-2-90,0.000316,$k_{G1}$,1.4113997411830939,7.419491424981521e-11
SUM1315,MFH-2-90,0.000316,$k_{\phi}$,0.004356629260124368,7.419491424981521e-11
SUM1315,MFH-2-90,0.031623,$k_{S}$,0.006340600550383176,63302.28761646465
SUM1315,MFH-2-90,0.031623,$k_{G2}$,0.0134925987064312,63302.28761646465
SUM1315,MFH-2-90,0.031623,$k_{M}$,0.013483061082607573,63302.28761646465
SUM1315,MFH-2-90,0.031623,$k_{G1}$,1e-07,63302.28761646465
SUM1315,MFH-2-90,0.031623,$k_{\phi}$,0.0032555067113298167,63302.28761646465
SUM1315,MFH-2-90,0.003162,$k_{S}$,0.0035015004018810534,24257.00646590998
SUM1315,MFH-2-90,0.003162,$k_{G2}$,0.015439163564503318,24257.00646590998
SUM1315,MFH-2-90,0.003162,$k_{M}$,0.007686399593452223,24257.00646590998
SUM1315,MFH-2-90,0.003162,$k_{G1}$,1e-07,24257.00646590998
SUM1315,MFH-2-90,0.003162,$k_{\phi}$,0.004541911195955517,24257.00646590998
SUM1315,MFH-2-90,1e-05,$k_{S}$,0.03795790160190722,3.545375817975298e-10
SUM1315,MFH-2-90,1e-05,$k_{G2}$,0.06411471713916314,3.545375817975298e-10
SUM1315,MFH-2-90,1e-05,$k_{M}$,0.09693393016341689,3.545375817975298e-10
SUM1315,MFH-2-90,1e-05,$k_{G1}$,1.9398607037157058,3.545375817975298e-10
SUM1315,MFH-2-90,1e-05,$k_{\phi}$,0.0059552118412926035,3.545375817975298e-10
SUM1315,MFH-2-90,0.0001,$k_{S}$,0.04175049018904273,2.9460757254832107e-10
SUM1315,MFH-2-90,0.0001,$k_{G2}$,0.05649605495079522,2.9460757254832107e-10
SUM1315,MFH-2-90,0.0001,$k_{M}$,0.10076676677942162,2.9460757254832107e-10
SUM1315,MFH-2-90,0.0001,$k_{G1}$,1.7007533101674999,2.9460757254832107e-10
SUM1315,MFH-2-90,0.0001,$k_{\phi}$,0.0053016349787798536,2.9460757254832107e-10
