cell_line,agent,concentration,parameter,rate,obj_func
SUM1315,YKL-5-124,0.003162,$k_{S}$,0.030996013383915805,1.590168912094809e-10
SUM1315,YKL-5-124,0.003162,$k_{G2}$,0.04826729226399206,1.590168912094809e-10
SUM1315,YKL-5-124,0.003162,$k_{M}$,0.0634842195125515,1.590168912094809e-10
SUM1315,YKL-5-124,0.003162,$k_{G1}$,0.8759887675392668,1.590168912094809e-10
SUM1315,YKL-5-124,0.003162,$k_{\phi}$,0.005311696678666253,1.590168912094809e-10
SUM1315,YKL-5-124,0.001,$k_{S}$,0.04152014235337841,2.3667929514758817e-10
SUM1315,YKL-5-124,0.001,$k_{G2}$,0.035795803193679525,2.3667929514758817e-10
SUM1315,YKL-5-124,0.001,$k_{M}$,0.11208970387411339,2.3667929514758817e-10
SUM1315,YKL-5-124,0.001,$k_{G1}$,1.1397184800419808,2.3667929514758817e-10
SUM1315,YKL-5-124,0.001,$k_{\phi}$,0.00507537541326971,2.3667929514758817e-10
SUM1315,YKL-5-124,0.316228,$k_{S}$,0.022299012191252243,1.4033717566652863e-10
SUM1315,YKL-5-124,0.316228,$k_{G2}$,0.023009576776719918,1.4033717566652863e-10
SUM1315,YKL-5-124,0.316228,$k_{M}$,0.07672950592388429,1.4033717566652863e-10
SUM1315,YKL-5-124,0.316228,$k_{G1}$,0.8837644926193393,1.4033717566652863e-10
SUM1315,YKL-5-124,0.316228,$k_{\phi}$,0.005453287857031302,1.4033717566652863e-10
SUM1315,YKL-5-124,0.01,$k_{S}$,0.024405310295376067,1.3222560832885273e-10
SUM1315,YKL-5-124,0.01,$k_{G2}$,0.03208574329899286,1.3222560832885273e-10
SUM1315,YKL-5-124,0.01,$k_{M}$,0.06044871387030213,1.3222560832885273e-10
SUM1315,YKL-5-124,0.01,$k_{G1}$,1.6537140551996727,1.3222560832885273e-10
SUM1315,YKL-5-124,0.01,$k_{\phi}$,0.005177773763693812,1.3222560832885273e-10
SUM1315,YKL-5-124,3.162278,$k_{S}$,0.02287899550050012,5.87462558679476e-11
SUM1315,YKL-5-124,3.162278,$k_{G2}$,0.021419015819652526,5.87462558679476e-11
SUM1315,YKL-5-124,3.162278,$k_{M}$,0.06362514661333336,5.87462558679476e-11
SUM1315,YKL-5-124,3.162278,$k_{G1}$,0.31373549369392634,5.87462558679476e-11
SUM1315,YKL-5-124,3.162278,$k_{\phi}$,0.007052680986452164,5.87462558679476e-11
SUM1315,YKL-5-124,10.0,$k_{S}$,0.01239255936511125,4.9601297354333486e-11
SUM1315,YKL-5-124,10.0,$k_{G2}$,0.025867546531857154,4.9601297354333486e-11
SUM1315,YKL-5-124,10.0,$k_{M}$,0.011529609373412152,4.9601297354333486e-11
SUM1315,YKL-5-124,10.0,$k_{G1}$,1.5004011223579117,4.9601297354333486e-11
SUM1315,YKL-5-124,10.0,$k_{\phi}$,0.006979716663570607,4.9601297354333486e-11
SUM1315,YKL-5-124,1.0,$k_{S}$,0.02597472040506183,1.6708635277744478e-10
SUM1315,YKL-5-124,1.0,$k_{G2}$,0.018758856915055817,1.6708635277744478e-10
SUM1315,YKL-5-124,1.0,$k_{M}$,0.10174041372581905,1.6708635277744478e-10
SUM1315,YKL-5-124,1.0,$k_{G1}$,0.70037288113712,1.6708635277744478e-10
SUM1315,YKL-5-124,1.0,$k_{\phi}$,0.005182488964485899,1.6708635277744478e-10
SUM1315,YKL-5-124,0.031623,$k_{S}$,0.01930161642152165,9.923631123760194e-11
SUM1315,YKL-5-124,0.031623,$k_{G2}$,0.05054885777289617,9.923631123760194e-11
SUM1315,YKL-5-124,0.031623,$k_{M}$,0.05370675703048361,9.923631123760194e-11
SUM1315,YKL-5-124,0.031623,$k_{G1}$,1.0774886468552427,9.923631123760194e-11
SUM1315,YKL-5-124,0.031623,$k_{\phi}$,0.00457538210364435,9.923631123760194e-11
SUM1315,YKL-5-124,0.1,$k_{S}$,0.026653933186930216,1.5184419445888738e-10
SUM1315,YKL-5-124,0.1,$k_{G2}$,0.024359574243173577,1.5184419445888738e-10
SUM1315,YKL-5-124,0.1,$k_{M}$,0.10660605938949644,1.5184419445888738e-10
SUM1315,YKL-5-124,0.1,$k_{G1}$,0.7739792772289841,1.5184419445888738e-10
SUM1315,YKL-5-124,0.1,$k_{\phi}$,0.0060002514832963256,1.5184419445888738e-10
