cell_line,agent,concentration,parameter,rate,obj_func
SUM149,E17,0.316228,$k_{S}$,1e-07,44015.482334266504
SUM149,E17,0.316228,$k_{G2}$,0.010714788191215276,44015.482334266504
SUM149,E17,0.316228,$k_{M}$,0.011692230845318766,44015.482334266504
SUM149,E17,0.316228,$k_{G1}$,1e-07,44015.482334266504
SUM149,E17,0.316228,$k_{\phi}$,0.004621710561258554,44015.482334266504
SUM149,E17,0.031623,$k_{S}$,1e-07,35153.85977634864
SUM149,E17,0.031623,$k_{G2}$,0.011432463858859147,35153.85977634864
SUM149,E17,0.031623,$k_{M}$,0.011916237563557974,35153.85977634864
SUM149,E17,0.031623,$k_{G1}$,1e-07,35153.85977634864
SUM149,E17,0.031623,$k_{\phi}$,0.005063201721531657,35153.85977634864
SUM149,E17,0.000316,$k_{S}$,0.11461422605081314,1.2717379423320371e-09
SUM149,E17,0.000316,$k_{G2}$,0.059160259831681765,1.2717379423320371e-09
SUM149,E17,0.000316,$k_{M}$,0.15023437230880424,1.2717379423320371e-09
SUM149,E17,0.000316,$k_{G1}$,0.9461028747464572,1.2717379423320371e-09
SUM149,E17,0.000316,$k_{\phi}$,0.0006422734743518267,1.2717379423320371e-09
SUM149,E17,0.01,$k_{S}$,1e-07,48360.088091240985
SUM149,E17,0.01,$k_{G2}$,0.011298887447365997,48360.088091240985
SUM149,E17,0.01,$k_{M}$,0.01212271901039238,48360.088091240985
SUM149,E17,0.01,$k_{G1}$,1e-07,48360.088091240985
SUM149,E17,0.01,$k_{\phi}$,0.00412160714673244,48360.088091240985
SUM149,E17,0.003162,$k_{S}$,0.0777580594175145,1.369644267627546e-09
SUM149,E17,0.003162,$k_{G2}$,0.0624241277698798,1.369644267627546e-09
SUM149,E17,0.003162,$k_{M}$,0.12885434356075284,1.369644267627546e-09
SUM149,E17,0.003162,$k_{G1}$,0.9097090100998425,1.369644267627546e-09
SUM149,E17,0.003162,$k_{\phi}$,0.0009627188688409594,1.369644267627546e-09
SUM149,E17,1.0,$k_{S}$,1e-07,45462.593103621555
SUM149,E17,1.0,$k_{G2}$,0.011492620580047349,45462.593103621555
SUM149,E17,1.0,$k_{M}$,0.011868042245664767,45462.593103621555
SUM149,E17,1.0,$k_{G1}$,1e-07,45462.593103621555
SUM149,E17,1.0,$k_{\phi}$,0.004685632370391847,45462.593103621555
SUM149,E17,0.0001,$k_{S}$,0.10963962445256291,1.5212580687836854e-09
SUM149,E17,0.0001,$k_{G2}$,0.06099058094142016,1.5212580687836854e-09
SUM149,E17,0.0001,$k_{M}$,0.1494023817576389,1.5212580687836854e-09
SUM149,E17,0.0001,$k_{G1}$,1.5092071985692825,1.5212580687836854e-09
SUM149,E17,0.0001,$k_{\phi}$,0.0005255968917817883,1.5212580687836854e-09
SUM149,E17,0.1,$k_{S}$,1e-07,40699.81203524297
SUM149,E17,0.1,$k_{G2}$,0.011093029163474155,40699.81203524297
SUM149,E17,0.1,$k_{M}$,0.012199599112227753,40699.81203524297
SUM149,E17,0.1,$k_{G1}$,1e-07,40699.81203524297
SUM149,E17,0.1,$k_{\phi}$,0.004794830243445959,40699.81203524297
SUM149,E17,0.001,$k_{S}$,0.08522051576270356,7.4029307765355e-10
SUM149,E17,0.001,$k_{G2}$,0.06865773789211185,7.4029307765355e-10
SUM149,E17,0.001,$k_{M}$,0.14187413588177405,7.4029307765355e-10
SUM149,E17,0.001,$k_{G1}$,1.1827104698760516,7.4029307765355e-10
SUM149,E17,0.001,$k_{\phi}$,0.0006869922377225623,7.4029307765355e-10
