cell_line,agent,concentration,parameter,rate,obj_func
SUM149,Flavopiridol,0.001,$k_{S}$,0.11288808192568206,2.5632208526043635e-10
SUM149,Flavopiridol,0.001,$k_{G2}$,0.06168059109369009,2.5632208526043635e-10
SUM149,Flavopiridol,0.001,$k_{M}$,0.13704688542819438,2.5632208526043635e-10
SUM149,Flavopiridol,0.001,$k_{G1}$,1.1765551760446906,2.5632208526043635e-10
SUM149,Flavopiridol,0.001,$k_{\phi}$,0.0007727783896372871,2.5632208526043635e-10
SUM149,Flavopiridol,0.000316,$k_{S}$,0.11338409287980943,1.1110684598048236e-09
SUM149,Flavopiridol,0.000316,$k_{G2}$,0.06253745248160635,1.1110684598048236e-09
SUM149,Flavopiridol,0.000316,$k_{M}$,0.1494696794127101,1.1110684598048236e-09
SUM149,Flavopiridol,0.000316,$k_{G1}$,1.22527865835691,1.1110684598048236e-09
SUM149,Flavopiridol,0.000316,$k_{\phi}$,0.0007720180171023487,1.1110684598048236e-09
SUM149,Flavopiridol,0.01,$k_{S}$,0.10362802269717482,2.2104596649452066e-09
SUM149,Flavopiridol,0.01,$k_{G2}$,0.05679066032304874,2.2104596649452066e-09
SUM149,Flavopiridol,0.01,$k_{M}$,0.12858654213931753,2.2104596649452066e-09
SUM149,Flavopiridol,0.01,$k_{G1}$,1.6432831584309793,2.2104596649452066e-09
SUM149,Flavopiridol,0.01,$k_{\phi}$,0.0006035730835103595,2.2104596649452066e-09
SUM149,Flavopiridol,0.1,$k_{S}$,0.10220587566932071,4.25882091760627e-10
SUM149,Flavopiridol,0.1,$k_{G2}$,0.06013703567483078,4.25882091760627e-10
SUM149,Flavopiridol,0.1,$k_{M}$,0.08804347400897163,4.25882091760627e-10
SUM149,Flavopiridol,0.1,$k_{G1}$,1.3807711909021843,4.25882091760627e-10
SUM149,Flavopiridol,0.1,$k_{\phi}$,0.000637569562816128,4.25882091760627e-10
SUM149,Flavopiridol,0.031623,$k_{S}$,0.11507414773129541,1.5185809563550256e-09
SUM149,Flavopiridol,0.031623,$k_{G2}$,0.061224763715158226,1.5185809563550256e-09
SUM149,Flavopiridol,0.031623,$k_{M}$,0.1272971353431955,1.5185809563550256e-09
SUM149,Flavopiridol,0.031623,$k_{G1}$,1.3187503537694176,1.5185809563550256e-09
SUM149,Flavopiridol,0.031623,$k_{\phi}$,0.0006482642015949745,1.5185809563550256e-09
SUM149,Flavopiridol,1.0,$k_{S}$,1e-07,32887.67788542295
SUM149,Flavopiridol,1.0,$k_{G2}$,0.010413429057145884,32887.67788542295
SUM149,Flavopiridol,1.0,$k_{M}$,0.01109966853320712,32887.67788542295
SUM149,Flavopiridol,1.0,$k_{G1}$,1e-07,32887.67788542295
SUM149,Flavopiridol,1.0,$k_{\phi}$,0.005570690474902505,32887.67788542295
SUM149,Flavopiridol,0.003162,$k_{S}$,0.11443054009856843,1.6862830768356054e-09
SUM149,Flavopiridol,0.003162,$k_{G2}$,0.05928031195693961,1.6862830768356054e-09
SUM149,Flavopiridol,0.003162,$k_{M}$,0.13573156818793466,1.6862830768356054e-09
SUM149,Flavopiridol,0.003162,$k_{G1}$,1.146371566775836,1.6862830768356054e-09
SUM149,Flavopiridol,0.003162,$k_{\phi}$,0.0005383467528307699,1.6862830768356054e-09
SUM149,Flavopiridol,0.316228,$k_{S}$,0.03794111788776795,3.403267689636735e-11
SUM149,Flavopiridol,0.316228,$k_{G2}$,0.024056691138711905,3.403267689636735e-11
SUM149,Flavopiridol,0.316228,$k_{M}$,0.02558522784771644,3.403267689636735e-11
SUM149,Flavopiridol,0.316228,$k_{G1}$,0.3365989506695597,3.403267689636735e-11
SUM149,Flavopiridol,0.316228,$k_{\phi}$,0.0015262729971982983,3.403267689636735e-11
SUM149,Flavopiridol,0.0001,$k_{S}$,0.10686605555603278,2.5049982316943584e-09
SUM149,Flavopiridol,0.0001,$k_{G2}$,0.059544746528778766,2.5049982316943584e-09
SUM149,Flavopiridol,0.0001,$k_{M}$,0.13298128537072745,2.5049982316943584e-09
SUM149,Flavopiridol,0.0001,$k_{G1}$,2.162905274270488,2.5049982316943584e-09
SUM149,Flavopiridol,0.0001,$k_{\phi}$,0.0006018833700643578,2.5049982316943584e-09
