cell_line,agent,concentration,parameter,rate,obj_func
SUM149,LEE011_Ribociclib,1.0,$k_{S}$,0.056210963817452546,7.125373640161464e-10
SUM149,LEE011_Ribociclib,1.0,$k_{G2}$,0.06712505516298026,7.125373640161464e-10
SUM149,LEE011_Ribociclib,1.0,$k_{M}$,0.13497489768892076,7.125373640161464e-10
SUM149,LEE011_Ribociclib,1.0,$k_{G1}$,1.2075796034589166,7.125373640161464e-10
SUM149,LEE011_Ribociclib,1.0,$k_{\phi}$,0.0006352774512034229,7.125373640161464e-10
SUM149,LEE011_Ribociclib,3.162278,$k_{S}$,0.05107823317119213,4.808431954901174e-10
SUM149,LEE011_Ribociclib,3.162278,$k_{G2}$,0.05923692985322999,4.808431954901174e-10
SUM149,LEE011_Ribociclib,3.162278,$k_{M}$,0.12014360677894727,4.808431954901174e-10
SUM149,LEE011_Ribociclib,3.162278,$k_{G1}$,1.0067029675361692,4.808431954901174e-10
SUM149,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.0005530965892165847,4.808431954901174e-10
SUM149,LEE011_Ribociclib,0.01,$k_{S}$,0.07645546341998684,1.7138441236009627e-10
SUM149,LEE011_Ribociclib,0.01,$k_{G2}$,0.06731317617160168,1.7138441236009627e-10
SUM149,LEE011_Ribociclib,0.01,$k_{M}$,0.14814886737466848,1.7138441236009627e-10
SUM149,LEE011_Ribociclib,0.01,$k_{G1}$,1.6187482999258478,1.7138441236009627e-10
SUM149,LEE011_Ribociclib,0.01,$k_{\phi}$,0.000581764814174248,1.7138441236009627e-10
SUM149,LEE011_Ribociclib,0.1,$k_{S}$,0.0641306449582847,1.064195909712358e-09
SUM149,LEE011_Ribociclib,0.1,$k_{G2}$,0.06252200120751873,1.064195909712358e-09
SUM149,LEE011_Ribociclib,0.1,$k_{M}$,0.13151423158900558,1.064195909712358e-09
SUM149,LEE011_Ribociclib,0.1,$k_{G1}$,1.351730992398837,1.064195909712358e-09
SUM149,LEE011_Ribociclib,0.1,$k_{\phi}$,0.00042865586239172905,1.064195909712358e-09
SUM149,LEE011_Ribociclib,0.316228,$k_{S}$,0.06100356990398663,2.894500847032054e-10
SUM149,LEE011_Ribociclib,0.316228,$k_{G2}$,0.0617504957535541,2.894500847032054e-10
SUM149,LEE011_Ribociclib,0.316228,$k_{M}$,0.12075701022693365,2.894500847032054e-10
SUM149,LEE011_Ribociclib,0.316228,$k_{G1}$,1.5237152070661493,2.894500847032054e-10
SUM149,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.0006437741869269427,2.894500847032054e-10
SUM149,LEE011_Ribociclib,0.003162,$k_{S}$,0.08693309139673053,2.5814289658408554e-05
SUM149,LEE011_Ribociclib,0.003162,$k_{G2}$,0.06386122466944298,2.5814289658408554e-05
SUM149,LEE011_Ribociclib,0.003162,$k_{M}$,0.1414815720551427,2.5814289658408554e-05
SUM149,LEE011_Ribociclib,0.003162,$k_{G1}$,1.1201099865374888,2.5814289658408554e-05
SUM149,LEE011_Ribociclib,0.003162,$k_{\phi}$,0.0004770387976620195,2.5814289658408554e-05
SUM149,LEE011_Ribociclib,0.001,$k_{S}$,0.08681231164208265,1.108313758772196e-09
SUM149,LEE011_Ribociclib,0.001,$k_{G2}$,0.06510304402246994,1.108313758772196e-09
SUM149,LEE011_Ribociclib,0.001,$k_{M}$,0.14720848465457112,1.108313758772196e-09
SUM149,LEE011_Ribociclib,0.001,$k_{G1}$,1.0926871628433965,1.108313758772196e-09
SUM149,LEE011_Ribociclib,0.001,$k_{\phi}$,0.0004191380615622225,1.108313758772196e-09
SUM149,LEE011_Ribociclib,10.0,$k_{S}$,0.03747904243732816,2.421516746354523e-06
SUM149,LEE011_Ribociclib,10.0,$k_{G2}$,0.06981529459143578,2.421516746354523e-06
SUM149,LEE011_Ribociclib,10.0,$k_{M}$,0.10554029418982537,2.421516746354523e-06
SUM149,LEE011_Ribociclib,10.0,$k_{G1}$,1.265176452952285,2.421516746354523e-06
SUM149,LEE011_Ribociclib,10.0,$k_{\phi}$,0.0006788279299049696,2.421516746354523e-06
SUM149,LEE011_Ribociclib,0.031623,$k_{S}$,0.07087272930785607,1.100311423342816e-09
SUM149,LEE011_Ribociclib,0.031623,$k_{G2}$,0.0633119921764624,1.100311423342816e-09
SUM149,LEE011_Ribociclib,0.031623,$k_{M}$,0.15221267656419657,1.100311423342816e-09
SUM149,LEE011_Ribociclib,0.031623,$k_{G1}$,1.5802161828690342,1.100311423342816e-09
SUM149,LEE011_Ribociclib,0.031623,$k_{\phi}$,0.000419900466461977,1.100311423342816e-09
