cell_line,agent,concentration,parameter,rate,obj_func
SUM149,R0-3306,1.0,$k_{S}$,0.10796587927347925,9.3932252021459e-10
SUM149,R0-3306,1.0,$k_{G2}$,0.05961269027680571,9.3932252021459e-10
SUM149,R0-3306,1.0,$k_{M}$,0.146351999912631,9.3932252021459e-10
SUM149,R0-3306,1.0,$k_{G1}$,0.9107892623174964,9.3932252021459e-10
SUM149,R0-3306,1.0,$k_{\phi}$,0.000924471462652403,9.3932252021459e-10
SUM149,R0-3306,0.316228,$k_{S}$,0.10707725512371549,7.156903568435384e-10
SUM149,R0-3306,0.316228,$k_{G2}$,0.06003130557195334,7.156903568435384e-10
SUM149,R0-3306,0.316228,$k_{M}$,0.15051365676795703,7.156903568435384e-10
SUM149,R0-3306,0.316228,$k_{G1}$,0.9210171706251914,7.156903568435384e-10
SUM149,R0-3306,0.316228,$k_{\phi}$,0.0006315978872599893,7.156903568435384e-10
SUM149,R0-3306,0.003162,$k_{S}$,0.11190803606423338,1.1355372095970526e-09
SUM149,R0-3306,0.003162,$k_{G2}$,0.06294746588391663,1.1355372095970526e-09
SUM149,R0-3306,0.003162,$k_{M}$,0.1529961589472531,1.1355372095970526e-09
SUM149,R0-3306,0.003162,$k_{G1}$,0.9978825412836174,1.1355372095970526e-09
SUM149,R0-3306,0.003162,$k_{\phi}$,0.000607050355338187,1.1355372095970526e-09
SUM149,R0-3306,0.001,$k_{S}$,0.10773932114460781,2.32910459886765e-09
SUM149,R0-3306,0.001,$k_{G2}$,0.06939778579415862,2.32910459886765e-09
SUM149,R0-3306,0.001,$k_{M}$,0.14943121203987264,2.32910459886765e-09
SUM149,R0-3306,0.001,$k_{G1}$,1.2193384488598455,2.32910459886765e-09
SUM149,R0-3306,0.001,$k_{\phi}$,0.0005607444466607177,2.32910459886765e-09
SUM149,R0-3306,10.0,$k_{S}$,0.0007757689388462835,1.4000036134636529e-11
SUM149,R0-3306,10.0,$k_{G2}$,0.007103610443369575,1.4000036134636529e-11
SUM149,R0-3306,10.0,$k_{M}$,0.000669358840842737,1.4000036134636529e-11
SUM149,R0-3306,10.0,$k_{G1}$,0.011359548362363843,1.4000036134636529e-11
SUM149,R0-3306,10.0,$k_{\phi}$,0.007372999672535942,1.4000036134636529e-11
SUM149,R0-3306,0.1,$k_{S}$,0.11312278189127828,1.964481084582919e-09
SUM149,R0-3306,0.1,$k_{G2}$,0.06101167848329838,1.964481084582919e-09
SUM149,R0-3306,0.1,$k_{M}$,0.1498779165190282,1.964481084582919e-09
SUM149,R0-3306,0.1,$k_{G1}$,1.3085032614279088,1.964481084582919e-09
SUM149,R0-3306,0.1,$k_{\phi}$,0.0007620980530135397,1.964481084582919e-09
SUM149,R0-3306,0.01,$k_{S}$,0.10568940080127234,1.1099428124347084e-09
SUM149,R0-3306,0.01,$k_{G2}$,0.0607820449308949,1.1099428124347084e-09
SUM149,R0-3306,0.01,$k_{M}$,0.1352182471211167,1.1099428124347084e-09
SUM149,R0-3306,0.01,$k_{G1}$,1.1577223632485933,1.1099428124347084e-09
SUM149,R0-3306,0.01,$k_{\phi}$,0.0008132224858120315,1.1099428124347084e-09
SUM149,R0-3306,3.162278,$k_{S}$,0.10398695799148176,4.5443585015605347e-10
SUM149,R0-3306,3.162278,$k_{G2}$,0.04775519156512927,4.5443585015605347e-10
SUM149,R0-3306,3.162278,$k_{M}$,0.12451628124076505,4.5443585015605347e-10
SUM149,R0-3306,3.162278,$k_{G1}$,0.6061946034781197,4.5443585015605347e-10
SUM149,R0-3306,3.162278,$k_{\phi}$,0.0010300154782052217,4.5443585015605347e-10
SUM149,R0-3306,0.031623,$k_{S}$,0.11463291532749524,1.929778881551629e-09
SUM149,R0-3306,0.031623,$k_{G2}$,0.06317641444134652,1.929778881551629e-09
SUM149,R0-3306,0.031623,$k_{M}$,0.14095098626761307,1.929778881551629e-09
SUM149,R0-3306,0.031623,$k_{G1}$,1.1681816861966956,1.929778881551629e-09
SUM149,R0-3306,0.031623,$k_{\phi}$,0.000501139281211569,1.929778881551629e-09
