cell_line,agent,concentration,parameter,rate,obj_func
SUM149,SY-1365,0.003162,$k_{S}$,1e-07,5499.029746839206
SUM149,SY-1365,0.003162,$k_{G2}$,0.009561428986337283,5499.029746839206
SUM149,SY-1365,0.003162,$k_{M}$,0.005712266565441132,5499.029746839206
SUM149,SY-1365,0.003162,$k_{G1}$,0.008048755870892295,5499.029746839206
SUM149,SY-1365,0.003162,$k_{\phi}$,0.003926439286655576,5499.029746839206
SUM149,SY-1365,0.01,$k_{S}$,1e-07,37303.3143498518
SUM149,SY-1365,0.01,$k_{G2}$,0.013305380419083369,37303.3143498518
SUM149,SY-1365,0.01,$k_{M}$,0.009061043303878018,37303.3143498518
SUM149,SY-1365,0.01,$k_{G1}$,1e-07,37303.3143498518
SUM149,SY-1365,0.01,$k_{\phi}$,0.004013323269447343,37303.3143498518
SUM149,SY-1365,0.0001,$k_{S}$,0.11485516046150414,2.358529347603816e-09
SUM149,SY-1365,0.0001,$k_{G2}$,0.06386207814916885,2.358529347603816e-09
SUM149,SY-1365,0.0001,$k_{M}$,0.15121563843503535,2.358529347603816e-09
SUM149,SY-1365,0.0001,$k_{G1}$,1.2668455229022613,2.358529347603816e-09
SUM149,SY-1365,0.0001,$k_{\phi}$,0.0005063145441050501,2.358529347603816e-09
SUM149,SY-1365,1e-05,$k_{S}$,0.10980928247060386,1.7896530953799023e-09
SUM149,SY-1365,1e-05,$k_{G2}$,0.06380316928842528,1.7896530953799023e-09
SUM149,SY-1365,1e-05,$k_{M}$,0.15399157071616915,1.7896530953799023e-09
SUM149,SY-1365,1e-05,$k_{G1}$,0.919529657063757,1.7896530953799023e-09
SUM149,SY-1365,1e-05,$k_{\phi}$,0.0006665320477343362,1.7896530953799023e-09
SUM149,SY-1365,0.031623,$k_{S}$,1e-07,27200.08172393896
SUM149,SY-1365,0.031623,$k_{G2}$,0.0138771829852896,27200.08172393896
SUM149,SY-1365,0.031623,$k_{M}$,0.00832090432841279,27200.08172393896
SUM149,SY-1365,0.031623,$k_{G1}$,1e-07,27200.08172393896
SUM149,SY-1365,0.031623,$k_{\phi}$,0.005110941352643393,27200.08172393896
SUM149,SY-1365,0.1,$k_{S}$,1e-07,39280.02782133358
SUM149,SY-1365,0.1,$k_{G2}$,0.012316498793682098,39280.02782133358
SUM149,SY-1365,0.1,$k_{M}$,0.009820705563381918,39280.02782133358
SUM149,SY-1365,0.1,$k_{G1}$,1e-07,39280.02782133358
SUM149,SY-1365,0.1,$k_{\phi}$,0.004126434075971807,39280.02782133358
SUM149,SY-1365,0.000316,$k_{S}$,0.11348974845359763,1.0938053547220039e-09
SUM149,SY-1365,0.000316,$k_{G2}$,0.0632222098759167,1.0938053547220039e-09
SUM149,SY-1365,0.000316,$k_{M}$,0.1504963600256729,1.0938053547220039e-09
SUM149,SY-1365,0.000316,$k_{G1}$,1.2111101164032654,1.0938053547220039e-09
SUM149,SY-1365,0.000316,$k_{\phi}$,0.0006634597987383619,1.0938053547220039e-09
SUM149,SY-1365,0.001,$k_{S}$,0.02541646214097104,1.287949371353988e-10
SUM149,SY-1365,0.001,$k_{G2}$,0.056230095877755015,1.287949371353988e-10
SUM149,SY-1365,0.001,$k_{M}$,0.023593294158846825,1.287949371353988e-10
SUM149,SY-1365,0.001,$k_{G1}$,0.644766064890745,1.287949371353988e-10
SUM149,SY-1365,0.001,$k_{\phi}$,0.0017619429416789627,1.287949371353988e-10
SUM149,SY-1365,3.2e-05,$k_{S}$,0.11365926876368244,1.622879611032061e-09
SUM149,SY-1365,3.2e-05,$k_{G2}$,0.0620409949942016,1.622879611032061e-09
SUM149,SY-1365,3.2e-05,$k_{M}$,0.16490031437561134,1.622879611032061e-09
SUM149,SY-1365,3.2e-05,$k_{G1}$,1.2069721737615804,1.622879611032061e-09
SUM149,SY-1365,3.2e-05,$k_{\phi}$,0.0005590272553154082,1.622879611032061e-09
