cell_line,agent,concentration,parameter,rate,obj_func
SUM149,THZ531,1.0,$k_{S}$,1e-07,34045.607046107594
SUM149,THZ531,1.0,$k_{G2}$,0.011947407223665678,34045.607046107594
SUM149,THZ531,1.0,$k_{M}$,0.010599808421412546,34045.607046107594
SUM149,THZ531,1.0,$k_{G1}$,1.0000075592152127e-07,34045.607046107594
SUM149,THZ531,1.0,$k_{\phi}$,0.004414475822305735,34045.607046107594
SUM149,THZ531,0.001,$k_{S}$,0.10299823898789326,1.8994691049144186e-09
SUM149,THZ531,0.001,$k_{G2}$,0.05936389871544509,1.8994691049144186e-09
SUM149,THZ531,0.001,$k_{M}$,0.1396186501823945,1.8994691049144186e-09
SUM149,THZ531,0.001,$k_{G1}$,1.0383431331750312,1.8994691049144186e-09
SUM149,THZ531,0.001,$k_{\phi}$,0.0006424608037856577,1.8994691049144186e-09
SUM149,THZ531,0.1,$k_{S}$,0.08207623949358311,1.6408450848587673e-09
SUM149,THZ531,0.1,$k_{G2}$,0.07220081920551866,1.6408450848587673e-09
SUM149,THZ531,0.1,$k_{M}$,0.1389113024956024,1.6408450848587673e-09
SUM149,THZ531,0.1,$k_{G1}$,1.0837641840085686,1.6408450848587673e-09
SUM149,THZ531,0.1,$k_{\phi}$,0.0006283187740792934,1.6408450848587673e-09
SUM149,THZ531,0.01,$k_{S}$,0.1096033649679815,1.0124712829370036e-09
SUM149,THZ531,0.01,$k_{G2}$,0.06318712524221297,1.0124712829370036e-09
SUM149,THZ531,0.01,$k_{M}$,0.15931838096659967,1.0124712829370036e-09
SUM149,THZ531,0.01,$k_{G1}$,1.2954885894197705,1.0124712829370036e-09
SUM149,THZ531,0.01,$k_{\phi}$,0.0005660584136033969,1.0124712829370036e-09
SUM149,THZ531,0.031623,$k_{S}$,0.10290512533507286,5.901066460101534e-10
SUM149,THZ531,0.031623,$k_{G2}$,0.06724243351475344,5.901066460101534e-10
SUM149,THZ531,0.031623,$k_{M}$,0.14646584200183665,5.901066460101534e-10
SUM149,THZ531,0.031623,$k_{G1}$,1.2668684278487061,5.901066460101534e-10
SUM149,THZ531,0.031623,$k_{\phi}$,0.0006934106476859675,5.901066460101534e-10
SUM149,THZ531,0.0001,$k_{S}$,0.10855415205722144,1.5422638718942766e-09
SUM149,THZ531,0.0001,$k_{G2}$,0.06464714162059097,1.5422638718942766e-09
SUM149,THZ531,0.0001,$k_{M}$,0.13391106628716762,1.5422638718942766e-09
SUM149,THZ531,0.0001,$k_{G1}$,0.9996778724168935,1.5422638718942766e-09
SUM149,THZ531,0.0001,$k_{\phi}$,0.0007291027049734536,1.5422638718942766e-09
SUM149,THZ531,0.316228,$k_{S}$,0.053882436717351004,4.1840820848147806e-10
SUM149,THZ531,0.316228,$k_{G2}$,0.06109841453341213,4.1840820848147806e-10
SUM149,THZ531,0.316228,$k_{M}$,0.08971183035061343,4.1840820848147806e-10
SUM149,THZ531,0.316228,$k_{G1}$,0.8183158668327327,4.1840820848147806e-10
SUM149,THZ531,0.316228,$k_{\phi}$,0.0014773855524979548,4.1840820848147806e-10
SUM149,THZ531,0.003162,$k_{S}$,0.10785007224852544,1.659176541155607e-09
SUM149,THZ531,0.003162,$k_{G2}$,0.06371941344283463,1.659176541155607e-09
SUM149,THZ531,0.003162,$k_{M}$,0.1520413225245714,1.659176541155607e-09
SUM149,THZ531,0.003162,$k_{G1}$,1.0814811675999703,1.659176541155607e-09
SUM149,THZ531,0.003162,$k_{\phi}$,0.0005578241811710393,1.659176541155607e-09
SUM149,THZ531,0.000316,$k_{S}$,0.1092905127144335,2.194692049214001e-09
SUM149,THZ531,0.000316,$k_{G2}$,0.06043859625702139,2.194692049214001e-09
SUM149,THZ531,0.000316,$k_{M}$,0.14790685615363028,2.194692049214001e-09
SUM149,THZ531,0.000316,$k_{G1}$,1.3130174530394483,2.194692049214001e-09
SUM149,THZ531,0.000316,$k_{\phi}$,0.0005220954011624049,2.194692049214001e-09
