cell_line,agent,concentration,parameter,rate,obj_func
SUM149,senexinb,0.031623,$k_{S}$,0.11052668265900487,1.2187025030447727e-09
SUM149,senexinb,0.031623,$k_{G2}$,0.05565252406332139,1.2187025030447727e-09
SUM149,senexinb,0.031623,$k_{M}$,0.1193057434523913,1.2187025030447727e-09
SUM149,senexinb,0.031623,$k_{G1}$,0.9754212763389069,1.2187025030447727e-09
SUM149,senexinb,0.031623,$k_{\phi}$,0.0009042722254337298,1.2187025030447727e-09
SUM149,senexinb,0.003162,$k_{S}$,0.11768015470011067,1.0406518451561222e-09
SUM149,senexinb,0.003162,$k_{G2}$,0.06039901354128719,1.0406518451561222e-09
SUM149,senexinb,0.003162,$k_{M}$,0.14393645139561284,1.0406518451561222e-09
SUM149,senexinb,0.003162,$k_{G1}$,1.1502220528059437,1.0406518451561222e-09
SUM149,senexinb,0.003162,$k_{\phi}$,0.0006442122937388515,1.0406518451561222e-09
SUM149,senexinb,1.0,$k_{S}$,0.10939511056880115,8.947693035475492e-10
SUM149,senexinb,1.0,$k_{G2}$,0.05188777828774862,8.947693035475492e-10
SUM149,senexinb,1.0,$k_{M}$,0.1128680939047483,8.947693035475492e-10
SUM149,senexinb,1.0,$k_{G1}$,1.13608134376253,8.947693035475492e-10
SUM149,senexinb,1.0,$k_{\phi}$,0.0008685432090459713,8.947693035475492e-10
SUM149,senexinb,0.001,$k_{S}$,0.11948904358534611,2.101317627101473e-09
SUM149,senexinb,0.001,$k_{G2}$,0.059763216406822126,2.101317627101473e-09
SUM149,senexinb,0.001,$k_{M}$,0.1438764926921132,2.101317627101473e-09
SUM149,senexinb,0.001,$k_{G1}$,1.1748209910173597,2.101317627101473e-09
SUM149,senexinb,0.001,$k_{\phi}$,0.000664480377928232,2.101317627101473e-09
SUM149,senexinb,0.1,$k_{S}$,0.10857062233369989,5.769593186102132e-10
SUM149,senexinb,0.1,$k_{G2}$,0.05240819730465107,5.769593186102132e-10
SUM149,senexinb,0.1,$k_{M}$,0.12601662680529763,5.769593186102132e-10
SUM149,senexinb,0.1,$k_{G1}$,1.4132873634001104,5.769593186102132e-10
SUM149,senexinb,0.1,$k_{\phi}$,0.0007092392548829199,5.769593186102132e-10
SUM149,senexinb,10.0,$k_{S}$,0.09215592721631681,1.5692037069349121e-09
SUM149,senexinb,10.0,$k_{G2}$,0.05112557389748786,1.5692037069349121e-09
SUM149,senexinb,10.0,$k_{M}$,0.10873105407012017,1.5692037069349121e-09
SUM149,senexinb,10.0,$k_{G1}$,1.1992890045638993,1.5692037069349121e-09
SUM149,senexinb,10.0,$k_{\phi}$,0.0007976120464102746,1.5692037069349121e-09
SUM149,senexinb,3.162278,$k_{S}$,0.11126944973068535,1.278521774731577e-09
SUM149,senexinb,3.162278,$k_{G2}$,0.05390060446429426,1.278521774731577e-09
SUM149,senexinb,3.162278,$k_{M}$,0.113335971618799,1.278521774731577e-09
SUM149,senexinb,3.162278,$k_{G1}$,1.4238063380768227,1.278521774731577e-09
SUM149,senexinb,3.162278,$k_{\phi}$,0.0009263414266269871,1.278521774731577e-09
SUM149,senexinb,0.316228,$k_{S}$,0.11206769862601126,5.693575271291377e-10
SUM149,senexinb,0.316228,$k_{G2}$,0.0535599181258967,5.693575271291377e-10
SUM149,senexinb,0.316228,$k_{M}$,0.11639684881624852,5.693575271291377e-10
SUM149,senexinb,0.316228,$k_{G1}$,1.1812657228138608,5.693575271291377e-10
SUM149,senexinb,0.316228,$k_{\phi}$,0.0008042719651747257,5.693575271291377e-10
SUM149,senexinb,0.01,$k_{S}$,0.11995255593373703,1.8691228012183447e-09
SUM149,senexinb,0.01,$k_{G2}$,0.05347868616200798,1.8691228012183447e-09
SUM149,senexinb,0.01,$k_{M}$,0.12709035130171328,1.8691228012183447e-09
SUM149,senexinb,0.01,$k_{G1}$,1.5192308579543847,1.8691228012183447e-09
SUM149,senexinb,0.01,$k_{\phi}$,0.0008401397850197902,1.8691228012183447e-09
