cell_line,agent,concentration,parameter,rate,obj_func
T47D,BSJ-03-124,0.01,$k_{S}$,0.008368429836350078,1196.2954889667997
T47D,BSJ-03-124,0.01,$k_{G2}$,0.021989914068047643,1196.2954889667997
T47D,BSJ-03-124,0.01,$k_{M}$,0.024416414226651733,1196.2954889667997
T47D,BSJ-03-124,0.01,$k_{G1}$,0.09931148462326252,1196.2954889667997
T47D,BSJ-03-124,0.01,$k_{\phi}$,1e-07,1196.2954889667997
T47D,BSJ-03-124,0.001,$k_{S}$,0.016165862078199925,1988.1556845221266
T47D,BSJ-03-124,0.001,$k_{G2}$,0.055995623576127376,1988.1556845221266
T47D,BSJ-03-124,0.001,$k_{M}$,0.04663852447123761,1988.1556845221266
T47D,BSJ-03-124,0.001,$k_{G1}$,0.15868144959725283,1988.1556845221266
T47D,BSJ-03-124,0.001,$k_{\phi}$,1e-07,1988.1556845221266
T47D,BSJ-03-124,0.1,$k_{S}$,0.00275036270499227,212.77830227282098
T47D,BSJ-03-124,0.1,$k_{G2}$,0.014477206954711781,212.77830227282098
T47D,BSJ-03-124,0.1,$k_{M}$,0.012708857855078972,212.77830227282098
T47D,BSJ-03-124,0.1,$k_{G1}$,0.03245400168606335,212.77830227282098
T47D,BSJ-03-124,0.1,$k_{\phi}$,1e-07,212.77830227282098
T47D,BSJ-03-124,0.003162,$k_{S}$,0.015253275040327514,1674.5995617736621
T47D,BSJ-03-124,0.003162,$k_{G2}$,0.046418997018815834,1674.5995617736621
T47D,BSJ-03-124,0.003162,$k_{M}$,0.043277285180291475,1674.5995617736621
T47D,BSJ-03-124,0.003162,$k_{G1}$,0.17127471277329276,1674.5995617736621
T47D,BSJ-03-124,0.003162,$k_{\phi}$,1e-07,1674.5995617736621
T47D,BSJ-03-124,1.0,$k_{S}$,0.0018011645343644978,689.2720709308584
T47D,BSJ-03-124,1.0,$k_{G2}$,0.03571171951053221,689.2720709308584
T47D,BSJ-03-124,1.0,$k_{M}$,0.015326412944710259,689.2720709308584
T47D,BSJ-03-124,1.0,$k_{G1}$,0.11047686842484714,689.2720709308584
T47D,BSJ-03-124,1.0,$k_{\phi}$,1e-07,689.2720709308584
T47D,BSJ-03-124,0.031623,$k_{S}$,0.004264160786138957,2.499152583929193e-10
T47D,BSJ-03-124,0.031623,$k_{G2}$,0.014743348949626433,2.499152583929193e-10
T47D,BSJ-03-124,0.031623,$k_{M}$,0.009491990442700542,2.499152583929193e-10
T47D,BSJ-03-124,0.031623,$k_{G1}$,0.11013096517915513,2.499152583929193e-10
T47D,BSJ-03-124,0.031623,$k_{\phi}$,5.7233294861162856e-05,2.499152583929193e-10
T47D,BSJ-03-124,10.0,$k_{S}$,1e-07,6215.579919006682
T47D,BSJ-03-124,10.0,$k_{G2}$,0.017525795806123748,6215.579919006682
T47D,BSJ-03-124,10.0,$k_{M}$,0.00485394955224906,6215.579919006682
T47D,BSJ-03-124,10.0,$k_{G1}$,0.0004647066379853422,6215.579919006682
T47D,BSJ-03-124,10.0,$k_{\phi}$,8.493826756750302e-05,6215.579919006682
T47D,BSJ-03-124,3.162278,$k_{S}$,0.0006469628359399046,1701.869152211111
T47D,BSJ-03-124,3.162278,$k_{G2}$,0.062054493077195405,1701.869152211111
T47D,BSJ-03-124,3.162278,$k_{M}$,0.007551527970329263,1701.869152211111
T47D,BSJ-03-124,3.162278,$k_{G1}$,0.06018078476698937,1701.869152211111
T47D,BSJ-03-124,3.162278,$k_{\phi}$,1e-07,1701.869152211111
T47D,BSJ-03-124,0.316228,$k_{S}$,0.0019726939444541618,1988.0106291866607
T47D,BSJ-03-124,0.316228,$k_{G2}$,0.02107180016202043,1988.0106291866607
T47D,BSJ-03-124,0.316228,$k_{M}$,0.012365877665043842,1988.0106291866607
T47D,BSJ-03-124,0.316228,$k_{G1}$,0.065363288267428,1988.0106291866607
T47D,BSJ-03-124,0.316228,$k_{\phi}$,1e-07,1988.0106291866607
