cell_line,agent,concentration,parameter,rate,obj_func
T47D,Flavopiridol,0.003162,$k_{S}$,0.026894725980472642,1785.7244456878436
T47D,Flavopiridol,0.003162,$k_{G2}$,0.07561333311445473,1785.7244456878436
T47D,Flavopiridol,0.003162,$k_{M}$,0.09330533036909729,1785.7244456878436
T47D,Flavopiridol,0.003162,$k_{G1}$,0.351073829515314,1785.7244456878436
T47D,Flavopiridol,0.003162,$k_{\phi}$,1e-07,1785.7244456878436
T47D,Flavopiridol,1.0,$k_{S}$,0.0015362127161414527,19960.117175435495
T47D,Flavopiridol,1.0,$k_{G2}$,0.024771354828384242,19960.117175435495
T47D,Flavopiridol,1.0,$k_{M}$,0.004209610115191846,19960.117175435495
T47D,Flavopiridol,1.0,$k_{G1}$,1e-07,19960.117175435495
T47D,Flavopiridol,1.0,$k_{\phi}$,0.00011411511091386253,19960.117175435495
T47D,Flavopiridol,0.001,$k_{S}$,0.025268084717356875,1338.876658791051
T47D,Flavopiridol,0.001,$k_{G2}$,0.06682316850350932,1338.876658791051
T47D,Flavopiridol,0.001,$k_{M}$,0.07120992530000639,1338.876658791051
T47D,Flavopiridol,0.001,$k_{G1}$,0.7465895317791061,1338.876658791051
T47D,Flavopiridol,0.001,$k_{\phi}$,1e-07,1338.876658791051
T47D,Flavopiridol,0.0001,$k_{S}$,0.02422832394743973,1757.57278961876
T47D,Flavopiridol,0.0001,$k_{G2}$,0.06590603363001035,1757.57278961876
T47D,Flavopiridol,0.0001,$k_{M}$,0.06490518748004265,1757.57278961876
T47D,Flavopiridol,0.0001,$k_{G1}$,0.30680970290270365,1757.57278961876
T47D,Flavopiridol,0.0001,$k_{\phi}$,1e-07,1757.57278961876
T47D,Flavopiridol,0.01,$k_{S}$,0.022720493771829144,1266.650651940875
T47D,Flavopiridol,0.01,$k_{G2}$,0.057640324563575034,1266.650651940875
T47D,Flavopiridol,0.01,$k_{M}$,0.07789751720150366,1266.650651940875
T47D,Flavopiridol,0.01,$k_{G1}$,0.2905307202896806,1266.650651940875
T47D,Flavopiridol,0.01,$k_{\phi}$,1e-07,1266.650651940875
T47D,Flavopiridol,0.1,$k_{S}$,0.014842060148351802,3090.0923413742617
T47D,Flavopiridol,0.1,$k_{G2}$,0.04475430110072425,3090.0923413742617
T47D,Flavopiridol,0.1,$k_{M}$,0.05994461399630019,3090.0923413742617
T47D,Flavopiridol,0.1,$k_{G1}$,0.12084649688710691,3090.0923413742617
T47D,Flavopiridol,0.1,$k_{\phi}$,1e-07,3090.0923413742617
T47D,Flavopiridol,0.000316,$k_{S}$,0.025773964318178598,2426.327556189476
T47D,Flavopiridol,0.000316,$k_{G2}$,0.06896734450766515,2426.327556189476
T47D,Flavopiridol,0.000316,$k_{M}$,0.09064932972414529,2426.327556189476
T47D,Flavopiridol,0.000316,$k_{G1}$,0.5720583944246749,2426.327556189476
T47D,Flavopiridol,0.000316,$k_{\phi}$,1e-07,2426.327556189476
T47D,Flavopiridol,0.316228,$k_{S}$,0.0048521871529591315,480.49837385185333
T47D,Flavopiridol,0.316228,$k_{G2}$,0.028893163936939886,480.49837385185333
T47D,Flavopiridol,0.316228,$k_{M}$,0.021550875438812508,480.49837385185333
T47D,Flavopiridol,0.316228,$k_{G1}$,0.021826234864570408,480.49837385185333
T47D,Flavopiridol,0.316228,$k_{\phi}$,1e-07,480.49837385185333
T47D,Flavopiridol,0.031623,$k_{S}$,0.02437834422854889,3090.3013721288303
T47D,Flavopiridol,0.031623,$k_{G2}$,0.06543879113402622,3090.3013721288303
T47D,Flavopiridol,0.031623,$k_{M}$,0.08384734482320225,3090.3013721288303
T47D,Flavopiridol,0.031623,$k_{G1}$,0.3122029102622531,3090.3013721288303
T47D,Flavopiridol,0.031623,$k_{\phi}$,1e-07,3090.3013721288303
