cell_line,agent,concentration,parameter,rate,obj_func
T47D,LY2606368,0.01,$k_{S}$,0.013832565914656317,1019.02499564269
T47D,LY2606368,0.01,$k_{G2}$,0.04244237297683142,1019.02499564269
T47D,LY2606368,0.01,$k_{M}$,0.0791295525131852,1019.02499564269
T47D,LY2606368,0.01,$k_{G1}$,0.1527346348384219,1019.02499564269
T47D,LY2606368,0.01,$k_{\phi}$,1e-07,1019.02499564269
T47D,LY2606368,3.162278,$k_{S}$,0.012413889665775387,232.6974037109612
T47D,LY2606368,3.162278,$k_{G2}$,0.04368649194377844,232.6974037109612
T47D,LY2606368,3.162278,$k_{M}$,0.019544736303135888,232.6974037109612
T47D,LY2606368,3.162278,$k_{G1}$,0.14182601763218367,232.6974037109612
T47D,LY2606368,3.162278,$k_{\phi}$,1e-07,232.6974037109612
T47D,LY2606368,0.001,$k_{S}$,0.005113691870773375,855.7852072849618
T47D,LY2606368,0.001,$k_{G2}$,0.01041756281779392,855.7852072849618
T47D,LY2606368,0.001,$k_{M}$,0.037531119106811645,855.7852072849618
T47D,LY2606368,0.001,$k_{G1}$,0.03593646166747715,855.7852072849618
T47D,LY2606368,0.001,$k_{\phi}$,1e-07,855.7852072849618
T47D,LY2606368,1.0,$k_{S}$,0.003597878674177512,29222.360141899226
T47D,LY2606368,1.0,$k_{G2}$,0.00925350792825176,29222.360141899226
T47D,LY2606368,1.0,$k_{M}$,0.009787204881652758,29222.360141899226
T47D,LY2606368,1.0,$k_{G1}$,1e-07,29222.360141899226
T47D,LY2606368,1.0,$k_{\phi}$,0.0008102313194605032,29222.360141899226
T47D,LY2606368,10.0,$k_{S}$,0.0026180713274162916,3244.2276994800354
T47D,LY2606368,10.0,$k_{G2}$,0.015906113032571948,3244.2276994800354
T47D,LY2606368,10.0,$k_{M}$,1e-07,3244.2276994800354
T47D,LY2606368,10.0,$k_{G1}$,0.003601960157605924,3244.2276994800354
T47D,LY2606368,10.0,$k_{\phi}$,1.179981077367497e-05,3244.2276994800354
T47D,LY2606368,0.031623,$k_{S}$,0.015667296382007024,2139.494192204557
T47D,LY2606368,0.031623,$k_{G2}$,0.037394058912645675,2139.494192204557
T47D,LY2606368,0.031623,$k_{M}$,0.025870332517853974,2139.494192204557
T47D,LY2606368,0.031623,$k_{G1}$,0.16277269064309904,2139.494192204557
T47D,LY2606368,0.031623,$k_{\phi}$,1e-07,2139.494192204557
T47D,LY2606368,0.003162,$k_{S}$,0.019211192157933227,2170.681968989139
T47D,LY2606368,0.003162,$k_{G2}$,0.07269922745377498,2170.681968989139
T47D,LY2606368,0.003162,$k_{M}$,0.09304066894196932,2170.681968989139
T47D,LY2606368,0.003162,$k_{G1}$,0.5729982380942016,2170.681968989139
T47D,LY2606368,0.003162,$k_{\phi}$,1e-07,2170.681968989139
T47D,LY2606368,0.316228,$k_{S}$,0.02003490293480098,2328.5818627290573
T47D,LY2606368,0.316228,$k_{G2}$,0.0578851869391776,2328.5818627290573
T47D,LY2606368,0.316228,$k_{M}$,0.030902172705225404,2328.5818627290573
T47D,LY2606368,0.316228,$k_{G1}$,0.2917283798873194,2328.5818627290573
T47D,LY2606368,0.316228,$k_{\phi}$,1e-07,2328.5818627290573
T47D,LY2606368,0.1,$k_{S}$,0.014451294298449668,2017.928988508954
T47D,LY2606368,0.1,$k_{G2}$,0.03687462757971582,2017.928988508954
T47D,LY2606368,0.1,$k_{M}$,0.02795086832242896,2017.928988508954
T47D,LY2606368,0.1,$k_{G1}$,0.17011966580568336,2017.928988508954
T47D,LY2606368,0.1,$k_{\phi}$,1e-07,2017.928988508954
