cell_line,agent,concentration,parameter,rate,obj_func
T47D,MFH-2-90,0.01,$k_{S}$,0.0057100083273269415,87802.21907121525
T47D,MFH-2-90,0.01,$k_{G2}$,0.024342726369033323,87802.21907121525
T47D,MFH-2-90,0.01,$k_{M}$,0.008873345076164567,87802.21907121525
T47D,MFH-2-90,0.01,$k_{G1}$,1e-07,87802.21907121525
T47D,MFH-2-90,0.01,$k_{\phi}$,0.0013995319510328257,87802.21907121525
T47D,MFH-2-90,0.001,$k_{S}$,0.007917118837917727,59968.64846124316
T47D,MFH-2-90,0.001,$k_{G2}$,0.03749298721524797,59968.64846124316
T47D,MFH-2-90,0.001,$k_{M}$,0.014498775444669269,59968.64846124316
T47D,MFH-2-90,0.001,$k_{G1}$,1e-07,59968.64846124316
T47D,MFH-2-90,0.001,$k_{\phi}$,0.0007118176936426317,59968.64846124316
T47D,MFH-2-90,0.1,$k_{S}$,0.006123544551659116,89578.00266766033
T47D,MFH-2-90,0.1,$k_{G2}$,0.0252788212216662,89578.00266766033
T47D,MFH-2-90,0.1,$k_{M}$,0.010607126513835875,89578.00266766033
T47D,MFH-2-90,0.1,$k_{G1}$,1e-07,89578.00266766033
T47D,MFH-2-90,0.1,$k_{\phi}$,0.0013950138564279126,89578.00266766033
T47D,MFH-2-90,0.316228,$k_{S}$,0.005131810017983735,82581.59871890805
T47D,MFH-2-90,0.316228,$k_{G2}$,0.02388538756864858,82581.59871890805
T47D,MFH-2-90,0.316228,$k_{M}$,0.010410984662582442,82581.59871890805
T47D,MFH-2-90,0.316228,$k_{G1}$,1e-07,82581.59871890805
T47D,MFH-2-90,0.316228,$k_{\phi}$,0.0011309820015765286,82581.59871890805
T47D,MFH-2-90,3.162278,$k_{S}$,0.004178254639805487,45425.52684244704
T47D,MFH-2-90,3.162278,$k_{G2}$,0.029567920164676395,45425.52684244704
T47D,MFH-2-90,3.162278,$k_{M}$,0.007140301550991587,45425.52684244704
T47D,MFH-2-90,3.162278,$k_{G1}$,1e-07,45425.52684244704
T47D,MFH-2-90,3.162278,$k_{\phi}$,0.0006663010459231454,45425.52684244704
T47D,MFH-2-90,0.031623,$k_{S}$,0.005991601763762645,84997.98649655066
T47D,MFH-2-90,0.031623,$k_{G2}$,0.025891147535886783,84997.98649655066
T47D,MFH-2-90,0.031623,$k_{M}$,0.010357756825600346,84997.98649655066
T47D,MFH-2-90,0.031623,$k_{G1}$,1e-07,84997.98649655066
T47D,MFH-2-90,0.031623,$k_{\phi}$,0.0012762499068609072,84997.98649655066
T47D,MFH-2-90,0.003162,$k_{S}$,0.0018380270011177761,15564.116084412879
T47D,MFH-2-90,0.003162,$k_{G2}$,0.030866433119404027,15564.116084412879
T47D,MFH-2-90,0.003162,$k_{M}$,0.0018907174567424673,15564.116084412879
T47D,MFH-2-90,0.003162,$k_{G1}$,1e-07,15564.116084412879
T47D,MFH-2-90,0.003162,$k_{\phi}$,1e-07,15564.116084412879
T47D,MFH-2-90,1.0,$k_{S}$,0.008924466419765435,132599.32437189968
T47D,MFH-2-90,1.0,$k_{G2}$,0.024483246615670234,132599.32437189968
T47D,MFH-2-90,1.0,$k_{M}$,0.017453719912952095,132599.32437189968
T47D,MFH-2-90,1.0,$k_{G1}$,1e-07,132599.32437189968
T47D,MFH-2-90,1.0,$k_{\phi}$,0.0020803009930485403,132599.32437189968
T47D,MFH-2-90,10.0,$k_{S}$,0.004032288652493714,46963.348199820626
T47D,MFH-2-90,10.0,$k_{G2}$,0.028492869625153107,46963.348199820626
T47D,MFH-2-90,10.0,$k_{M}$,0.0029530349708875338,46963.348199820626
T47D,MFH-2-90,10.0,$k_{G1}$,1e-07,46963.348199820626
T47D,MFH-2-90,10.0,$k_{\phi}$,0.0005714543996442232,46963.348199820626
