cell_line,agent,concentration,parameter,rate,obj_func
T47D_PR,AZD5363,0.003162,$k_{S}$,0.007624215764595573,4.197404442135943
T47D_PR,AZD5363,0.003162,$k_{G2}$,0.06159660624572045,4.197404442135943
T47D_PR,AZD5363,0.003162,$k_{M}$,0.038041170658166715,4.197404442135943
T47D_PR,AZD5363,0.003162,$k_{G1}$,0.25682815649575025,4.197404442135943
T47D_PR,AZD5363,0.003162,$k_{\phi}$,1e-07,4.197404442135943
T47D_PR,AZD5363,0.1,$k_{S}$,0.0004370463281667668,2.7515072172759257e-11
T47D_PR,AZD5363,0.1,$k_{G2}$,0.02469582496361253,2.7515072172759257e-11
T47D_PR,AZD5363,0.1,$k_{M}$,0.007078902943032175,2.7515072172759257e-11
T47D_PR,AZD5363,0.1,$k_{G1}$,0.032331005720561315,2.7515072172759257e-11
T47D_PR,AZD5363,0.1,$k_{\phi}$,0.0002365741100535513,2.7515072172759257e-11
T47D_PR,AZD5363,3.162278,$k_{S}$,1e-07,5340.475914270998
T47D_PR,AZD5363,3.162278,$k_{G2}$,0.013583011799658191,5340.475914270998
T47D_PR,AZD5363,3.162278,$k_{M}$,0.004205607953102209,5340.475914270998
T47D_PR,AZD5363,3.162278,$k_{G1}$,1e-07,5340.475914270998
T47D_PR,AZD5363,3.162278,$k_{\phi}$,0.0005113687254348164,5340.475914270998
T47D_PR,AZD5363,0.031623,$k_{S}$,0.0027409490375808992,7.59238868936114e-11
T47D_PR,AZD5363,0.031623,$k_{G2}$,0.047748799583770214,7.59238868936114e-11
T47D_PR,AZD5363,0.031623,$k_{M}$,0.016923064649408705,7.59238868936114e-11
T47D_PR,AZD5363,0.031623,$k_{G1}$,0.10076029136266264,7.59238868936114e-11
T47D_PR,AZD5363,0.031623,$k_{\phi}$,0.00029516985439084656,7.59238868936114e-11
T47D_PR,AZD5363,10.0,$k_{S}$,3.8506425582188834e-05,1651.4689715836548
T47D_PR,AZD5363,10.0,$k_{G2}$,0.021286612499703463,1651.4689715836548
T47D_PR,AZD5363,10.0,$k_{M}$,1e-07,1651.4689715836548
T47D_PR,AZD5363,10.0,$k_{G1}$,1e-07,1651.4689715836548
T47D_PR,AZD5363,10.0,$k_{\phi}$,0.0005092970363605171,1651.4689715836548
T47D_PR,AZD5363,1.0,$k_{S}$,1e-07,2964.4873591658106
T47D_PR,AZD5363,1.0,$k_{G2}$,0.01325860411218176,2964.4873591658106
T47D_PR,AZD5363,1.0,$k_{M}$,0.005476468392088762,2964.4873591658106
T47D_PR,AZD5363,1.0,$k_{G1}$,0.007918257396869232,2964.4873591658106
T47D_PR,AZD5363,1.0,$k_{\phi}$,0.0004925310518122481,2964.4873591658106
T47D_PR,AZD5363,0.001,$k_{S}$,0.010211744608256485,9.603754464743532e-11
T47D_PR,AZD5363,0.001,$k_{G2}$,0.07267086268224421,9.603754464743532e-11
T47D_PR,AZD5363,0.001,$k_{M}$,0.04952531372374373,9.603754464743532e-11
T47D_PR,AZD5363,0.001,$k_{G1}$,0.4494693874967043,9.603754464743532e-11
T47D_PR,AZD5363,0.001,$k_{\phi}$,0.00012543019451082628,9.603754464743532e-11
T47D_PR,AZD5363,0.01,$k_{S}$,1e-07,48.66213745465645
T47D_PR,AZD5363,0.01,$k_{G2}$,0.007203694979041032,48.66213745465645
T47D_PR,AZD5363,0.01,$k_{M}$,0.004989761794517687,48.66213745465645
T47D_PR,AZD5363,0.01,$k_{G1}$,0.01881123879944619,48.66213745465645
T47D_PR,AZD5363,0.01,$k_{\phi}$,0.0004689733804237193,48.66213745465645
T47D_PR,AZD5363,0.316228,$k_{S}$,1e-07,2793.295986175008
T47D_PR,AZD5363,0.316228,$k_{G2}$,0.011376481969867793,2793.295986175008
T47D_PR,AZD5363,0.316228,$k_{M}$,0.0011096128599784125,2793.295986175008
T47D_PR,AZD5363,0.316228,$k_{G1}$,0.001738187188908961,2793.295986175008
T47D_PR,AZD5363,0.316228,$k_{\phi}$,0.00034135464267044625,2793.295986175008
