cell_line,agent,concentration,parameter,rate,obj_func
T47D_PR,BMS-265246,10.0,$k_{S}$,0.005421965374180181,22874.20449930259
T47D_PR,BMS-265246,10.0,$k_{G2}$,0.022858445429408306,22874.20449930259
T47D_PR,BMS-265246,10.0,$k_{M}$,0.0030413539629801176,22874.20449930259
T47D_PR,BMS-265246,10.0,$k_{G1}$,1e-07,22874.20449930259
T47D_PR,BMS-265246,10.0,$k_{\phi}$,0.0010868353177058956,22874.20449930259
T47D_PR,BMS-265246,0.003162,$k_{S}$,0.011868806922685647,1.0270283142371808e-10
T47D_PR,BMS-265246,0.003162,$k_{G2}$,0.07401404532545058,1.0270283142371808e-10
T47D_PR,BMS-265246,0.003162,$k_{M}$,0.04097075140513352,1.0270283142371808e-10
T47D_PR,BMS-265246,0.003162,$k_{G1}$,0.2692495817505113,1.0270283142371808e-10
T47D_PR,BMS-265246,0.003162,$k_{\phi}$,6.151104065715266e-06,1.0270283142371808e-10
T47D_PR,BMS-265246,0.001,$k_{S}$,0.00648069568419413,28.95507854069562
T47D_PR,BMS-265246,0.001,$k_{G2}$,0.028167896013310958,28.95507854069562
T47D_PR,BMS-265246,0.001,$k_{M}$,0.010864207394292185,28.95507854069562
T47D_PR,BMS-265246,0.001,$k_{G1}$,0.08180524541535122,28.95507854069562
T47D_PR,BMS-265246,0.001,$k_{\phi}$,1e-07,28.95507854069562
T47D_PR,BMS-265246,1.0,$k_{S}$,0.003230160779493609,368.620816009757
T47D_PR,BMS-265246,1.0,$k_{G2}$,0.02469816463424715,368.620816009757
T47D_PR,BMS-265246,1.0,$k_{M}$,1e-07,368.620816009757
T47D_PR,BMS-265246,1.0,$k_{G1}$,0.007595857465627187,368.620816009757
T47D_PR,BMS-265246,1.0,$k_{\phi}$,0.0003227673558660512,368.620816009757
T47D_PR,BMS-265246,3.162278,$k_{S}$,0.005068975597120884,8284.16366349325
T47D_PR,BMS-265246,3.162278,$k_{G2}$,0.027852863999751246,8284.16366349325
T47D_PR,BMS-265246,3.162278,$k_{M}$,9.175493191050427e-05,8284.16366349325
T47D_PR,BMS-265246,3.162278,$k_{G1}$,1e-07,8284.16366349325
T47D_PR,BMS-265246,3.162278,$k_{\phi}$,0.0008623733165267372,8284.16366349325
T47D_PR,BMS-265246,0.316228,$k_{S}$,0.0044713489603848584,1.6392258796798983e-10
T47D_PR,BMS-265246,0.316228,$k_{G2}$,0.026719381242520896,1.6392258796798983e-10
T47D_PR,BMS-265246,0.316228,$k_{M}$,0.001308417146506639,1.6392258796798983e-10
T47D_PR,BMS-265246,0.316228,$k_{G1}$,0.02001444793775337,1.6392258796798983e-10
T47D_PR,BMS-265246,0.316228,$k_{\phi}$,0.00013038633156605008,1.6392258796798983e-10
T47D_PR,BMS-265246,0.031623,$k_{S}$,0.005748746375636563,1.59936092357609e-10
T47D_PR,BMS-265246,0.031623,$k_{G2}$,0.03369519288409279,1.59936092357609e-10
T47D_PR,BMS-265246,0.031623,$k_{M}$,0.01233374830317635,1.59936092357609e-10
T47D_PR,BMS-265246,0.031623,$k_{G1}$,0.08034330094497068,1.59936092357609e-10
T47D_PR,BMS-265246,0.031623,$k_{\phi}$,0.0003745305093171929,1.59936092357609e-10
T47D_PR,BMS-265246,0.01,$k_{S}$,0.0052902241504355395,3.0401820342964695e-10
T47D_PR,BMS-265246,0.01,$k_{G2}$,0.026696736994504807,3.0401820342964695e-10
T47D_PR,BMS-265246,0.01,$k_{M}$,0.007669186912835449,3.0401820342964695e-10
T47D_PR,BMS-265246,0.01,$k_{G1}$,0.06924629568133525,3.0401820342964695e-10
T47D_PR,BMS-265246,0.01,$k_{\phi}$,3.850635775958411e-05,3.0401820342964695e-10
T47D_PR,BMS-265246,0.1,$k_{S}$,0.005639899789165199,26769.917254697204
T47D_PR,BMS-265246,0.1,$k_{G2}$,0.016906976828349428,26769.917254697204
T47D_PR,BMS-265246,0.1,$k_{M}$,0.0059336004153529385,26769.917254697204
T47D_PR,BMS-265246,0.1,$k_{G1}$,1e-07,26769.917254697204
T47D_PR,BMS-265246,0.1,$k_{\phi}$,0.0017885704264357573,26769.917254697204
