cell_line,agent,concentration,parameter,rate,obj_func
T47D_PR,BSJ-03-123,0.001,$k_{S}$,0.015550187795303008,3.410748706883668e-11
T47D_PR,BSJ-03-123,0.001,$k_{G2}$,0.08744740179474278,3.410748706883668e-11
T47D_PR,BSJ-03-123,0.001,$k_{M}$,0.07382939567718524,3.410748706883668e-11
T47D_PR,BSJ-03-123,0.001,$k_{G1}$,0.3002974252052934,3.410748706883668e-11
T47D_PR,BSJ-03-123,0.001,$k_{\phi}$,0.00021089124317340516,3.410748706883668e-11
T47D_PR,BSJ-03-123,0.01,$k_{S}$,0.016233321578086043,1.0036595915332773e-10
T47D_PR,BSJ-03-123,0.01,$k_{G2}$,0.08439718310131943,1.0036595915332773e-10
T47D_PR,BSJ-03-123,0.01,$k_{M}$,0.07485751272130668,1.0036595915332773e-10
T47D_PR,BSJ-03-123,0.01,$k_{G1}$,0.39838735067472275,1.0036595915332773e-10
T47D_PR,BSJ-03-123,0.01,$k_{\phi}$,0.00046786378572843295,1.0036595915332773e-10
T47D_PR,BSJ-03-123,10.0,$k_{S}$,0.00503531546605472,1.4214743833754982e-10
T47D_PR,BSJ-03-123,10.0,$k_{G2}$,0.03252941386317883,1.4214743833754982e-10
T47D_PR,BSJ-03-123,10.0,$k_{M}$,0.028939591329393527,1.4214743833754982e-10
T47D_PR,BSJ-03-123,10.0,$k_{G1}$,0.08456060612158547,1.4214743833754982e-10
T47D_PR,BSJ-03-123,10.0,$k_{\phi}$,0.00043303518396049605,1.4214743833754982e-10
T47D_PR,BSJ-03-123,1.0,$k_{S}$,0.013661006938919786,6.570894998362043e-11
T47D_PR,BSJ-03-123,1.0,$k_{G2}$,0.05608513586080743,6.570894998362043e-11
T47D_PR,BSJ-03-123,1.0,$k_{M}$,0.06610147304944336,6.570894998362043e-11
T47D_PR,BSJ-03-123,1.0,$k_{G1}$,0.20583241662588087,6.570894998362043e-11
T47D_PR,BSJ-03-123,1.0,$k_{\phi}$,0.00018476552143632027,6.570894998362043e-11
T47D_PR,BSJ-03-123,0.031623,$k_{S}$,0.01561572410084684,1.563301101393393e-10
T47D_PR,BSJ-03-123,0.031623,$k_{G2}$,0.07932749822905732,1.563301101393393e-10
T47D_PR,BSJ-03-123,0.031623,$k_{M}$,0.06513177825795695,1.563301101393393e-10
T47D_PR,BSJ-03-123,0.031623,$k_{G1}$,0.3766526949818127,1.563301101393393e-10
T47D_PR,BSJ-03-123,0.031623,$k_{\phi}$,2.6580084424112754e-05,1.563301101393393e-10
T47D_PR,BSJ-03-123,3.162278,$k_{S}$,0.01656125015203566,1.605274298240862e-10
T47D_PR,BSJ-03-123,3.162278,$k_{G2}$,0.05657366558410953,1.605274298240862e-10
T47D_PR,BSJ-03-123,3.162278,$k_{M}$,0.058432081141453776,1.605274298240862e-10
T47D_PR,BSJ-03-123,3.162278,$k_{G1}$,0.2622404996587917,1.605274298240862e-10
T47D_PR,BSJ-03-123,3.162278,$k_{\phi}$,0.0001692137551723102,1.605274298240862e-10
T47D_PR,BSJ-03-123,0.316228,$k_{S}$,0.015711016035428477,122.1049342662504
T47D_PR,BSJ-03-123,0.316228,$k_{G2}$,0.07325029105974323,122.1049342662504
T47D_PR,BSJ-03-123,0.316228,$k_{M}$,0.06718852172942552,122.1049342662504
T47D_PR,BSJ-03-123,0.316228,$k_{G1}$,0.40145775393532646,122.1049342662504
T47D_PR,BSJ-03-123,0.316228,$k_{\phi}$,1e-07,122.1049342662504
T47D_PR,BSJ-03-123,0.003162,$k_{S}$,0.014834843179096878,6.823681016348678e-11
T47D_PR,BSJ-03-123,0.003162,$k_{G2}$,0.08756817634706573,6.823681016348678e-11
T47D_PR,BSJ-03-123,0.003162,$k_{M}$,0.06850143656069786,6.823681016348678e-11
T47D_PR,BSJ-03-123,0.003162,$k_{G1}$,0.32919417237909177,6.823681016348678e-11
T47D_PR,BSJ-03-123,0.003162,$k_{\phi}$,0.00028007412390536844,6.823681016348678e-11
T47D_PR,BSJ-03-123,0.1,$k_{S}$,0.015857515791054867,7.193402850751001e-11
T47D_PR,BSJ-03-123,0.1,$k_{G2}$,0.08330857454659858,7.193402850751001e-11
T47D_PR,BSJ-03-123,0.1,$k_{M}$,0.06241624936183005,7.193402850751001e-11
T47D_PR,BSJ-03-123,0.1,$k_{G1}$,0.33988370605396995,7.193402850751001e-11
T47D_PR,BSJ-03-123,0.1,$k_{\phi}$,2.6644035840633925e-05,7.193402850751001e-11
