cell_line,agent,concentration,parameter,rate,obj_func
T47D_PR,LY2606368,1.0,$k_{S}$,0.004203659741359747,29879.758130043912
T47D_PR,LY2606368,1.0,$k_{G2}$,0.010275780338278806,29879.758130043912
T47D_PR,LY2606368,1.0,$k_{M}$,0.015209034003092184,29879.758130043912
T47D_PR,LY2606368,1.0,$k_{G1}$,1e-07,29879.758130043912
T47D_PR,LY2606368,1.0,$k_{\phi}$,0.003759144551015072,29879.758130043912
T47D_PR,LY2606368,0.01,$k_{S}$,0.008835113136741785,1.8353571057267513e-11
T47D_PR,LY2606368,0.01,$k_{G2}$,0.05342507907526289,1.8353571057267513e-11
T47D_PR,LY2606368,0.01,$k_{M}$,0.05582963369491725,1.8353571057267513e-11
T47D_PR,LY2606368,0.01,$k_{G1}$,0.10723167975689997,1.8353571057267513e-11
T47D_PR,LY2606368,0.01,$k_{\phi}$,0.0014535155642380058,1.8353571057267513e-11
T47D_PR,LY2606368,0.1,$k_{S}$,0.005777354563855692,2.966584971078376e-11
T47D_PR,LY2606368,0.1,$k_{G2}$,0.030924687851699714,2.966584971078376e-11
T47D_PR,LY2606368,0.1,$k_{M}$,0.010839380847468907,2.966584971078376e-11
T47D_PR,LY2606368,0.1,$k_{G1}$,0.02896462322598239,2.966584971078376e-11
T47D_PR,LY2606368,0.1,$k_{\phi}$,0.0017338236043309089,2.966584971078376e-11
T47D_PR,LY2606368,0.316228,$k_{S}$,0.01135892252920663,1.0145346006751547e-10
T47D_PR,LY2606368,0.316228,$k_{G2}$,0.06824072434917948,1.0145346006751547e-10
T47D_PR,LY2606368,0.316228,$k_{M}$,0.027774882283573266,1.0145346006751547e-10
T47D_PR,LY2606368,0.316228,$k_{G1}$,0.07955028172282554,1.0145346006751547e-10
T47D_PR,LY2606368,0.316228,$k_{\phi}$,0.0016385897207491194,1.0145346006751547e-10
T47D_PR,LY2606368,0.001,$k_{S}$,0.0011442872394118594,9.43523309381856e-11
T47D_PR,LY2606368,0.001,$k_{G2}$,0.00131833811799912,9.43523309381856e-11
T47D_PR,LY2606368,0.001,$k_{M}$,0.01369683516155143,9.43523309381856e-11
T47D_PR,LY2606368,0.001,$k_{G1}$,0.02261923390439065,9.43523309381856e-11
T47D_PR,LY2606368,0.001,$k_{\phi}$,0.001173545719974083,9.43523309381856e-11
T47D_PR,LY2606368,0.003162,$k_{S}$,0.008043384934157542,4.195998093264087e-11
T47D_PR,LY2606368,0.003162,$k_{G2}$,0.05316358967822119,4.195998093264087e-11
T47D_PR,LY2606368,0.003162,$k_{M}$,0.06906292906863756,4.195998093264087e-11
T47D_PR,LY2606368,0.003162,$k_{G1}$,0.11302408680743863,4.195998093264087e-11
T47D_PR,LY2606368,0.003162,$k_{\phi}$,0.0008883139224226446,4.195998093264087e-11
T47D_PR,LY2606368,10.0,$k_{S}$,0.004429757618804897,7.037528746826036e-11
T47D_PR,LY2606368,10.0,$k_{G2}$,0.032542208718184015,7.037528746826036e-11
T47D_PR,LY2606368,10.0,$k_{M}$,0.007545822837110705,7.037528746826036e-11
T47D_PR,LY2606368,10.0,$k_{G1}$,0.04271849426319393,7.037528746826036e-11
T47D_PR,LY2606368,10.0,$k_{\phi}$,0.001438894981989222,7.037528746826036e-11
T47D_PR,LY2606368,0.031623,$k_{S}$,0.012866926973862944,5.622801813345922e-11
T47D_PR,LY2606368,0.031623,$k_{G2}$,0.05938541025477471,5.622801813345922e-11
T47D_PR,LY2606368,0.031623,$k_{M}$,0.03933742339763882,5.622801813345922e-11
T47D_PR,LY2606368,0.031623,$k_{G1}$,0.15526519187640495,5.622801813345922e-11
T47D_PR,LY2606368,0.031623,$k_{\phi}$,0.0012199625656299196,5.622801813345922e-11
T47D_PR,LY2606368,3.162278,$k_{S}$,0.012684335281445606,1.4722324968668511e-10
T47D_PR,LY2606368,3.162278,$k_{G2}$,0.08702131500800594,1.4722324968668511e-10
T47D_PR,LY2606368,3.162278,$k_{M}$,0.03154466329306837,1.4722324968668511e-10
T47D_PR,LY2606368,3.162278,$k_{G1}$,0.2550572385085803,1.4722324968668511e-10
T47D_PR,LY2606368,3.162278,$k_{\phi}$,0.0015296766857765957,1.4722324968668511e-10
