cell_line,agent,concentration,parameter,rate,obj_func
T47D_PR,SY-1365,0.1,$k_{S}$,0.0027965923784612043,12385.74544699742
T47D_PR,SY-1365,0.1,$k_{G2}$,0.039613200016262846,12385.74544699742
T47D_PR,SY-1365,0.1,$k_{M}$,0.01052241973648594,12385.74544699742
T47D_PR,SY-1365,0.1,$k_{G1}$,1e-07,12385.74544699742
T47D_PR,SY-1365,0.1,$k_{\phi}$,0.0006414846191617397,12385.74544699742
T47D_PR,SY-1365,0.003162,$k_{S}$,0.00609548471466081,1.1153394812157263e-10
T47D_PR,SY-1365,0.003162,$k_{G2}$,0.036979303206384956,1.1153394812157263e-10
T47D_PR,SY-1365,0.003162,$k_{M}$,0.01695139322187029,1.1153394812157263e-10
T47D_PR,SY-1365,0.003162,$k_{G1}$,0.11727747911528748,1.1153394812157263e-10
T47D_PR,SY-1365,0.003162,$k_{\phi}$,0.0003080970729832419,1.1153394812157263e-10
T47D_PR,SY-1365,1.0,$k_{S}$,0.006065702884698508,35199.68527086064
T47D_PR,SY-1365,1.0,$k_{G2}$,0.03902155274026827,35199.68527086064
T47D_PR,SY-1365,1.0,$k_{M}$,0.014651764997789979,35199.68527086064
T47D_PR,SY-1365,1.0,$k_{G1}$,1e-07,35199.68527086064
T47D_PR,SY-1365,1.0,$k_{\phi}$,0.0013011309832807346,35199.68527086064
T47D_PR,SY-1365,3.162278,$k_{S}$,0.003321229424348966,24760.37199834767
T47D_PR,SY-1365,3.162278,$k_{G2}$,0.03196206978125795,24760.37199834767
T47D_PR,SY-1365,3.162278,$k_{M}$,0.012731457457478654,24760.37199834767
T47D_PR,SY-1365,3.162278,$k_{G1}$,1e-07,24760.37199834767
T47D_PR,SY-1365,3.162278,$k_{\phi}$,0.0007377474115459028,24760.37199834767
T47D_PR,SY-1365,0.031623,$k_{S}$,0.004636740936000573,20037.1879391432
T47D_PR,SY-1365,0.031623,$k_{G2}$,0.03714684959107938,20037.1879391432
T47D_PR,SY-1365,0.031623,$k_{M}$,0.014773665837689213,20037.1879391432
T47D_PR,SY-1365,0.031623,$k_{G1}$,1e-07,20037.1879391432
T47D_PR,SY-1365,0.031623,$k_{\phi}$,0.0014132533789892002,20037.1879391432
T47D_PR,SY-1365,0.001,$k_{S}$,0.010234757668491632,94.389923588479
T47D_PR,SY-1365,0.001,$k_{G2}$,0.04070764887671523,94.389923588479
T47D_PR,SY-1365,0.001,$k_{M}$,0.03656408322149357,94.389923588479
T47D_PR,SY-1365,0.001,$k_{G1}$,0.4496371263590901,94.389923588479
T47D_PR,SY-1365,0.001,$k_{\phi}$,1e-07,94.389923588479
T47D_PR,SY-1365,0.316228,$k_{S}$,0.0025798255283598823,10689.587637138768
T47D_PR,SY-1365,0.316228,$k_{G2}$,0.039934584126583315,10689.587637138768
T47D_PR,SY-1365,0.316228,$k_{M}$,0.008841876914383904,10689.587637138768
T47D_PR,SY-1365,0.316228,$k_{G1}$,1e-07,10689.587637138768
T47D_PR,SY-1365,0.316228,$k_{\phi}$,0.0006917401640064086,10689.587637138768
T47D_PR,SY-1365,10.0,$k_{S}$,0.00866943020805663,132363.40438972274
T47D_PR,SY-1365,10.0,$k_{G2}$,0.020542729570849426,132363.40438972274
T47D_PR,SY-1365,10.0,$k_{M}$,0.009274663539128607,132363.40438972274
T47D_PR,SY-1365,10.0,$k_{G1}$,1e-07,132363.40438972274
T47D_PR,SY-1365,10.0,$k_{\phi}$,0.003009735276841028,132363.40438972274
T47D_PR,SY-1365,0.01,$k_{S}$,0.0013307011678209643,5.5479095966214926e-11
T47D_PR,SY-1365,0.01,$k_{G2}$,0.011346020040966237,5.5479095966214926e-11
T47D_PR,SY-1365,0.01,$k_{M}$,0.0032590592166841814,5.5479095966214926e-11
T47D_PR,SY-1365,0.01,$k_{G1}$,0.0021519157957663447,5.5479095966214926e-11
T47D_PR,SY-1365,0.01,$k_{\phi}$,4.555830100749859e-05,5.5479095966214926e-11
