cell_line,agent,concentration,parameter,rate,obj_func
T47D,THZ1,0.003162,$k_{S}$,0.028345914543099385,1729.741534244216
T47D,THZ1,0.003162,$k_{G2}$,0.06717183833890197,1729.741534244216
T47D,THZ1,0.003162,$k_{M}$,0.05212113120626023,1729.741534244216
T47D,THZ1,0.003162,$k_{G1}$,0.44866680761134614,1729.741534244216
T47D,THZ1,0.003162,$k_{\phi}$,1e-07,1729.741534244216
T47D,THZ1,0.01,$k_{S}$,0.02451326562796501,2393.5552019685338
T47D,THZ1,0.01,$k_{G2}$,0.06464876729282824,2393.5552019685338
T47D,THZ1,0.01,$k_{M}$,0.08225495907333608,2393.5552019685338
T47D,THZ1,0.01,$k_{G1}$,0.4717398284537691,2393.5552019685338
T47D,THZ1,0.01,$k_{\phi}$,1e-07,2393.5552019685338
T47D,THZ1,0.000316,$k_{S}$,0.027808742080663827,1593.9932730244552
T47D,THZ1,0.000316,$k_{G2}$,0.07565442037836156,1593.9932730244552
T47D,THZ1,0.000316,$k_{M}$,0.10017186325932315,1593.9932730244552
T47D,THZ1,0.000316,$k_{G1}$,0.4370122789122921,1593.9932730244552
T47D,THZ1,0.000316,$k_{\phi}$,1e-07,1593.9932730244552
T47D,THZ1,0.316228,$k_{S}$,0.0023874531372158098,19918.011047722135
T47D,THZ1,0.316228,$k_{G2}$,0.031723122057318934,19918.011047722135
T47D,THZ1,0.316228,$k_{M}$,0.0024516380832477784,19918.011047722135
T47D,THZ1,0.316228,$k_{G1}$,1e-07,19918.011047722135
T47D,THZ1,0.316228,$k_{\phi}$,4.3433408619741405e-05,19918.011047722135
T47D,THZ1,0.031623,$k_{S}$,0.012437631753584592,175.68425429767294
T47D,THZ1,0.031623,$k_{G2}$,0.03514927583878212,175.68425429767294
T47D,THZ1,0.031623,$k_{M}$,0.038406717376885745,175.68425429767294
T47D,THZ1,0.031623,$k_{G1}$,0.08897335113213163,175.68425429767294
T47D,THZ1,0.031623,$k_{\phi}$,1e-07,175.68425429767294
T47D,THZ1,0.1,$k_{S}$,0.002452060924810177,11089.920085270849
T47D,THZ1,0.1,$k_{G2}$,0.040259750010361146,11089.920085270849
T47D,THZ1,0.1,$k_{M}$,0.0030159340829841925,11089.920085270849
T47D,THZ1,0.1,$k_{G1}$,1e-07,11089.920085270849
T47D,THZ1,0.1,$k_{\phi}$,1e-07,11089.920085270849
T47D,THZ1,0.0001,$k_{S}$,0.026059198051963064,2907.834195863089
T47D,THZ1,0.0001,$k_{G2}$,0.06954174928801292,2907.834195863089
T47D,THZ1,0.0001,$k_{M}$,0.08499354012870566,2907.834195863089
T47D,THZ1,0.0001,$k_{G1}$,0.543148006488192,2907.834195863089
T47D,THZ1,0.0001,$k_{\phi}$,1e-07,2907.834195863089
T47D,THZ1,1.0,$k_{S}$,0.004321346560393418,50383.20942653753
T47D,THZ1,1.0,$k_{G2}$,0.02881436289078232,50383.20942653753
T47D,THZ1,1.0,$k_{M}$,0.006043752712136552,50383.20942653753
T47D,THZ1,1.0,$k_{G1}$,1e-07,50383.20942653753
T47D,THZ1,1.0,$k_{\phi}$,0.0006115355692352544,50383.20942653753
T47D,THZ1,0.001,$k_{S}$,0.021306314526148777,1266.6313106170169
T47D,THZ1,0.001,$k_{G2}$,0.054453518747148426,1266.6313106170169
T47D,THZ1,0.001,$k_{M}$,0.08052630578928122,1266.6313106170169
T47D,THZ1,0.001,$k_{G1}$,0.22298264880765883,1266.6313106170169
T47D,THZ1,0.001,$k_{\phi}$,1e-07,1266.6313106170169
